dataset,fold,config,F1,AUC,MCC,Gmean
CM1,0,A_Baseline,0.0,0.745,-0.0335012605086404,0.0
CM1,0,B_FS,0.0,0.6666666666666667,0.0,0.0
CM1,0,C_FS_Sampling,0.21052631578947367,0.7044444444444444,0.12812370226601222,0.4294699575575042
CM1,0,D_Full_Untuned,0.2,0.6922222222222223,0.1111111111111111,0.42687494916218993
CM1,0,E_Full_Tuned,0.2222222222222222,0.7211111111111111,0.14744195615489714,0.43204937989385733
CM1,1,A_Baseline,0.16666666666666666,0.8716666666666667,0.19047619047619047,0.31446603773522014
CM1,1,B_FS,0.0,0.8416666666666667,-0.047619047619047616,0.0
CM1,1,C_FS_Sampling,0.4,0.8233333333333333,0.3333333333333333,0.6110100926607787
CM1,1,D_Full_Untuned,0.4444444444444444,0.8388888888888889,0.3931785497463923,0.6182412330330469
CM1,1,E_Full_Tuned,0.25,0.7877777777777777,0.1965021149155211,0.43716256828680006
CM1,2,A_Baseline,0.15384615384615385,0.7627777777777778,0.1367824224107948,0.31269438398822863
CM1,2,B_FS,0.1111111111111111,0.7105555555555556,0.02457365935914952,0.30368111930480995
CM1,2,C_FS_Sampling,0.2777777777777778,0.7405555555555555,0.18238430103502126,0.6191391873668903
CM1,2,D_Full_Untuned,0.30303030303030304,0.74,0.21386180543479086,0.6324555320336759
CM1,2,E_Full_Tuned,0.29411764705882354,0.7333333333333334,0.20292692584270036,0.6280481227138924
CM1,3,A_Baseline,0.0,0.5444444444444444,-0.04540766091864998,0.0
CM1,3,B_FS,0.0,0.5493827160493827,-0.04540766091864998,0.0
CM1,3,C_FS_Sampling,0.18181818181818182,0.5858024691358024,0.08511803863397262,0.4416579314300398
CM1,3,D_Full_Untuned,0.19047619047619047,0.5975308641975309,0.09787003658578391,0.4444444444444444
CM1,3,E_Full_Tuned,0.18181818181818182,0.6209876543209876,0.08511803863397262,0.4416579314300398
CM1,4,A_Baseline,0.0,0.7943820224719101,0.0,0.0
CM1,4,B_FS,0.0,0.7039325842696629,-0.03386039022428409,0.0
CM1,4,C_FS_Sampling,0.16666666666666666,0.6837078651685393,0.05635851088038538,0.41597320570581053
CM1,4,D_Full_Untuned,0.2608695652173913,0.6955056179775281,0.16741738959873154,0.5160350131836605
CM1,4,E_Full_Tuned,0.21052631578947367,0.6606741573033708,0.1271997456007632,0.42926642417192185
