dataset,fold,config,F1,AUC,MCC,Gmean
JM1,0,A_Baseline,0.3145299145299145,0.7645622203344894,0.2656556803190668,0.45778510043215315
JM1,0,B_FS,0.3188908145580589,0.7668428300120659,0.2788188373739056,0.4588711876061736
JM1,0,C_FS_Sampling,0.42799461641991926,0.7731882274008626,0.31689543801715886,0.5853331844137839
JM1,0,D_Full_Untuned,0.378698224852071,0.7592428267656465,0.2845835631313323,0.5310827840755251
JM1,0,E_Full_Tuned,0.38427947598253276,0.7569108154464639,0.2860886626354771,0.5381571154469519
JM1,1,A_Baseline,0.3305227655986509,0.7414166021891687,0.2791200682604026,0.4721964632322871
JM1,1,B_FS,0.3305785123966942,0.7378218689636888,0.26933553189282144,0.47557041862051563
JM1,1,C_FS_Sampling,0.42197253433208487,0.7408863536757584,0.292653874993396,0.5942980297788718
JM1,1,D_Full_Untuned,0.3955431754874652,0.7339363106607005,0.28654066100890174,0.5545446687436625
JM1,1,E_Full_Tuned,0.40268456375838924,0.7355865738912126,0.28541295062499594,0.5665595512233272
JM1,2,A_Baseline,0.34812286689419797,0.7424378716473955,0.3080093944095767,0.48330942149422257
JM1,2,B_FS,0.3299319727891156,0.7289983713795659,0.28277061888339833,0.4703393867463309
JM1,2,C_FS_Sampling,0.42874845105328374,0.7340844285490128,0.2995038050423066,0.6009007013312316
JM1,2,D_Full_Untuned,0.3889655172413793,0.7236498953029721,0.2758535223116064,0.5512062591805649
JM1,2,E_Full_Tuned,0.4052980132450331,0.717048842380924,0.28531005156529665,0.5709297722974346
JM1,3,A_Baseline,0.3443708609271523,0.7463985034006244,0.2875791645187588,0.48571318993280843
JM1,3,B_FS,0.3187919463087248,0.7475888572062397,0.2616099079516583,0.46408283563347713
JM1,3,C_FS_Sampling,0.4262295081967213,0.7466521299217072,0.29990808630341925,0.5958346788333179
JM1,3,D_Full_Untuned,0.39825581395348836,0.7438331556820457,0.302669216559906,0.5489303591018653
JM1,3,E_Full_Tuned,0.4083916083916084,0.7418812459757925,0.3033554496559785,0.5635288391392901
JM1,4,A_Baseline,0.3184931506849315,0.7583640512550466,0.272727696003209,0.4601246218567729
JM1,4,B_FS,0.3265993265993266,0.7536294405962651,0.2742205694407792,0.46907870997155715
JM1,4,C_FS_Sampling,0.4227212681638045,0.756733638487193,0.3061282637992503,0.5842433110900943
JM1,4,D_Full_Untuned,0.37257824143070045,0.7470868608309367,0.280150051299363,0.5246711702497207
JM1,4,E_Full_Tuned,0.3841642228739003,0.7459715639810426,0.2888038208447319,0.5362917703678783
