dataset,fold,config,F1,AUC,MCC,Gmean
KC1,0,A_Baseline,0.37894736842105264,0.823464770523594,0.3417798277473193,0.5173149313551403
KC1,0,B_FS,0.39603960396039606,0.813143719026072,0.3396989041903373,0.5421274538843402
KC1,0,C_FS_Sampling,0.460431654676259,0.8248868778280543,0.3556504541740143,0.6590820436573077
KC1,0,D_Full_Untuned,0.5,0.7830639948287008,0.40739430341227845,0.6777467516267852
KC1,0,E_Full_Tuned,0.4881889763779528,0.7868562809739281,0.39774677204608827,0.6599315028476553
KC1,1,A_Baseline,0.3368421052631579,0.8315233785822022,0.2906884046834267,0.48631343200431243
KC1,1,B_FS,0.39603960396039606,0.7966602025425555,0.3396989041903373,0.5421274538843402
KC1,1,C_FS_Sampling,0.391304347826087,0.7803275156216333,0.27345848475976997,0.6015493892807312
KC1,1,D_Full_Untuned,0.36363636363636365,0.7561947856065504,0.2587984449847372,0.5533779054381429
KC1,1,E_Full_Tuned,0.3937007874015748,0.7581771170006464,0.28649016280827394,0.5871569517001025
KC1,2,A_Baseline,0.44660194174757284,0.833850463262228,0.393233366491926,0.5822187461688546
KC1,2,B_FS,0.42990654205607476,0.8288730876966172,0.3624926808134397,0.5788039440106131
KC1,2,C_FS_Sampling,0.44285714285714284,0.8075199310493428,0.3339629417686882,0.6466394990039299
KC1,2,D_Full_Untuned,0.390625,0.7993320405085111,0.28176559418547503,0.5862388010966402
KC1,2,E_Full_Tuned,0.38333333333333336,0.7936436112906702,0.28328667881832503,0.5675639625104965
KC1,3,A_Baseline,0.3673469387755102,0.8421220633299286,0.32025298521998447,0.5118613512475026
KC1,3,B_FS,0.4074074074074074,0.8070309839972761,0.3362799557644839,0.5608981561505026
KC1,3,C_FS_Sampling,0.4397163120567376,0.7902834525025538,0.328855442776345,0.6415953048768678
KC1,3,D_Full_Untuned,0.41935483870967744,0.7837717058222676,0.3207596940171858,0.5987730048508367
KC1,3,E_Full_Tuned,0.48,0.7657686414708886,0.39077356884969217,0.6461562314046378
KC1,4,A_Baseline,0.4485981308411215,0.797342264477096,0.3842175565680562,0.5920825936917999
KC1,4,B_FS,0.3333333333333333,0.7768150388936907,0.24662583909101266,0.5074211580467797
KC1,4,C_FS_Sampling,0.43283582089552236,0.7783923941227313,0.32581022568378587,0.6293045371825811
KC1,4,D_Full_Untuned,0.368,0.7619057908383752,0.2583106360797992,0.563089698576561
KC1,4,E_Full_Tuned,0.37398373983739835,0.7696845289541918,0.2678914743448625,0.5648521119582993
