dataset,fold,config,F1,AUC,MCC,Gmean
MW1,0,A_Baseline,0.25,0.8066666666666668,0.1965021149155211,0.43716256828680006
MW1,0,B_FS,0.3333333333333333,0.78,0.42857142857142855,0.4472135954999579
MW1,0,C_FS_Sampling,0.5,0.7622222222222222,0.4418993202399135,0.7393691004272944
MW1,0,D_Full_Untuned,0.5,0.7688888888888888,0.4418993202399135,0.7393691004272944
MW1,0,E_Full_Tuned,0.5,0.7777777777777778,0.4418993202399135,0.7393691004272944
MW1,1,A_Baseline,0.5,0.691111111111111,0.47721942193769407,0.6253887679764573
MW1,1,B_FS,0.3333333333333333,0.6311111111111112,0.42857142857142855,0.4472135954999579
MW1,1,C_FS_Sampling,0.5454545454545454,0.7377777777777778,0.49236596391733095,0.7483314773547882
MW1,1,D_Full_Untuned,0.5,0.7422222222222223,0.4418993202399135,0.7393691004272944
MW1,1,E_Full_Tuned,0.5454545454545454,0.7333333333333333,0.49236596391733095,0.7483314773547882
MW1,2,A_Baseline,0.0,0.691111111111111,-0.047619047619047616,0.0
MW1,2,B_FS,0.0,0.6622222222222223,-0.047619047619047616,0.0
MW1,2,C_FS_Sampling,0.5,0.6288888888888889,0.47721942193769407,0.6253887679764573
MW1,2,D_Full_Untuned,0.5,0.6799999999999999,0.47721942193769407,0.6253887679764573
MW1,2,E_Full_Tuned,0.5,0.6933333333333334,0.47721942193769407,0.6253887679764573
MW1,3,A_Baseline,0.2,0.6444444444444445,0.1111111111111111,0.42687494916218993
MW1,3,B_FS,0.36363636363636365,0.7711111111111111,0.2872134789517764,0.6036923425424945
MW1,3,C_FS_Sampling,0.18181818181818182,0.6755555555555556,0.08206099398622183,0.4216370213557839
MW1,3,D_Full_Untuned,0.3333333333333333,0.6888888888888889,0.2497691810051685,0.5962847939999439
MW1,3,E_Full_Tuned,0.3076923076923077,0.6888888888888889,0.21821789023599236,0.5887840577551898
MW1,4,A_Baseline,0.0,0.6799999999999999,-0.047619047619047616,0.0
MW1,4,B_FS,0.0,0.6911111111111111,-0.047619047619047616,0.0
MW1,4,C_FS_Sampling,0.4444444444444444,0.6933333333333334,0.3931785497463923,0.6182412330330469
MW1,4,D_Full_Untuned,0.4444444444444444,0.7733333333333333,0.3931785497463923,0.6182412330330469
MW1,4,E_Full_Tuned,0.4444444444444444,0.7866666666666666,0.3931785497463923,0.6182412330330469
