dataset,fold,config,F1,AUC,MCC,Gmean
PC4,0,A_Baseline,0.5283018867924528,0.9329419439008481,0.5127739903369659,0.6266530650423252
PC4,0,B_FS,0.5964912280701754,0.931180691454664,0.5672469882431228,0.6889302711164134
PC4,0,C_FS_Sampling,0.6835443037974683,0.9201565557729942,0.6319115127130095,0.8435318537306798
PC4,0,D_Full_Untuned,0.6388888888888888,0.9228962818003914,0.5796130374460692,0.7843046122029156
PC4,0,E_Full_Tuned,0.6486486486486487,0.9253750815394651,0.5901267957325841,0.7992168377956304
PC4,1,A_Baseline,0.375,0.9383561643835616,0.3736388848816578,0.5024402292343172
PC4,1,B_FS,0.49056603773584906,0.9027397260273973,0.4682611422352608,0.6024520454426693
PC4,1,C_FS_Sampling,0.5454545454545454,0.9012393998695369,0.469327745459664,0.7713053463951166
PC4,1,D_Full_Untuned,0.5714285714285714,0.9071102413568167,0.4984684634137006,0.7557563397949421
PC4,1,E_Full_Tuned,0.5675675675675675,0.8900195694716242,0.4950778381447107,0.7420814857593803
PC4,2,A_Baseline,0.5,0.9331376386170908,0.48711728725940623,0.6038580031200707
PC4,2,B_FS,0.34615384615384615,0.914416177429876,0.30429085066703215,0.49774442313622097
PC4,2,C_FS_Sampling,0.5454545454545454,0.9042400521852577,0.467722715548941,0.7365227446757211
PC4,2,D_Full_Untuned,0.5277777777777778,0.9076320939334638,0.45010196508072803,0.7058602889763781
PC4,2,E_Full_Tuned,0.42424242424242425,0.8844096542726679,0.33945592026244814,0.607412357208427
PC4,3,A_Baseline,0.5454545454545454,0.9356816699282453,0.5192558318802856,0.6471373059554637
PC4,3,B_FS,0.6349206349206349,0.9380300065231572,0.5887006859910918,0.7419935770360061
PC4,3,C_FS_Sampling,0.7317073170731707,0.9435094585779517,0.6919070063092568,0.8891606455643166
PC4,3,D_Full_Untuned,0.7160493827160493,0.9437703848662753,0.6721313032926741,0.874215704788969
PC4,3,E_Full_Tuned,0.7567567567567568,0.9452054794520548,0.716858739183082,0.8716750263705927
PC4,4,A_Baseline,0.5,0.9466106014271153,0.5479739793947007,0.5773502691896257
PC4,4,B_FS,0.4074074074074074,0.9336136595310907,0.37167039259282614,0.5438236282417738
PC4,4,C_FS_Sampling,0.547945205479452,0.9285168195718654,0.47216017820779754,0.7157041399224547
PC4,4,D_Full_Untuned,0.5915492957746479,0.9327217125382262,0.5252734475616013,0.7388312118698205
PC4,4,E_Full_Tuned,0.5454545454545454,0.9241845056065239,0.4808505324945186,0.6873696707159718
