dataset,fold,config,F1,AUC,MCC,Gmean
ant-1.7,0,A_Baseline,0.6440677966101694,0.8780041797283177,0.5638997356483906,0.7355362561539931
ant-1.7,0,B_FS,0.6181818181818182,0.8531870428422152,0.5525339742626667,0.7021016368475079
ant-1.7,0,C_FS_Sampling,0.6756756756756757,0.857105538140021,0.5761358686190597,0.8081352297940448
ant-1.7,0,D_Full_Untuned,0.6571428571428571,0.8453500522466041,0.5538723308938003,0.7828490688356233
ant-1.7,0,E_Full_Tuned,0.6666666666666666,0.8521421107628003,0.5648474624251593,0.7957567719632627
ant-1.7,1,A_Baseline,0.5263157894736842,0.8167450365726227,0.4258138068676523,0.6475175649086314
ant-1.7,1,B_FS,0.49122807017543857,0.8018547544409613,0.3818455066436189,0.6226313527785964
ant-1.7,1,C_FS_Sampling,0.5882352941176471,0.7910135841170325,0.4669715867637741,0.7264232238196224
ant-1.7,1,D_Full_Untuned,0.5757575757575758,0.7884012539184954,0.455067920585162,0.711526241593723
ant-1.7,1,E_Full_Tuned,0.6086956521739131,0.7920585161964473,0.491868599817671,0.7443623009729321
ant-1.7,2,A_Baseline,0.5,0.8458725182863114,0.39841507967644274,0.6255613988577435
ant-1.7,2,B_FS,0.4642857142857143,0.8379049111807733,0.35367970147614886,0.5999825842125851
ant-1.7,2,C_FS_Sampling,0.5396825396825397,0.8295454545454545,0.4173936651803483,0.6763275964825369
ant-1.7,2,D_Full_Untuned,0.5079365079365079,0.8142633228840126,0.37708799044809177,0.6529412595335463
ant-1.7,2,E_Full_Tuned,0.5079365079365079,0.8134796238244514,0.37708799044809177,0.6529412595335463
ant-1.7,3,A_Baseline,0.5862068965517241,0.8219696969696971,0.4958165908395746,0.692548788498984
ant-1.7,3,B_FS,0.576271186440678,0.8369905956112853,0.4787288683279545,0.689335087685153
ant-1.7,3,C_FS_Sampling,0.6176470588235294,0.812957157784744,0.505096938231063,0.7480381865430706
ant-1.7,3,D_Full_Untuned,0.45614035087719296,0.7985893416927901,0.33787720641958546,0.5971457712320447
ant-1.7,3,E_Full_Tuned,0.42857142857142855,0.7951933124346917,0.308944323275855,0.5737190993994133
ant-1.7,4,A_Baseline,0.5757575757575758,0.8305626598465474,0.4555552839796229,0.7040256912308268
ant-1.7,4,B_FS,0.5588235294117647,0.8230179028132992,0.42838874680306904,0.6970893083646579
ant-1.7,4,C_FS_Sampling,0.6,0.8441176470588235,0.4674574326147652,0.755542182654166
ant-1.7,4,D_Full_Untuned,0.5789473684210527,0.8324808184143223,0.44133341999502074,0.7311134345776644
ant-1.7,4,E_Full_Tuned,0.5974025974025974,0.8232736572890026,0.46546498416140786,0.747545001596402
