dataset,fold,config,F1,AUC,MCC,Gmean
camel-1.6,0,A_Baseline,0.2222222222222222,0.7214137214137214,0.12729510869115027,0.388236591175601
camel-1.6,0,B_FS,0.2857142857142857,0.7306826056826057,0.1925224633828587,0.4482970008489918
camel-1.6,0,C_FS_Sampling,0.4657534246575342,0.77997227997228,0.3412303104913123,0.6352162257843021
camel-1.6,0,D_Full_Untuned,0.45714285714285713,0.7815315315315315,0.3381926739105753,0.6207321365197594
camel-1.6,0,E_Full_Tuned,0.4788732394366197,0.7884615384615385,0.36215517955829707,0.6398360410215725
camel-1.6,1,A_Baseline,0.28,0.7454088704088705,0.2367272007569665,0.426512229499556
camel-1.6,1,B_FS,0.04081632653061224,0.6285516285516286,-0.07088929378125998,0.15849692464295678
camel-1.6,1,C_FS_Sampling,0.29213483146067415,0.6543659043659042,0.08992521332084406,0.51333567333034
camel-1.6,1,D_Full_Untuned,0.23809523809523808,0.6483887733887734,0.03034903239269373,0.4540569415477602
camel-1.6,1,E_Full_Tuned,0.3146067415730337,0.6558385308385308,0.11959284780105416,0.5349853140127178
camel-1.6,2,A_Baseline,0.3157894736842105,0.7176570458404075,0.23001542984249368,0.47070369601239415
camel-1.6,2,B_FS,0.3103448275862069,0.7144312393887946,0.2164207346460173,0.4690777716513386
camel-1.6,2,C_FS_Sampling,0.4444444444444444,0.7109507640067912,0.2985247328047197,0.6303043165084371
camel-1.6,2,D_Full_Untuned,0.46153846153846156,0.7196943972835315,0.32545518950124686,0.637535577754862
camel-1.6,2,E_Full_Tuned,0.4675324675324675,0.7222410865874364,0.3349184115438497,0.6399278397350061
camel-1.6,3,A_Baseline,0.2222222222222222,0.7525466893039049,0.25241434703621923,0.36039028080561647
camel-1.6,3,B_FS,0.20833333333333334,0.7026315789473684,0.17818562873825558,0.3568395510523549
camel-1.6,3,C_FS_Sampling,0.31746031746031744,0.75169779286927,0.1970351836871768,0.4875356414640809
camel-1.6,3,D_Full_Untuned,0.2903225806451613,0.7534804753820034,0.16879023894902487,0.46251692026131713
camel-1.6,3,E_Full_Tuned,0.38095238095238093,0.7570458404074704,0.27464291930273826,0.5378697843563991
camel-1.6,4,A_Baseline,0.2127659574468085,0.7099320882852292,0.19948040121377938,0.35802704036131283
camel-1.6,4,B_FS,0.2553191489361702,0.6813242784380306,0.2612777004662022,0.39349550147037177
camel-1.6,4,C_FS_Sampling,0.3684210526315789,0.6928692699490662,0.2135823429541596,0.5580100467053516
camel-1.6,4,D_Full_Untuned,0.2898550724637681,0.7018675721561969,0.1382680503168523,0.47697405011402155
camel-1.6,4,E_Full_Tuned,0.3283582089552239,0.7054329371816638,0.1929066378045467,0.5058234725662515
