dataset,fold,config,F1,AUC,MCC,Gmean
synapse-1.2,0,A_Baseline,0.6341463414634146,0.8382352941176471,0.4100744048711776,0.7140055472954167
synapse-1.2,0,B_FS,0.6829268292682927,0.8276143790849674,0.4914632180517166,0.7562376774775251
synapse-1.2,0,C_FS_Sampling,0.6222222222222222,0.7753267973856208,0.3765197559275315,0.6931032800836721
synapse-1.2,0,D_Full_Untuned,0.5128205128205128,0.7581699346405228,0.2249687208785562,0.6130391451319013
synapse-1.2,0,E_Full_Tuned,0.5641025641025641,0.7516339869281046,0.3073516327495768,0.6567895774291854
synapse-1.2,1,A_Baseline,0.7058823529411765,0.8183391003460209,0.5588235294117647,0.7759356446042893
synapse-1.2,1,B_FS,0.7058823529411765,0.8174740484429065,0.5588235294117647,0.7759356446042893
synapse-1.2,1,C_FS_Sampling,0.7428571428571429,0.8287197231833909,0.6092717958449425,0.8076194245732929
synapse-1.2,1,D_Full_Untuned,0.7428571428571429,0.7716262975778546,0.6092717958449425,0.8076194245732929
synapse-1.2,1,E_Full_Tuned,0.7058823529411765,0.7820069204152248,0.5588235294117647,0.7759356446042893
synapse-1.2,2,A_Baseline,0.5714285714285714,0.8425605536332179,0.4382299106011074,0.6550311015094143
synapse-1.2,2,B_FS,0.46153846153846156,0.8053633217993079,0.3273268353539886,0.5672735741760562
synapse-1.2,2,C_FS_Sampling,0.6666666666666666,0.8399653979238755,0.5408420485294111,0.7323470351758078
synapse-1.2,2,D_Full_Untuned,0.5625,0.8062283737024222,0.3651483716701107,0.6602924800189308
synapse-1.2,2,E_Full_Tuned,0.6666666666666666,0.8252595155709342,0.5408420485294111,0.7323470351758078
synapse-1.2,3,A_Baseline,0.6,0.7673010380622837,0.44539933408304444,0.6834676493307206
synapse-1.2,3,B_FS,0.6,0.795847750865052,0.44539933408304444,0.6834676493307206
synapse-1.2,3,C_FS_Sampling,0.6060606060606061,0.8070934256055363,0.4183300132670377,0.6960093862470137
synapse-1.2,3,D_Full_Untuned,0.6060606060606061,0.7474048442906573,0.4183300132670377,0.6960093862470137
synapse-1.2,3,E_Full_Tuned,0.5882352941176471,0.740484429065744,0.38235294117647056,0.6834676493307206
synapse-1.2,4,A_Baseline,0.7333333333333333,0.916955017301038,0.6362847629757777,0.7803823036130353
synapse-1.2,4,B_FS,0.7333333333333333,0.9057093425605537,0.6362847629757777,0.7803823036130353
synapse-1.2,4,C_FS_Sampling,0.7058823529411765,0.852076124567474,0.5588235294117647,0.7759356446042893
synapse-1.2,4,D_Full_Untuned,0.6875,0.8650519031141869,0.5477225575051661,0.7556019163920664
synapse-1.2,4,E_Full_Tuned,0.6875,0.8564013840830449,0.5477225575051661,0.7556019163920664
