dataset,fold,config,F1,AUC,MCC,Gmean
xalan-2.4,0,A_Baseline,0.16,0.8089430894308943,0.20863123200454187,0.30028318735656345
xalan-2.4,0,B_FS,0.0,0.8017368810051738,-0.050015632328035534,0.0
xalan-2.4,0,C_FS_Sampling,0.45,0.7930524759793052,0.365478533874969,0.6157576048559333
xalan-2.4,0,D_Full_Untuned,0.41025641025641024,0.7738359201773836,0.3239136160318693,0.5805418372810894
xalan-2.4,0,E_Full_Tuned,0.38095238095238093,0.779009608277901,0.27682072131916524,0.5728522019097212
xalan-2.4,1,A_Baseline,0.5128205128205128,0.8383222468588323,0.44342372881716463,0.6547343079775702
xalan-2.4,1,B_FS,0.4864864864864865,0.8455284552845528,0.4244469467943144,0.6238070655169863
xalan-2.4,1,C_FS_Sampling,0.5106382978723404,0.8342572062084257,0.4176595708498058,0.6984302957695782
xalan-2.4,1,D_Full_Untuned,0.45454545454545453,0.8259423503325942,0.35698447893569846,0.6404682322652857
xalan-2.4,1,E_Full_Tuned,0.45454545454545453,0.8322246858832224,0.35698447893569846,0.6404682322652857
xalan-2.4,2,A_Baseline,0.47058823529411764,0.8778640059127863,0.4311492848040108,0.5931364015428332
xalan-2.4,2,B_FS,0.36363636363636365,0.8595713229859572,0.3144466743065973,0.5115083559690536
xalan-2.4,2,C_FS_Sampling,0.41379310344827586,0.849039172209904,0.2909242623707872,0.6625891564490792
xalan-2.4,2,D_Full_Untuned,0.4528301886792453,0.812269031781227,0.342127905760142,0.6791151148709029
xalan-2.4,2,E_Full_Tuned,0.4827586206896552,0.8229859571322986,0.3799200810285175,0.7228710107289227
xalan-2.4,3,A_Baseline,0.27586206896551724,0.7498137108792846,0.26303400135251126,0.421126160337984
xalan-2.4,3,B_FS,0.2857142857142857,0.753725782414307,0.29783555793164995,0.4228918962178588
xalan-2.4,3,C_FS_Sampling,0.425531914893617,0.8019746646795827,0.31495990142924857,0.6313942653610732
xalan-2.4,3,D_Full_Untuned,0.3902439024390244,0.797317436661699,0.2907187195756052,0.5751951654790416
xalan-2.4,3,E_Full_Tuned,0.45,0.7857675111773471,0.36477891613115687,0.6155583412927018
xalan-2.4,4,A_Baseline,0.14285714285714285,0.8131520119225037,0.1046449257597689,0.2965273427150443
xalan-2.4,4,B_FS,0.15384615384615385,0.7455290611028316,0.16313409064559226,0.2990297275244856
xalan-2.4,4,C_FS_Sampling,0.3508771929824561,0.7447839046199702,0.20938052084823763,0.6011662783188852
xalan-2.4,4,D_Full_Untuned,0.34615384615384615,0.7153502235469449,0.20991951141017812,0.5819567178583874
xalan-2.4,4,E_Full_Tuned,0.34615384615384615,0.7071535022354695,0.20991951141017812,0.5819567178583874
