dataset,fold,filter_criterion,n_features_selected,stage1_time_s,F1,AUC,PRAUC,MCC,Gmean,Precision,Recall,Specificity
CM1,0,shap,3,8.856,0.21052631578947367,0.7044444444444444,0.28768224672952036,0.12812370226601222,0.4294699575575042,0.2222222222222222,0.2,0.9222222222222223
CM1,0,gini,3,6.929,0.21052631578947367,0.7044444444444444,0.28768224672952036,0.12812370226601222,0.4294699575575042,0.2222222222222222,0.2,0.9222222222222223
CM1,0,mutual_info,3,3.451,0.21052631578947367,0.7044444444444444,0.28768224672952036,0.12812370226601222,0.4294699575575042,0.2222222222222222,0.2,0.9222222222222223
CM1,0,variance,3,3.383,0.2,0.6855555555555555,0.2685224398667795,0.1111111111111111,0.42687494916218993,0.2,0.2,0.9111111111111111
CM1,1,shap,7,3.57,0.4,0.8233333333333333,0.30241664068647905,0.3333333333333333,0.6110100926607787,0.4,0.4,0.9333333333333333
CM1,1,gini,7,3.292,0.3,0.8288888888888889,0.29566013088908555,0.2222222222222222,0.5259911279353167,0.3,0.3,0.9222222222222223
CM1,1,mutual_info,6,3.651,0.3333333333333333,0.7611111111111112,0.21008654068491797,0.2497691810051685,0.5962847939999439,0.2857142857142857,0.4,0.8888888888888888
CM1,1,variance,7,3.116,0.19047619047619047,0.7972222222222223,0.23106637295969953,0.09588041581508897,0.42426406871192857,0.18181818181818182,0.2,0.9
CM1,2,shap,3,3.868,0.2777777777777778,0.7405555555555555,0.19400856611382927,0.18238430103502126,0.6191391873668903,0.19230769230769232,0.5,0.7666666666666667
CM1,2,gini,3,3.623,0.23255813953488372,0.7205555555555556,0.20819095563831208,0.12051283285008213,0.5868938953886337,0.15151515151515152,0.5,0.6888888888888889
CM1,2,mutual_info,3,3.496,0.3333333333333333,0.7472222222222221,0.19746448626827767,0.25837775979961347,0.6831300510639732,0.23076923076923078,0.6,0.7777777777777778
CM1,2,variance,3,3.486,0.3888888888888889,0.7994444444444444,0.25909126800984766,0.33437121856420565,0.7431165603202651,0.2692307692307692,0.7,0.7888888888888889
CM1,3,shap,5,3.653,0.18181818181818182,0.5858024691358024,0.12623022783942323,0.08511803863397262,0.4416579314300398,0.15384615384615385,0.2222222222222222,0.8777777777777778
CM1,3,gini,5,3.438,0.18181818181818182,0.5858024691358024,0.12623022783942323,0.08511803863397262,0.4416579314300398,0.15384615384615385,0.2222222222222222,0.8777777777777778
CM1,3,mutual_info,3,3.491,0.11764705882352941,0.5728395061728395,0.16676207196403034,0.03516054232038716,0.3201080064641763,0.125,0.1111111111111111,0.9222222222222223
CM1,3,variance,3,3.535,0.1,0.6370370370370371,0.13190492565291329,0.0,0.31426968052735443,0.09090909090909091,0.1111111111111111,0.8888888888888888
CM1,4,shap,3,3.894,0.16666666666666666,0.6837078651685393,0.19096314721314722,0.05635851088038538,0.41597320570581053,0.14285714285714285,0.2,0.8651685393258427
CM1,4,gini,9,3.028,0.25,0.7735955056179775,0.2724286397547361,0.1525566587624225,0.5127585672756787,0.21428571428571427,0.3,0.8764044943820225
CM1,4,mutual_info,7,3.129,0.16,0.7084269662921349,0.21037633812327347,0.04532741597360588,0.41326325369421923,0.13333333333333333,0.2,0.8539325842696629
CM1,4,variance,3,3.429,0.2857142857142857,0.749438202247191,0.23589263831550583,0.18961818525599092,0.5805847497871377,0.2222222222222222,0.4,0.8426966292134831
