dataset,fold,filter_criterion,n_features_selected,stage1_time_s,F1,AUC,PRAUC,MCC,Gmean,Precision,Recall,Specificity
KC2,0,shap,5,7.654,0.5769230769230769,0.7502738225629793,0.4895313698110474,0.45141859882941554,0.7473941587124872,0.5,0.6818181818181818,0.8192771084337349
KC2,0,gini,5,5.553,0.52,0.7489047097480833,0.5155470743748027,0.3774913920480801,0.6957860959714609,0.4642857142857143,0.5909090909090909,0.8192771084337349
KC2,0,mutual_info,5,1.928,0.5185185185185185,0.7779299014238773,0.48917362475450515,0.3708873012228987,0.7059440945444085,0.4375,0.6363636363636364,0.7831325301204819
KC2,0,variance,5,2.34,0.5185185185185185,0.7710843373493975,0.643820909318975,0.3708873012228987,0.7059440945444085,0.4375,0.6363636363636364,0.7831325301204819
KC2,1,shap,5,2.623,0.6122448979591837,0.8335158817086527,0.573066255853218,0.5002526954339216,0.7637028605064102,0.5555555555555556,0.6818181818181818,0.8554216867469879
KC2,1,gini,4,2.52,0.5384615384615384,0.7981927710843373,0.5846566375543647,0.39961646453751537,0.7167224903328759,0.4666666666666667,0.6363636363636364,0.8072289156626506
KC2,1,mutual_info,3,2.143,0.6122448979591837,0.8154435925520264,0.5403312253391465,0.5002526954339216,0.7637028605064102,0.5555555555555556,0.6818181818181818,0.8554216867469879
KC2,1,variance,5,2.386,0.5614035087719298,0.8154435925520263,0.5190403638284704,0.43023720500897183,0.7488582035214545,0.45714285714285713,0.7272727272727273,0.7710843373493976
KC2,2,shap,3,2.727,0.5,0.7719449225473322,0.6187689688482968,0.40710109804360917,0.6305476678616638,0.6,0.42857142857142855,0.927710843373494
KC2,2,gini,3,2.31,0.5,0.7719449225473322,0.6187689688482968,0.40710109804360917,0.6305476678616638,0.6,0.42857142857142855,0.927710843373494
KC2,2,mutual_info,7,2.317,0.43243243243243246,0.7690763052208835,0.534904505620701,0.31661512343808645,0.5867146488488575,0.5,0.38095238095238093,0.9036144578313253
KC2,2,variance,4,2.318,0.43902439024390244,0.761617900172117,0.5606559545531977,0.3015409975424869,0.6097317488106924,0.45,0.42857142857142855,0.8674698795180723
KC2,3,shap,3,2.613,0.6530612244897959,0.8580034423407916,0.5676093611542663,0.5586988352502638,0.8073102604136365,0.5714285714285714,0.7619047619047619,0.8554216867469879
KC2,3,gini,3,2.662,0.6,0.8430866322432587,0.5114502157603699,0.48842984448127125,0.7705866509192013,0.5172413793103449,0.7142857142857143,0.8313253012048193
KC2,3,mutual_info,3,2.065,0.5531914893617021,0.84021801491681,0.5572547337673006,0.4286989037165949,0.7225568167373793,0.5,0.6190476190476191,0.8433734939759037
KC2,3,variance,3,2.481,0.4186046511627907,0.8049340218014918,0.45961411046461936,0.2673076460817929,0.6012036120421518,0.4090909090909091,0.42857142857142855,0.8433734939759037
KC2,4,shap,8,3.17,0.5,0.6970740103270223,0.41193837361278024,0.3820525235329571,0.6515791312760104,0.5263157894736842,0.47619047619047616,0.891566265060241
KC2,4,gini,6,2.852,0.3888888888888889,0.6919104991394147,0.46342474522054844,0.27074517470533105,0.5488212999484517,0.4666666666666667,0.3333333333333333,0.9036144578313253
KC2,4,mutual_info,8,2.649,0.358974358974359,0.6947791164658634,0.43704083362971524,0.21307567485697915,0.537732857937865,0.3888888888888889,0.3333333333333333,0.8674698795180723
KC2,4,variance,8,2.582,0.55,0.7013769363166955,0.4577926680985836,0.4440392044181795,0.6879839088699877,0.5789473684210527,0.5238095238095238,0.9036144578313253
