dataset,fold,filter_criterion,n_features_selected,stage1_time_s,F1,AUC,PRAUC,MCC,Gmean,Precision,Recall,Specificity
MC2,0,shap,13,8.592,0.5882352941176471,0.6875,0.6832357428097096,0.378726042189707,0.6718548123582124,0.625,0.5555555555555556,0.8125
MC2,0,gini,13,6.886,0.625,0.7569444444444444,0.7396344396344396,0.46028324996028647,0.6972166887783964,0.7142857142857143,0.5555555555555556,0.875
MC2,0,mutual_info,17,2.929,0.5882352941176471,0.78125,0.7398148148148149,0.378726042189707,0.6718548123582124,0.625,0.5555555555555556,0.8125
MC2,0,variance,17,2.922,0.625,0.7569444444444444,0.7396344396344396,0.46028324996028647,0.6972166887783964,0.7142857142857143,0.5555555555555556,0.875
MC2,1,shap,17,3.609,0.5555555555555556,0.7951388888888888,0.7846560846560848,0.3055555555555556,0.6454972243679028,0.5555555555555556,0.5555555555555556,0.75
MC2,1,gini,17,3.543,0.5882352941176471,0.8298611111111112,0.7903050108932463,0.378726042189707,0.6718548123582124,0.625,0.5555555555555556,0.8125
MC2,1,mutual_info,13,3.943,0.5263157894736842,0.6701388888888888,0.6807539682539683,0.23814483610392007,0.6180165405913053,0.5,0.5555555555555556,0.6875
MC2,1,variance,12,3.942,0.625,0.6840277777777779,0.6576527176527176,0.46028324996028647,0.6972166887783964,0.7142857142857143,0.5555555555555556,0.875
MC2,2,shap,14,3.823,0.5714285714285714,0.8472222222222222,0.803003423591659,0.4583333333333333,0.6454972243679028,0.8,0.4444444444444444,0.9375
MC2,2,gini,14,3.816,0.5714285714285714,0.8472222222222222,0.803003423591659,0.4583333333333333,0.6454972243679028,0.8,0.4444444444444444,0.9375
MC2,2,mutual_info,16,3.488,0.6666666666666666,0.8888888888888888,0.8327821869488536,0.5541466051858357,0.7216878364870323,0.8333333333333334,0.5555555555555556,0.9375
MC2,2,variance,15,3.155,0.42857142857142855,0.8263888888888888,0.7415522748856083,0.25,0.5400617248673216,0.6,0.3333333333333333,0.875
MC2,3,shap,16,3.606,0.0,0.6041666666666666,0.4397935277988672,-0.15309310892394862,0.0,0.0,0.0,0.9375
MC2,3,gini,17,3.751,0.16666666666666666,0.6458333333333334,0.4400300861085175,-0.020515248496555453,0.31180478223116176,0.3333333333333333,0.1111111111111111,0.875
MC2,3,mutual_info,18,3.247,0.18181818181818182,0.5451388888888888,0.4074092373005417,0.08600780775702334,0.3227486121839514,0.5,0.1111111111111111,0.9375
MC2,3,variance,16,3.416,0.0,0.4930555555555556,0.35718742042271456,-0.2211629342323457,0.0,0.0,0.0,0.875
MC2,4,shap,18,3.507,0.7368421052631579,0.8359375,0.6822916666666665,0.5913123959890826,0.8100925873009825,0.6363636363636364,0.875,0.75
MC2,4,gini,18,3.464,0.7058823529411765,0.83203125,0.640625,0.5477225575051662,0.7806247497997998,0.6666666666666666,0.75,0.8125
MC2,4,mutual_info,8,4.463,0.6666666666666666,0.82421875,0.6546942640692641,0.47809144373375745,0.75,0.6,0.75,0.75
MC2,4,variance,18,3.226,0.6666666666666666,0.80859375,0.6313988095238094,0.47809144373375745,0.75,0.6,0.75,0.75
