dataset,fold,filter_criterion,n_features_selected,stage1_time_s,F1,AUC,PRAUC,MCC,Gmean,Precision,Recall,Specificity
PC3,0,shap,13,15.075,0.3548387096774194,0.8017671517671517,0.30470509513882227,0.2515978702244681,0.6049002941843936,0.3055555555555556,0.4230769230769231,0.8648648648648649
PC3,0,gini,15,11.744,0.45901639344262296,0.823076923076923,0.3391715318376024,0.3755069653221908,0.6908971539519304,0.4,0.5384615384615384,0.8864864864864865
PC3,0,mutual_info,9,8.318,0.4126984126984127,0.8072765072765072,0.3104325677718947,0.3200485729656836,0.6596477356401181,0.35135135135135137,0.5,0.8702702702702703
PC3,0,variance,13,8.043,0.417910447761194,0.8091476091476092,0.28806000688140765,0.32607166622756223,0.6781410324373979,0.34146341463414637,0.5384615384615384,0.8540540540540541
PC3,1,shap,3,10.003,0.36,0.854989604989605,0.3663103346956778,0.27441713285573627,0.5639923032163808,0.375,0.34615384615384615,0.918918918918919
PC3,1,gini,3,8.507,0.36,0.854989604989605,0.3663103346956778,0.27441713285573627,0.5639923032163808,0.375,0.34615384615384615,0.918918918918919
PC3,1,mutual_info,17,7.247,0.2727272727272727,0.8319126819126819,0.40902907644151176,0.19521601632953384,0.4645432335105268,0.3333333333333333,0.23076923076923078,0.9351351351351351
PC3,1,variance,18,7.45,0.37209302325581395,0.8456340956340956,0.41523993104283463,0.31283848820011373,0.5410392709623699,0.47058823529411764,0.3076923076923077,0.9513513513513514
PC3,2,shap,4,10.141,0.4225352112676056,0.791891891891892,0.3063394589069789,0.3328204940375652,0.6952467068372085,0.3333333333333333,0.5769230769230769,0.8378378378378378
PC3,2,gini,4,8.679,0.4225352112676056,0.791891891891892,0.3063394589069789,0.3328204940375652,0.6952467068372085,0.3333333333333333,0.5769230769230769,0.8378378378378378
PC3,2,mutual_info,4,8.704,0.4225352112676056,0.791891891891892,0.3063394589069789,0.3328204940375652,0.6952467068372085,0.3333333333333333,0.5769230769230769,0.8378378378378378
PC3,2,variance,4,8.405,0.43478260869565216,0.7963617463617463,0.34729853624329377,0.347261339255611,0.6997177928315026,0.3488372093023256,0.5769230769230769,0.8486486486486486
PC3,3,shap,3,9.878,0.42424242424242425,0.8038252508361204,0.3203651078623211,0.3331221870441566,0.6799813099930022,0.35,0.5384615384615384,0.8586956521739131
PC3,3,gini,3,8.9,0.4057971014492754,0.8319397993311037,0.4883277609974497,0.31085676548025976,0.6734948535258102,0.32558139534883723,0.5384615384615384,0.842391304347826
PC3,3,mutual_info,4,8.67,0.29508196721311475,0.7968227424749164,0.2761756233613008,0.1810412100391551,0.545197948157901,0.2571428571428571,0.34615384615384615,0.8586956521739131
PC3,3,variance,16,8.137,0.35714285714285715,0.8237876254180602,0.3029702637658772,0.2597056905574371,0.5854992438496356,0.3333333333333333,0.38461538461538464,0.8913043478260869
PC3,4,shap,7,9.979,0.37681159420289856,0.7954640468227425,0.34711548788337954,0.27502804937111897,0.6468989572333266,0.3023255813953488,0.5,0.8369565217391305
PC3,4,gini,7,8.514,0.37681159420289856,0.7954640468227425,0.34711548788337954,0.27502804937111897,0.6468989572333266,0.3023255813953488,0.5,0.8369565217391305
PC3,4,mutual_info,7,8.486,0.37681159420289856,0.7978678929765886,0.37422166835324966,0.27502804937111897,0.6468989572333266,0.3023255813953488,0.5,0.8369565217391305
PC3,4,variance,5,8.187,0.4507042253521127,0.8188754180602007,0.39817651935334497,0.3674517333271462,0.7199962838997375,0.35555555555555557,0.6153846153846154,0.842391304347826
