dataset,fold,filter_criterion,n_features_selected,stage1_time_s,F1,AUC,PRAUC,MCC,Gmean,Precision,Recall,Specificity
camel-1.6,0,shap,16,18.684,0.4657534246575342,0.77997227997228,0.41867784409450426,0.3412303104913123,0.6352162257843021,0.4722222222222222,0.4594594594594595,0.8782051282051282
camel-1.6,0,gini,16,12.741,0.410958904109589,0.7363998613998614,0.40274412041538465,0.27364955120467993,0.5923103923042384,0.4166666666666667,0.40540540540540543,0.8653846153846154
camel-1.6,0,mutual_info,16,9.337,0.4473684210526316,0.7456687456687457,0.3762397051719634,0.3121689343981713,0.628222806545492,0.4358974358974359,0.4594594594594595,0.8589743589743589
camel-1.6,0,variance,14,9.609,0.39473684210526316,0.7233194733194734,0.33643789643858135,0.24661006134175445,0.5856921913730309,0.38461538461538464,0.40540540540540543,0.8461538461538461
camel-1.6,1,shap,3,11.028,0.29213483146067415,0.6543659043659042,0.25125930721100126,0.08992521332084406,0.51333567333034,0.25,0.35135135135135137,0.75
camel-1.6,1,gini,12,9.234,0.36923076923076925,0.7271309771309771,0.38850357652087614,0.24787105809283472,0.5395000380540219,0.42857142857142855,0.32432432432432434,0.8974358974358975
camel-1.6,1,mutual_info,8,8.905,0.38235294117647056,0.7071205821205822,0.33554236993009445,0.2529738277849008,0.5575040903982775,0.41935483870967744,0.35135135135135137,0.8846153846153846
camel-1.6,1,variance,8,8.79,0.38235294117647056,0.7071205821205822,0.33554236993009445,0.2529738277849008,0.5575040903982775,0.41935483870967744,0.35135135135135137,0.8846153846153846
camel-1.6,2,shap,12,12.158,0.4444444444444444,0.7109507640067912,0.3694675308125178,0.2985247328047197,0.6303043165084371,0.4186046511627907,0.47368421052631576,0.8387096774193549
camel-1.6,2,gini,8,8.912,0.35294117647058826,0.6782682512733448,0.3687412534343044,0.17444098965778163,0.559680966605356,0.3191489361702128,0.39473684210526316,0.7935483870967742
camel-1.6,2,mutual_info,12,9.253,0.4523809523809524,0.731239388794567,0.38129921535989253,0.30407431994572104,0.6425754631219991,0.41304347826086957,0.5,0.8258064516129032
camel-1.6,2,variance,16,9.43,0.38461538461538464,0.7334465195246179,0.36781419439388086,0.22901785341054987,0.5753864870742448,0.375,0.39473684210526316,0.8387096774193549
camel-1.6,3,shap,6,12.348,0.31746031746031744,0.75169779286927,0.40749962711311727,0.1970351836871768,0.4875356414640809,0.4,0.2631578947368421,0.9032258064516129
camel-1.6,3,gini,6,9.26,0.3225806451612903,0.7234295415959253,0.3913930264129132,0.20827692515164525,0.48927374195542395,0.4166666666666667,0.2631578947368421,0.9096774193548387
camel-1.6,3,mutual_info,3,8.423,0.30985915492957744,0.665874363327674,0.32397262766861623,0.15582788199127165,0.4983844868915901,0.3333333333333333,0.2894736842105263,0.8580645161290322
camel-1.6,3,variance,16,10.003,0.41379310344827586,0.7539898132427844,0.4911386393925463,0.34467826316192723,0.5472574002598951,0.6,0.3157894736842105,0.9483870967741935
camel-1.6,4,shap,10,12.75,0.3684210526315789,0.6928692699490662,0.35888922322393624,0.2135823429541596,0.5580100467053516,0.3684210526315789,0.3684210526315789,0.8451612903225807
camel-1.6,4,gini,3,8.141,0.367816091954023,0.651358234295416,0.2938348564680739,0.19017504895652818,0.5756814814474182,0.32653061224489793,0.42105263157894735,0.7870967741935484
camel-1.6,4,mutual_info,16,9.585,0.425,0.7391341256366724,0.4371245197518353,0.27569515816241696,0.612545691445674,0.40476190476190477,0.4473684210526316,0.8387096774193549
camel-1.6,4,variance,14,9.57,0.4,0.7252122241086587,0.3980461036555236,0.26975731785208723,0.5706458379117263,0.4375,0.3684210526315789,0.8838709677419355
