dataset,fold,filter_criterion,n_features_selected,stage1_time_s,F1,AUC,PRAUC,MCC,Gmean,Precision,Recall,Specificity
synapse-1.2,0,shap,18,11.623,0.6222222222222222,0.7753267973856208,0.6473043428306586,0.3765197559275315,0.6931032800836721,0.5185185185185185,0.7777777777777778,0.6176470588235294
synapse-1.2,0,gini,18,11.343,0.6222222222222222,0.7753267973856208,0.6473043428306586,0.3765197559275315,0.6931032800836721,0.5185185185185185,0.7777777777777778,0.6176470588235294
synapse-1.2,0,mutual_info,18,5.343,0.6222222222222222,0.7753267973856208,0.6473043428306586,0.3765197559275315,0.6931032800836721,0.5185185185185185,0.7777777777777778,0.6176470588235294
synapse-1.2,0,variance,18,5.06,0.6222222222222222,0.7753267973856208,0.6473043428306586,0.3765197559275315,0.6931032800836721,0.5185185185185185,0.7777777777777778,0.6176470588235294
synapse-1.2,1,shap,16,5.909,0.7428571428571429,0.8287197231833909,0.7104193412361551,0.6092717958449425,0.8076194245732929,0.7222222222222222,0.7647058823529411,0.8529411764705882
synapse-1.2,1,gini,16,5.594,0.7428571428571429,0.8287197231833909,0.7104193412361551,0.6092717958449425,0.8076194245732929,0.7222222222222222,0.7647058823529411,0.8529411764705882
synapse-1.2,1,mutual_info,16,5.489,0.7222222222222222,0.8304498269896193,0.7190308428682262,0.5735393346764044,0.7935727978371788,0.6842105263157895,0.7647058823529411,0.8235294117647058
synapse-1.2,1,variance,16,5.418,0.7428571428571429,0.8287197231833909,0.7104193412361551,0.6092717958449425,0.8076194245732929,0.7222222222222222,0.7647058823529411,0.8529411764705882
synapse-1.2,2,shap,13,5.037,0.6666666666666666,0.8399653979238755,0.7327265871383519,0.5408420485294111,0.7323470351758078,0.7692307692307693,0.5882352941176471,0.9117647058823529
synapse-1.2,2,gini,13,4.849,0.6666666666666666,0.8399653979238755,0.7327265871383519,0.5408420485294111,0.7323470351758078,0.7692307692307693,0.5882352941176471,0.9117647058823529
synapse-1.2,2,mutual_info,11,4.932,0.6857142857142857,0.8278546712802768,0.7322026953196139,0.5222329678670935,0.7624400821656306,0.6666666666666666,0.7058823529411765,0.8235294117647058
synapse-1.2,2,variance,11,5.159,0.5806451612903226,0.8174740484429065,0.6276862797885341,0.40389034790078004,0.6719799799291684,0.6428571428571429,0.5294117647058824,0.8529411764705882
synapse-1.2,3,shap,17,5.137,0.6060606060606061,0.8070934256055363,0.6744234609194099,0.4183300132670377,0.6960093862470137,0.625,0.5882352941176471,0.8235294117647058
synapse-1.2,3,gini,17,4.991,0.6060606060606061,0.8070934256055363,0.6744234609194099,0.4183300132670377,0.6960093862470137,0.625,0.5882352941176471,0.8235294117647058
synapse-1.2,3,mutual_info,17,4.752,0.6060606060606061,0.8070934256055363,0.6744234609194099,0.4183300132670377,0.6960093862470137,0.625,0.5882352941176471,0.8235294117647058
synapse-1.2,3,variance,9,6.061,0.6451612903225806,0.7482698961937717,0.6730106641223615,0.49709581280096005,0.7204381596421112,0.7142857142857143,0.5882352941176471,0.8823529411764706
synapse-1.2,4,shap,17,5.292,0.7058823529411765,0.852076124567474,0.8028345293051176,0.5588235294117647,0.7759356446042893,0.7058823529411765,0.7058823529411765,0.8529411764705882
synapse-1.2,4,gini,17,4.858,0.7058823529411765,0.852076124567474,0.8028345293051176,0.5588235294117647,0.7759356446042893,0.7058823529411765,0.7058823529411765,0.8529411764705882
synapse-1.2,4,mutual_info,17,4.754,0.6857142857142857,0.8650519031141869,0.7983881758649561,0.5222329678670935,0.7624400821656306,0.6666666666666666,0.7058823529411765,0.8235294117647058
synapse-1.2,4,variance,17,4.713,0.7058823529411765,0.852076124567474,0.8028345293051176,0.5588235294117647,0.7759356446042893,0.7058823529411765,0.7058823529411765,0.8529411764705882
