dataset,fold,filter_criterion,n_features_selected,stage1_time_s,F1,AUC,PRAUC,MCC,Gmean,Precision,Recall,Specificity
tomcat,0,shap,6,12.259,0.35555555555555557,0.7753715498938428,0.36867745392102796,0.29235513843251276,0.6771991775797204,0.26666666666666666,0.5333333333333333,0.8598726114649682
tomcat,0,gini,6,9.649,0.35555555555555557,0.7753715498938428,0.36867745392102796,0.29235513843251276,0.6771991775797204,0.26666666666666666,0.5333333333333333,0.8598726114649682
tomcat,0,mutual_info,6,6.201,0.3,0.7397027600849257,0.31454221920480135,0.2233270052062381,0.5929522381169483,0.24,0.4,0.8789808917197452
tomcat,0,variance,6,6.179,0.3,0.7397027600849257,0.31454221920480135,0.2233270052062381,0.5929522381169483,0.24,0.4,0.8789808917197452
tomcat,1,shap,3,7.439,0.3829787234042553,0.8078926282051282,0.4412432258628579,0.3184953133360476,0.6951065219972238,0.2903225806451613,0.5625,0.8589743589743589
tomcat,1,gini,3,6.738,0.3829787234042553,0.8078926282051282,0.4412432258628579,0.3184953133360476,0.6951065219972238,0.2903225806451613,0.5625,0.8589743589743589
tomcat,1,mutual_info,3,6.579,0.3829787234042553,0.8078926282051282,0.4412432258628579,0.3184953133360476,0.6951065219972238,0.2903225806451613,0.5625,0.8589743589743589
tomcat,1,variance,3,6.59,0.3829787234042553,0.8078926282051282,0.4412432258628579,0.3184953133360476,0.6951065219972238,0.2903225806451613,0.5625,0.8589743589743589
tomcat,2,shap,8,7.054,0.4444444444444444,0.8525641025641025,0.40280218090102604,0.38335826944652757,0.6793662204867574,0.4,0.5,0.9230769230769231
tomcat,2,gini,8,6.264,0.4444444444444444,0.8525641025641025,0.40280218090102604,0.38335826944652757,0.6793662204867574,0.4,0.5,0.9230769230769231
tomcat,2,mutual_info,8,6.122,0.4444444444444444,0.8525641025641025,0.40280218090102604,0.38335826944652757,0.6793662204867574,0.4,0.5,0.9230769230769231
tomcat,2,variance,8,6.241,0.4444444444444444,0.8525641025641025,0.40280218090102604,0.38335826944652757,0.6793662204867574,0.4,0.5,0.9230769230769231
tomcat,3,shap,3,7.493,0.35294117647058826,0.789957264957265,0.38112818070828486,0.28504385627478446,0.6055300708194984,0.3157894736842105,0.4,0.9166666666666666
tomcat,3,gini,3,6.651,0.35294117647058826,0.789957264957265,0.38112818070828486,0.28504385627478446,0.6055300708194984,0.3157894736842105,0.4,0.9166666666666666
tomcat,3,mutual_info,3,6.588,0.35294117647058826,0.789957264957265,0.38112818070828486,0.28504385627478446,0.6055300708194984,0.3157894736842105,0.4,0.9166666666666666
tomcat,3,variance,3,6.505,0.35294117647058826,0.789957264957265,0.38112818070828486,0.28504385627478446,0.6055300708194984,0.3157894736842105,0.4,0.9166666666666666
tomcat,4,shap,4,7.429,0.2727272727272727,0.7416666666666667,0.26764332272521624,0.19038660127352416,0.5839740071489835,0.20689655172413793,0.4,0.8525641025641025
tomcat,4,gini,4,6.409,0.2727272727272727,0.7416666666666667,0.26764332272521624,0.19038660127352416,0.5839740071489835,0.20689655172413793,0.4,0.8525641025641025
tomcat,4,mutual_info,4,6.311,0.2727272727272727,0.7416666666666667,0.26764332272521624,0.19038660127352416,0.5839740071489835,0.20689655172413793,0.4,0.8525641025641025
tomcat,4,variance,3,6.522,0.26666666666666666,0.7102564102564103,0.22173463513982328,0.1830814616609994,0.5817744738827396,0.2,0.4,0.8461538461538461
