dataset,fold,filter_criterion,n_features_selected,stage1_time_s,F1,AUC,PRAUC,MCC,Gmean,Precision,Recall,Specificity
xalan-2.4,0,shap,15,17.149,0.45,0.7930524759793052,0.37203215765071385,0.365478533874969,0.6157576048559333,0.5,0.4090909090909091,0.926829268292683
xalan-2.4,0,gini,15,15.579,0.45,0.7930524759793052,0.37203215765071385,0.365478533874969,0.6157576048559333,0.5,0.4090909090909091,0.926829268292683
xalan-2.4,0,mutual_info,15,8.914,0.45,0.7930524759793052,0.37203215765071385,0.365478533874969,0.6157576048559333,0.5,0.4090909090909091,0.926829268292683
xalan-2.4,0,variance,15,8.79,0.45,0.7930524759793052,0.37203215765071385,0.365478533874969,0.6157576048559333,0.5,0.4090909090909091,0.926829268292683
xalan-2.4,1,shap,19,9.872,0.5106382978723404,0.8342572062084257,0.5249180486979773,0.4176595708498058,0.6984302957695782,0.48,0.5454545454545454,0.8943089430894309
xalan-2.4,1,gini,19,8.664,0.5106382978723404,0.8342572062084257,0.5249180486979773,0.4176595708498058,0.6984302957695782,0.48,0.5454545454545454,0.8943089430894309
xalan-2.4,1,mutual_info,19,8.564,0.5106382978723404,0.8342572062084257,0.5249180486979773,0.4176595708498058,0.6984302957695782,0.48,0.5454545454545454,0.8943089430894309
xalan-2.4,1,variance,19,8.744,0.5106382978723404,0.8342572062084257,0.5249180486979773,0.4176595708498058,0.6984302957695782,0.48,0.5454545454545454,0.8943089430894309
xalan-2.4,2,shap,3,12.317,0.41379310344827586,0.849039172209904,0.44102472152770966,0.2909242623707872,0.6625891564490792,0.3333333333333333,0.5454545454545454,0.8048780487804879
xalan-2.4,2,gini,3,10.246,0.41379310344827586,0.849039172209904,0.44102472152770966,0.2909242623707872,0.6625891564490792,0.3333333333333333,0.5454545454545454,0.8048780487804879
xalan-2.4,2,mutual_info,3,9.553,0.41379310344827586,0.849039172209904,0.44102472152770966,0.2909242623707872,0.6625891564490792,0.3333333333333333,0.5454545454545454,0.8048780487804879
xalan-2.4,2,variance,3,9.637,0.41379310344827586,0.849039172209904,0.44102472152770966,0.2909242623707872,0.6625891564490792,0.3333333333333333,0.5454545454545454,0.8048780487804879
xalan-2.4,3,shap,17,9.52,0.425531914893617,0.8019746646795827,0.4629497298861098,0.31495990142924857,0.6313942653610732,0.4,0.45454545454545453,0.8770491803278688
xalan-2.4,3,gini,17,8.183,0.425531914893617,0.8019746646795827,0.4629497298861098,0.31495990142924857,0.6313942653610732,0.4,0.45454545454545453,0.8770491803278688
xalan-2.4,3,mutual_info,17,7.948,0.425531914893617,0.8019746646795827,0.4629497298861098,0.31495990142924857,0.6313942653610732,0.4,0.45454545454545453,0.8770491803278688
xalan-2.4,3,variance,17,8.066,0.425531914893617,0.8019746646795827,0.4629497298861098,0.31495990142924857,0.6313942653610732,0.4,0.45454545454545453,0.8770491803278688
xalan-2.4,4,shap,3,12.689,0.3508771929824561,0.7447839046199702,0.3306510328508014,0.20938052084823763,0.6011662783188852,0.2857142857142857,0.45454545454545453,0.7950819672131147
xalan-2.4,4,gini,3,9.742,0.3508771929824561,0.7447839046199702,0.3306510328508014,0.20938052084823763,0.6011662783188852,0.2857142857142857,0.45454545454545453,0.7950819672131147
xalan-2.4,4,mutual_info,3,9.766,0.3508771929824561,0.7447839046199702,0.3306510328508014,0.20938052084823763,0.6011662783188852,0.2857142857142857,0.45454545454545453,0.7950819672131147
xalan-2.4,4,variance,3,9.63,0.3508771929824561,0.7447839046199702,0.3306510328508014,0.20938052084823763,0.6011662783188852,0.2857142857142857,0.45454545454545453,0.7950819672131147
