dataset,fold,config,F1,AUC,MCC,Gmean
CM1,0,C_Reference,0.21052631578947367,0.7044444444444444,0.12812370226601222,0.4294699575575042
CM1,0,BalancedRF,0.2631578947368421,0.6744444444444444,0.16332631450203713,0.6101001739241042
CM1,0,EasyEnsemble,0.24390243902439024,0.658888888888889,0.13693893752039668,0.5962847939999439
CM1,0,ABF,0.15384615384615385,0.6694444444444444,0.036369648372665396,0.4109609335312651
CM1,0,ABF_Hybrid,0.2631578947368421,0.6705555555555556,0.16332631450203713,0.6101001739241042
CM1,1,C_Reference,0.4,0.8233333333333333,0.3333333333333333,0.6110100926607787
CM1,1,BalancedRF,0.45,0.8783333333333333,0.4364357804719848,0.8306623862918076
CM1,1,EasyEnsemble,0.37037037037037035,0.8844444444444445,0.37605071654517747,0.7888106377466155
CM1,1,ABF,0.3,0.8222222222222222,0.2222222222222222,0.5259911279353167
CM1,1,ABF_Hybrid,0.32558139534883723,0.8283333333333333,0.26229263620311993,0.7055336829505575
CM1,2,C_Reference,0.2777777777777778,0.7405555555555555,0.18238430103502126,0.6191391873668903
CM1,2,BalancedRF,0.2,0.6722222222222223,0.06804138174397717,0.5527707983925667
CM1,2,EasyEnsemble,0.2857142857142857,0.7466666666666667,0.22739550027311958,0.679869268479038
CM1,2,ABF,0.30303030303030304,0.7544444444444445,0.21386180543479086,0.6324555320336759
CM1,2,ABF_Hybrid,0.27586206896551724,0.7294444444444445,0.21350420507344953,0.6666666666666667
CM1,3,C_Reference,0.18181818181818182,0.5858024691358024,0.08511803863397262,0.4416579314300398
CM1,3,BalancedRF,0.21621621621621623,0.5709876543209877,0.11347803127252841,0.5708992257184502
CM1,3,EasyEnsemble,0.23255813953488372,0.554320987654321,0.1412612867392256,0.6136311676215145
CM1,3,ABF,0.14814814814814814,0.5555555555555556,0.03312693299999689,0.4274529791482521
CM1,3,ABF_Hybrid,0.2702702702702703,0.5765432098765433,0.1914941777723917,0.6431020501550125
CM1,4,C_Reference,0.16666666666666666,0.6837078651685393,0.05635851088038538,0.41597320570581053
CM1,4,BalancedRF,0.34285714285714286,0.7415730337078653,0.26808812362457496,0.6869571401183269
CM1,4,EasyEnsemble,0.3018867924528302,0.7359550561797753,0.24727791257159432,0.6967016997445652
CM1,4,ABF,0.27586206896551724,0.7067415730337079,0.17711299336493402,0.5767011961691438
CM1,4,ABF_Hybrid,0.2857142857142857,0.6898876404494383,0.19835500759767646,0.6517047653068032
