dataset,fold,config,F1,AUC,MCC,Gmean
JM1,0,C_Reference,0.42799461641991926,0.7731882274008626,0.31689543801715886,0.5853331844137839
JM1,0,BalancedRF,0.48188050930460335,0.7753234245396848,0.3383005029819596,0.6830276055301047
JM1,0,EasyEnsemble,0.46608695652173915,0.7560721570834168,0.3130301672636005,0.6851710070028466
JM1,0,ABF,0.47404063205417607,0.7719904338839622,0.34074714830418196,0.6529752040642113
JM1,0,ABF_Hybrid,0.4929078014184397,0.7730901584793771,0.35087850359890044,0.7064062868220333
JM1,1,C_Reference,0.42197253433208487,0.7408863536757584,0.292653874993396,0.5942980297788718
JM1,1,BalancedRF,0.45088868101029,0.7434347929595984,0.29426979142352705,0.663149112011085
JM1,1,EasyEnsemble,0.40654608096468564,0.7151895908970398,0.22808794336566027,0.6322005396491375
JM1,1,ABF,0.44298245614035087,0.7425474383045034,0.2978950093299386,0.6331220482594583
JM1,1,ABF_Hybrid,0.4386750223813787,0.7372977074867844,0.2753321123989431,0.6576351144444554
JM1,2,C_Reference,0.42874845105328374,0.7340844285490128,0.2995038050423066,0.6009007013312316
JM1,2,BalancedRF,0.45977011494252873,0.7386923151840449,0.3075597156373422,0.6676326783581948
JM1,2,EasyEnsemble,0.4150298889837746,0.7157908548363534,0.2397538110841423,0.6407388424177163
JM1,2,ABF,0.4454054054054054,0.7342785373798149,0.29926556228083645,0.6373956107125246
JM1,2,ABF_Hybrid,0.4440528634361233,0.7339194022259616,0.2822244398208407,0.6641468311825612
JM1,3,C_Reference,0.4262295081967213,0.7466521299217072,0.29990808630341925,0.5958346788333179
JM1,3,BalancedRF,0.46393762183235865,0.7494886889334971,0.3141543894756009,0.6687076594649936
JM1,3,EasyEnsemble,0.417910447761194,0.7041598807481916,0.24527588825407767,0.6409298700464925
JM1,3,ABF,0.45307443365695793,0.7512052332281854,0.3088014056863932,0.6439954093583096
JM1,3,ABF_Hybrid,0.4514991181657848,0.748888101331573,0.29271794235051135,0.6706891096057548
JM1,4,C_Reference,0.4227212681638045,0.756733638487193,0.3061282637992503,0.5842433110900943
JM1,4,BalancedRF,0.475266731328807,0.7495328175422962,0.3286319038976915,0.6783468635318307
JM1,4,EasyEnsemble,0.4533333333333333,0.7251981474730289,0.2938511830960404,0.6772841080220071
JM1,4,ABF,0.4611973392461197,0.7577247134119174,0.3222019562810057,0.6453680440140411
JM1,4,ABF_Hybrid,0.4566787003610108,0.7514872875062448,0.30021021207282517,0.6720184587902184
