dataset,fold,config,F1,AUC,MCC,Gmean
KC2,0,C_Reference,0.5769230769230769,0.7502738225629793,0.45141859882941554,0.7473941587124872
KC2,0,BalancedRF,0.5084745762711864,0.76013143483023,0.35504136270717246,0.7078808446708506
KC2,0,EasyEnsemble,0.5666666666666667,0.8009309967141293,0.440135730369815,0.7597486181363751
KC2,0,ABF,0.5172413793103449,0.7395947426067908,0.36765085450289053,0.71365955969306
KC2,0,ABF_Hybrid,0.4918032786885246,0.738499452354874,0.33072307537719986,0.6961795289098677
KC2,1,C_Reference,0.6122448979591837,0.8335158817086527,0.5002526954339216,0.7637028605064102
KC2,1,BalancedRF,0.6181818181818182,0.8477546549835706,0.5084196828071379,0.7897897178784956
KC2,1,EasyEnsemble,0.576271186440678,0.869934282584885,0.45301598316513064,0.765851114709265
KC2,1,ABF,0.6,0.839813800657174,0.4833301000989436,0.758305599515326
KC2,1,ABF_Hybrid,0.6101694915254238,0.8346111719605696,0.5020032933941098,0.7942840707857942
KC2,2,C_Reference,0.5,0.7719449225473322,0.40710109804360917,0.6305476678616638
KC2,2,BalancedRF,0.5531914893617021,0.7679288582903041,0.4286989037165949,0.7225568167373793
KC2,2,EasyEnsemble,0.5818181818181818,0.8103843947217441,0.46642995431145273,0.7724457287740799
KC2,2,ABF,0.46153846153846156,0.7527251864601261,0.33970350448626957,0.6181422391998143
KC2,2,ABF_Hybrid,0.5,0.7576018359150889,0.35774302394518903,0.6842209786877482
KC2,3,C_Reference,0.6530612244897959,0.8580034423407916,0.5586988352502638,0.8073102604136365
KC2,3,BalancedRF,0.6551724137931034,0.8677567412507171,0.5768092630563002,0.8417532177739607
KC2,3,EasyEnsemble,0.6333333333333333,0.8975903614457831,0.5504218726613223,0.8287019898321756
KC2,3,ABF,0.6274509803921569,0.8611589213998853,0.525648413504224,0.7958584708852839
KC2,3,ABF_Hybrid,0.631578947368421,0.8720596672403901,0.5402686832270902,0.8193024193721049
KC2,4,C_Reference,0.5,0.6970740103270223,0.3820525235329571,0.6515791312760104
KC2,4,BalancedRF,0.52,0.6979345955249571,0.38160186587758627,0.7069039102079965
KC2,4,EasyEnsemble,0.5217391304347826,0.6939185312679289,0.3896781491081741,0.6942101345006233
KC2,4,ABF,0.42857142857142855,0.6907630522088353,0.28399311531841653,0.6054826953102274
KC2,4,ABF_Hybrid,0.5306122448979592,0.6833046471600688,0.39669694250111665,0.7121597737278634
