dataset,fold,config,F1,AUC,MCC,Gmean
MC2,0,C_Reference,0.5882352941176471,0.6875,0.378726042189707,0.6718548123582124
MC2,0,BalancedRF,0.625,0.6875,0.46028324996028647,0.6972166887783964
MC2,0,EasyEnsemble,0.7,0.8055555555555556,0.5103545438827408,0.7637626158259734
MC2,0,ABF,0.5882352941176471,0.7152777777777777,0.378726042189707,0.6718548123582124
MC2,0,ABF_Hybrid,0.5882352941176471,0.7152777777777777,0.378726042189707,0.6718548123582124
MC2,1,C_Reference,0.5555555555555556,0.7951388888888888,0.3055555555555556,0.6454972243679028
MC2,1,BalancedRF,0.6,0.7430555555555556,0.3424747597107866,0.67700320038633
MC2,1,EasyEnsemble,0.5833333333333334,0.6666666666666666,0.2721655269759087,0.6236095644623235
MC2,1,ABF,0.6,0.8298611111111112,0.3424747597107866,0.67700320038633
MC2,1,ABF_Hybrid,0.6,0.8298611111111112,0.3424747597107866,0.67700320038633
MC2,2,C_Reference,0.5714285714285714,0.8472222222222222,0.4583333333333333,0.6454972243679028
MC2,2,BalancedRF,0.625,0.7986111111111112,0.46028324996028647,0.6972166887783964
MC2,2,EasyEnsemble,0.5263157894736842,0.7083333333333334,0.23814483610392007,0.6180165405913053
MC2,2,ABF,0.7,0.875,0.5103545438827408,0.7637626158259734
MC2,2,ABF_Hybrid,0.7,0.875,0.5103545438827408,0.7637626158259734
MC2,3,C_Reference,0.0,0.6041666666666666,-0.15309310892394862,0.0
MC2,3,BalancedRF,0.42857142857142855,0.6215277777777778,0.25,0.5400617248673216
MC2,3,EasyEnsemble,0.42857142857142855,0.5625,0.25,0.5400617248673216
MC2,3,ABF,0.4444444444444444,0.6215277777777778,0.13194444444444445,0.5527707983925666
MC2,3,ABF_Hybrid,0.4444444444444444,0.6215277777777778,0.13194444444444445,0.5527707983925666
MC2,4,C_Reference,0.7368421052631579,0.8359375,0.5913123959890826,0.8100925873009825
MC2,4,BalancedRF,0.7058823529411765,0.8828125,0.5477225575051662,0.7806247497997998
MC2,4,EasyEnsemble,0.6,0.8046875,0.3535533905932738,0.6846531968814576
MC2,4,ABF,0.6363636363636364,0.81640625,0.4183300132670378,0.701560760020114
MC2,4,ABF_Hybrid,0.6363636363636364,0.81640625,0.4183300132670378,0.701560760020114
