dataset,fold,config,F1,AUC,MCC,Gmean
PC1,0,C_Reference,0.4,0.7888888888888889,0.35405933692288893,0.6613313074614444
PC1,0,BalancedRF,0.36923076923076925,0.7983896940418679,0.3703922623946038,0.8081708338082719
PC1,0,EasyEnsemble,0.27906976744186046,0.7921095008051531,0.27714051105594667,0.7562940409182809
PC1,0,ABF,0.34146341463414637,0.7887278582930757,0.29262233292626283,0.651024214741936
PC1,0,ABF_Hybrid,0.36923076923076925,0.7943639291465379,0.3703922623946038,0.8081708338082719
PC1,1,C_Reference,0.3870967741935484,0.852818035426731,0.3413486853695465,0.6169897312779327
PC1,1,BalancedRF,0.4,0.855072463768116,0.3999549634844553,0.8200388820756866
PC1,1,EasyEnsemble,0.32432432432432434,0.8553945249597423,0.3255557256365812,0.7863570994927848
PC1,1,ABF,0.3225806451612903,0.8375201288244767,0.27195362295925407,0.5618006477335896
PC1,1,ABF_Hybrid,0.3448275862068966,0.8611916264090178,0.3221729046181369,0.7485896562402874
PC1,2,C_Reference,0.4444444444444444,0.904126213592233,0.3990038543014097,0.6862024383574915
PC1,2,BalancedRF,0.3939393939393939,0.8945691747572816,0.3918063559866732,0.8164346477095289
PC1,2,EasyEnsemble,0.3488372093023256,0.8859223300970873,0.3731881613725142,0.8289732214865252
PC1,2,ABF,0.45714285714285713,0.9127730582524273,0.412847243322529,0.6879687281219884
PC1,2,ABF_Hybrid,0.4057971014492754,0.9056432038834952,0.4159427420545626,0.8422260149117782
PC1,3,C_Reference,0.24,0.841626213592233,0.2076662138931735,0.4266600929914307
PC1,3,BalancedRF,0.32653061224489793,0.8439016990291262,0.27525366595006423,0.6628124835498458
PC1,3,EasyEnsemble,0.2894736842105263,0.8118932038834951,0.26183124432239946,0.7238566478260331
PC1,3,ABF,0.24,0.8493628640776699,0.2076662138931735,0.4266600929914307
PC1,3,ABF_Hybrid,0.3018867924528302,0.8543689320388349,0.24927078113990234,0.6554476718132706
PC1,4,C_Reference,0.5625,0.9325242718446602,0.5297004099222924,0.7594070246753144
PC1,4,BalancedRF,0.3380281690140845,0.906148867313916,0.3391118514773286,0.7931747686306172
PC1,4,EasyEnsemble,0.27956989247311825,0.8640776699029126,0.2900815372011258,0.7701973016670116
PC1,4,ABF,0.5555555555555556,0.9288025889967637,0.5260237213882006,0.7943978607505489
PC1,4,ABF_Hybrid,0.40540540540540543,0.9383495145631068,0.4471399982649496,0.8867963503478639
