dataset,fold,config,F1,AUC,MCC,Gmean
ant-1.7,0,C_Reference,0.6756756756756757,0.857105538140021,0.5761358686190597,0.8081352297940448
ant-1.7,0,BalancedRF,0.5813953488372093,0.8561912225705329,0.44774157680596444,0.7580980435789034
ant-1.7,0,EasyEnsemble,0.5454545454545454,0.8432601880877743,0.4029019710164112,0.7369555266607762
ant-1.7,0,ABF,0.5747126436781609,0.8457419017763845,0.43845815645834807,0.753778361444409
ant-1.7,0,ABF_Hybrid,0.5591397849462365,0.8482236154649948,0.4189125598624084,0.7462900229321766
ant-1.7,1,C_Reference,0.5882352941176471,0.7910135841170325,0.4669715867637741,0.7264232238196224
ant-1.7,1,BalancedRF,0.64,0.8100835945663533,0.5280093538285007,0.783849515338196
ant-1.7,1,EasyEnsemble,0.5842696629213483,0.8260188087774295,0.4537514111561095,0.7642754950885803
ant-1.7,1,ABF,0.5789473684210527,0.7970219435736677,0.4450473965138051,0.7389025723965594
ant-1.7,1,ABF_Hybrid,0.5714285714285714,0.8048589341692789,0.43277934324124767,0.7469897793193181
ant-1.7,2,C_Reference,0.5396825396825397,0.8295454545454545,0.4173936651803483,0.6763275964825369
ant-1.7,2,BalancedRF,0.5797101449275363,0.8415621734587252,0.45411052595222384,0.7228181235327591
ant-1.7,2,EasyEnsemble,0.5925925925925926,0.8113897596656218,0.46240451286453693,0.7594751528766367
ant-1.7,2,ABF,0.5294117647058824,0.8356844305120167,0.3907208838291962,0.682288239221013
ant-1.7,2,ABF_Hybrid,0.5714285714285714,0.8365987460815048,0.43420400089725497,0.7350033231608352
ant-1.7,3,C_Reference,0.6176470588235294,0.812957157784744,0.505096938231063,0.7480381865430706
ant-1.7,3,BalancedRF,0.5915492957746479,0.8181818181818183,0.4666185715131639,0.7369555266607762
ant-1.7,3,EasyEnsemble,0.6052631578947368,0.7912748171368862,0.4807182206561165,0.7594751528766367
ant-1.7,3,ABF,0.6301369863013698,0.8125653082549634,0.5157453564023436,0.7712506636670704
ant-1.7,3,ABF_Hybrid,0.5974025974025974,0.8248432601880877,0.4696346669069434,0.755509198077929
ant-1.7,4,C_Reference,0.6,0.8441176470588235,0.4674574326147652,0.755542182654166
ant-1.7,4,BalancedRF,0.5853658536585366,0.84616368286445,0.44650525681907816,0.7473739190900772
ant-1.7,4,EasyEnsemble,0.631578947368421,0.8588235294117648,0.5229885507856195,0.802808369894322
ant-1.7,4,ABF,0.611764705882353,0.8333759590792837,0.48409129008591356,0.7736055022721723
ant-1.7,4,ABF_Hybrid,0.6304347826086957,0.8271099744245524,0.5170826253272895,0.7986561603118654
