dataset,fold,config,F1,AUC,MCC,Gmean
camel-1.6,0,C_Reference,0.4657534246575342,0.77997227997228,0.3412303104913123,0.6352162257843021
camel-1.6,0,BalancedRF,0.4489795918367347,0.7487872487872488,0.2917559614886455,0.6677918432759912
camel-1.6,0,EasyEnsemble,0.4461538461538462,0.7397782397782398,0.2942687341264961,0.6798760638759554
camel-1.6,0,ABF,0.4827586206896552,0.762993762993763,0.34292434282913953,0.679748638879264
camel-1.6,0,ABF_Hybrid,0.4642857142857143,0.7747747747747749,0.31383001460272925,0.6942492218086974
camel-1.6,1,C_Reference,0.29213483146067415,0.6543659043659042,0.08992521332084406,0.51333567333034
camel-1.6,1,BalancedRF,0.32653061224489793,0.6444040194040195,0.12189502463401933,0.5547001962252291
camel-1.6,1,EasyEnsemble,0.4,0.6840783090783091,0.21524201934948256,0.6331673561554646
camel-1.6,1,ABF,0.39215686274509803,0.6679660429660429,0.20996077587693546,0.6201736729460423
camel-1.6,1,ABF_Hybrid,0.3865546218487395,0.6618156618156619,0.19384060090619884,0.6217082406733375
camel-1.6,2,C_Reference,0.4444444444444444,0.7109507640067912,0.2985247328047197,0.6303043165084371
camel-1.6,2,BalancedRF,0.45714285714285713,0.7286926994906622,0.295824393493756,0.6755492012131775
camel-1.6,2,EasyEnsemble,0.4666666666666667,0.7292020373514431,0.31248556273796163,0.6929183382113231
camel-1.6,2,ABF,0.4666666666666667,0.7142614601018675,0.3160586065181345,0.6649099662043687
camel-1.6,2,ABF_Hybrid,0.49122807017543857,0.7234295415959253,0.3476588284726774,0.7132031573354655
camel-1.6,3,C_Reference,0.31746031746031744,0.75169779286927,0.1970351836871768,0.4875356414640809
camel-1.6,3,BalancedRF,0.38095238095238093,0.730899830220713,0.21232912388080571,0.582716546748065
camel-1.6,3,EasyEnsemble,0.41379310344827586,0.6914261460101867,0.22947859244695343,0.6415177250170377
camel-1.6,3,ABF,0.41025641025641024,0.7567911714770799,0.26116363210744886,0.5965378323283288
camel-1.6,3,ABF_Hybrid,0.4,0.7415110356536503,0.21744964164320346,0.6194361859425137
camel-1.6,4,C_Reference,0.3684210526315789,0.6928692699490662,0.2135823429541596,0.5580100467053516
camel-1.6,4,BalancedRF,0.34,0.6994057724957555,0.1337373128457202,0.563460084259285
camel-1.6,4,EasyEnsemble,0.39655172413793105,0.6894736842105262,0.20292621334487787,0.6248938789363265
camel-1.6,4,ABF,0.38636363636363635,0.717911714770798,0.2128055794246527,0.5933988886799397
camel-1.6,4,ABF_Hybrid,0.3963963963963964,0.7207130730050934,0.20492649379472122,0.6232615891332983
