dataset,fold,config,F1,AUC,MCC,Gmean
tomcat,0,C_Reference,0.35555555555555557,0.7753715498938428,0.29235513843251276,0.6771991775797204
tomcat,0,BalancedRF,0.3125,0.7723991507430998,0.2614509228033402,0.7078570273192641
tomcat,0,EasyEnsemble,0.3188405797101449,0.7821656050955414,0.27931478281772854,0.7297150652365079
tomcat,0,ABF,0.3111111111111111,0.7698513800424629,0.23805159220098773,0.6311113104671595
tomcat,0,ABF_Hybrid,0.29850746268656714,0.7800424628450106,0.24521108728181432,0.6988009141537243
tomcat,1,C_Reference,0.3829787234042553,0.8078926282051282,0.3184953133360476,0.6951065219972238
tomcat,1,BalancedRF,0.3793103448275862,0.7996794871794872,0.3304769842207661,0.742213857494193
tomcat,1,EasyEnsemble,0.3188405797101449,0.811698717948718,0.26312783516388655,0.7088045189993121
tomcat,1,ABF,0.37735849056603776,0.8052884615384615,0.31946189452875606,0.7189067554814901
tomcat,1,ABF_Hybrid,0.36363636363636365,0.8058894230769231,0.3239364854013682,0.7531983087525438
tomcat,2,C_Reference,0.4444444444444444,0.8525641025641025,0.38335826944652757,0.6793662204867574
tomcat,2,BalancedRF,0.40816326530612246,0.8167067307692308,0.35228130365926646,0.7299675089362294
tomcat,2,EasyEnsemble,0.29508196721311475,0.7936698717948718,0.21922997226416396,0.6577935144802719
tomcat,2,ABF,0.4186046511627907,0.8449519230769231,0.357006415771281,0.7054049573444702
tomcat,2,ABF_Hybrid,0.3333333333333333,0.805488782051282,0.2636703924515229,0.676707242688958
tomcat,3,C_Reference,0.35294117647058826,0.789957264957265,0.28504385627478446,0.6055300708194984
tomcat,3,BalancedRF,0.3508771929824561,0.8128205128205128,0.30331670285953655,0.7279522854655583
tomcat,3,EasyEnsemble,0.3870967741935484,0.8709401709401708,0.36475385913238345,0.7877263614433762
tomcat,3,ABF,0.3684210526315789,0.7972222222222223,0.3018817718513035,0.647150228929434
tomcat,3,ABF_Hybrid,0.31746031746031744,0.8055555555555556,0.26635085270270803,0.7101221755962168
tomcat,4,C_Reference,0.2727272727272727,0.7416666666666667,0.19038660127352416,0.5839740071489835
tomcat,4,BalancedRF,0.28125,0.7722222222222221,0.21496619271192122,0.6679474875720741
tomcat,4,EasyEnsemble,0.3492063492063492,0.8085470085470086,0.3123569090786303,0.7479316208061465
tomcat,4,ABF,0.22641509433962265,0.7361111111111112,0.13259870882635919,0.563869415688347
tomcat,4,ABF_Hybrid,0.2894736842105263,0.7444444444444445,0.2437855374788408,0.7058970167741172
