dataset,fold,config,F1,AUC,MCC,Gmean
CM1,0,NoResample,0.0,0.6666666666666667,0.0,0.0
CM1,0,CostSensitive,0.1,0.6861111111111111,0.0,0.30000000000000004
CM1,0,SMOTE,0.24,0.6894444444444444,0.140028008402801,0.5099019513592785
CM1,0,BorderlineSMOTE,0.16,0.6638888888888889,0.04667600280093366,0.41365578819969523
CM1,0,ADASYN,0.25,0.7061111111111111,0.153704111387796,0.5131601439446883
CM1,0,SMOTETomek,0.23076923076923078,0.6972222222222222,0.1272937693043289,0.5066228051190221
CM1,0,FIB_ShapOnly,0.16666666666666666,0.6727777777777777,0.057639041770423505,0.41633319989322654
CM1,0,FIB_Borderline,0.2,0.6822222222222223,0.1111111111111111,0.42687494916218993
CM1,0,FIB_Adaptive,0.21052631578947367,0.6905555555555556,0.12812370226601222,0.4294699575575042
CM1,0,FIB_Full,0.21052631578947367,0.7044444444444444,0.12812370226601222,0.4294699575575042
CM1,1,NoResample,0.0,0.8416666666666667,-0.047619047619047616,0.0
CM1,1,CostSensitive,0.35294117647058826,0.7938888888888889,0.3004803573066879,0.5354126134736337
CM1,1,SMOTE,0.47619047619047616,0.8111111111111111,0.41548180186538547,0.6831300510639732
CM1,1,BorderlineSMOTE,0.3,0.8094444444444445,0.2222222222222222,0.5259911279353167
CM1,1,ADASYN,0.5,0.7855555555555555,0.4418993202399135,0.7393691004272944
CM1,1,SMOTETomek,0.43478260869565216,0.8033333333333333,0.36673230396086576,0.6749485577105528
CM1,1,FIB_ShapOnly,0.25,0.7911111111111111,0.153704111387796,0.5131601439446883
CM1,1,FIB_Borderline,0.3157894736842105,0.8616666666666667,0.24459979523511427,0.529150262212918
CM1,1,FIB_Adaptive,0.3157894736842105,0.8183333333333334,0.24459979523511427,0.529150262212918
CM1,1,FIB_Full,0.4,0.8233333333333333,0.3333333333333333,0.6110100926607787
CM1,2,NoResample,0.1111111111111111,0.7105555555555556,0.02457365935914952,0.30368111930480995
CM1,2,CostSensitive,0.21428571428571427,0.683888888888889,0.10411584125907071,0.5
CM1,2,SMOTE,0.2702702702702703,0.7455555555555555,0.17268844114653528,0.6146362971528592
CM1,2,BorderlineSMOTE,0.3225806451612903,0.7788888888888889,0.23733049780111423,0.6411794687223782
CM1,2,ADASYN,0.3333333333333333,0.7783333333333333,0.25837775979961347,0.6831300510639732
CM1,2,SMOTETomek,0.32432432432432434,0.7416666666666666,0.2477703720798115,0.6782329983125268
CM1,2,FIB_ShapOnly,0.32432432432432434,0.7961111111111111,0.2477703720798115,0.6782329983125268
CM1,2,FIB_Borderline,0.3448275862068966,0.7716666666666666,0.2634032499995339,0.6497862896539309
CM1,2,FIB_Adaptive,0.3448275862068966,0.7666666666666666,0.2634032499995339,0.6497862896539309
CM1,2,FIB_Full,0.2777777777777778,0.7405555555555555,0.18238430103502126,0.6191391873668903
CM1,3,NoResample,0.0,0.5493827160493827,-0.04540766091864998,0.0
CM1,3,CostSensitive,0.09090909090909091,0.5388888888888889,-0.01891511969643836,0.3103164454170876
CM1,3,SMOTE,0.0,0.5938271604938271,-0.12833778958394956,0.0
CM1,3,BorderlineSMOTE,0.15384615384615385,0.6185185185185185,0.042348557082196384,0.4303314829119352
CM1,3,ADASYN,0.07407407407407407,0.5833333333333334,-0.05797213274999455,0.30020569080236215
CM1,3,SMOTETomek,0.20689655172413793,0.6222222222222222,0.1034224469428449,0.519971509191004
CM1,3,FIB_ShapOnly,0.14814814814814814,0.585185185185185,0.03312693299999689,0.4274529791482521
CM1,3,FIB_Borderline,0.18181818181818182,0.5722222222222222,0.08511803863397262,0.4416579314300398
CM1,3,FIB_Adaptive,0.18181818181818182,0.5740740740740741,0.08511803863397262,0.4416579314300398
CM1,3,FIB_Full,0.18181818181818182,0.5858024691358024,0.08511803863397262,0.4416579314300398
CM1,4,NoResample,0.0,0.7039325842696629,-0.03386039022428409,0.0
CM1,4,CostSensitive,0.2857142857142857,0.7247191011235956,0.20146932183449032,0.5225262748084238
CM1,4,SMOTE,0.36363636363636365,0.7398876404494382,0.29183385107246324,0.6967016997445652
CM1,4,BorderlineSMOTE,0.2857142857142857,0.7157303370786516,0.18961818525599092,0.5805847497871377
CM1,4,ADASYN,0.3448275862068966,0.7280898876404495,0.2622304027975965,0.6491134836118732
CM1,4,SMOTETomek,0.34285714285714286,0.7219101123595506,0.26808812362457496,0.6869571401183269
CM1,4,FIB_ShapOnly,0.25806451612903225,0.6438202247191012,0.15404974798720172,0.5688545557679727
CM1,4,FIB_Borderline,0.24,0.6730337078651686,0.138815211419168,0.50946105032451
CM1,4,FIB_Adaptive,0.16666666666666666,0.6865168539325843,0.05635851088038538,0.41597320570581053
CM1,4,FIB_Full,0.16666666666666666,0.6837078651685393,0.05635851088038538,0.41597320570581053
