dataset,fold,config,F1,AUC,MCC,Gmean
JM1,0,NoResample,0.3188908145580589,0.7668428300120659,0.2788188373739056,0.4588711876061736
JM1,0,CostSensitive,0.44471153846153844,0.7595032166606248,0.31359411209640703,0.6187686128324371
JM1,0,SMOTE,0.4281984334203655,0.7690382211785585,0.30982432349396766,0.5910971962745639
JM1,0,BorderlineSMOTE,0.42408376963350786,0.7717036668307913,0.30540684945023794,0.5874818889884686
JM1,0,ADASYN,0.41909814323607425,0.7763460466726906,0.30244106624584016,0.5812877553085668
JM1,0,SMOTETomek,0.42618741976893454,0.7693567760890384,0.30361914963211867,0.5926101896282154
JM1,0,FIB_ShapOnly,0.4321475625823452,0.766332871620342,0.31676719991584845,0.5924092893347188
JM1,0,FIB_Borderline,0.41388518024032045,0.7658952813293005,0.2977152101564318,0.5761068018830238
JM1,0,FIB_Adaptive,0.42231075697211157,0.7748222585340252,0.3066748332519613,0.5834930881143312
JM1,0,FIB_Full,0.42799461641991926,0.7731882274008626,0.31689543801715886,0.5853331844137839
JM1,1,NoResample,0.3305785123966942,0.7378225453010784,0.26933553189282144,0.47557041862051563
JM1,1,CostSensitive,0.41946697566628044,0.7343001801762807,0.2761882440629787,0.6050016792148478
JM1,1,SMOTE,0.42012578616352203,0.742144341220329,0.29191173856444613,0.5915352651229246
JM1,1,BorderlineSMOTE,0.4276729559748428,0.7381079596794702,0.30116175949826335,0.5974024721407752
JM1,1,ADASYN,0.42039800995024873,0.7387342481021972,0.2899769846047191,0.593720761036736
JM1,1,SMOTETomek,0.42857142857142855,0.7439941239807596,0.3015014078514027,0.5987707826895287
JM1,1,FIB_ShapOnly,0.4289405684754522,0.7395039200515099,0.3083935448597172,0.5935567006763964
JM1,1,FIB_Borderline,0.425,0.7441591503038107,0.29661854548076744,0.5964393851496292
JM1,1,FIB_Adaptive,0.42118537200504413,0.7429268635800432,0.29372827736846346,0.5919170239655815
JM1,1,FIB_Full,0.42197253433208487,0.7408863536757584,0.292653874993396,0.5942980297788718
JM1,2,NoResample,0.3299319727891156,0.7289983713795659,0.28277061888339833,0.4703393867463309
JM1,2,CostSensitive,0.4014084507042254,0.7224967400537824,0.25582956312516164,0.5882481205174782
JM1,2,SMOTE,0.41836734693877553,0.7343996017725452,0.29267869780190536,0.5877097919004948
JM1,2,BorderlineSMOTE,0.4194373401534527,0.7332633549580942,0.2945361412960894,0.5880871336998204
JM1,2,ADASYN,0.4164588528678304,0.7284728572278824,0.2856373340706909,0.5901971645706807
JM1,2,SMOTETomek,0.41697877652933835,0.7339532190954394,0.2865258675500309,0.5903885074723104
JM1,2,FIB_ShapOnly,0.44025157232704404,0.7340154421352783,0.31657846105462534,0.6070997121046172
JM1,2,FIB_Borderline,0.42010309278350516,0.7355825158668752,0.29702999990599105,0.5872308632791824
JM1,2,FIB_Adaptive,0.4300254452926209,0.729348714147355,0.30639942354313005,0.5971760031716681
JM1,2,FIB_Full,0.42874845105328374,0.7340844285490128,0.2995038050423066,0.6009007013312316
JM1,3,NoResample,0.3187919463087248,0.7475888572062397,0.2616099079516583,0.46408283563347713
JM1,3,CostSensitive,0.4326923076923077,0.7447435058083856,0.2987344522142519,0.6093514805637246
JM1,3,SMOTE,0.4119170984455959,0.7494589300883566,0.28818616212350556,0.5799808215531896
JM1,3,BorderlineSMOTE,0.42023346303501946,0.745724195023239,0.29862978169217225,0.5861749198745633
JM1,3,ADASYN,0.42985842985842987,0.7536285500949578,0.3086645094480371,0.5949622763419946
JM1,3,SMOTETomek,0.4195624195624196,0.7505451279359805,0.2960858272492964,0.5870430996090655
JM1,3,FIB_ShapOnly,0.42783505154639173,0.7489192128514925,0.306474696635168,0.593178277494368
JM1,3,FIB_Borderline,0.43846153846153846,0.7525673767307474,0.31834370797776124,0.6022374807106626
JM1,3,FIB_Adaptive,0.4342273307790549,0.7516908434738852,0.31234789658524365,0.5997075706286277
JM1,3,FIB_Full,0.4262295081967213,0.7466521299217072,0.29990808630341925,0.5958346788333179
JM1,4,NoResample,0.3265993265993266,0.7536294405962651,0.2742205694407792,0.46907870997155715
JM1,4,CostSensitive,0.45365853658536587,0.7467533519666221,0.32723650208613464,0.6225075875203738
JM1,4,SMOTE,0.4166666666666667,0.752756511524284,0.3030332464665619,0.576496018513465
JM1,4,BorderlineSMOTE,0.4360313315926893,0.753377621150133,0.3195799299828824,0.5965089293064556
JM1,4,ADASYN,0.4401041666666667,0.7578745898651111,0.3239531833741569,0.6000702082848179
JM1,4,SMOTETomek,0.4249667994687915,0.7531177002740983,0.3101478535089021,0.5849823921080334
JM1,4,FIB_ShapOnly,0.42473118279569894,0.7512989292610146,0.31285264767356713,0.5825978095278536
JM1,4,FIB_Borderline,0.42933333333333334,0.754301184159004,0.31644744912607164,0.5875480661587215
JM1,4,FIB_Adaptive,0.4295125164690382,0.7562387761439894,0.31377633683663714,0.589881738166284
JM1,4,FIB_Full,0.4227212681638045,0.756733638487193,0.3061282637992503,0.5842433110900943
