dataset,fold,config,F1,AUC,MCC,Gmean
MW1,0,NoResample,0.3333333333333333,0.78,0.42857142857142855,0.4472135954999579
MW1,0,CostSensitive,0.36363636363636365,0.78,0.2872134789517764,0.6036923425424945
MW1,0,SMOTE,0.2,0.7444444444444446,0.1111111111111111,0.42687494916218993
MW1,0,BorderlineSMOTE,0.5,0.8200000000000001,0.4418993202399135,0.7393691004272944
MW1,0,ADASYN,0.4,0.6844444444444444,0.3333333333333333,0.7118052168020874
MW1,0,SMOTETomek,0.2,0.7422222222222221,0.1111111111111111,0.42687494916218993
MW1,0,FIB_ShapOnly,0.3333333333333333,0.7555555555555555,0.2497691810051685,0.5962847939999439
MW1,0,FIB_Borderline,0.36363636363636365,0.808888888888889,0.2872134789517764,0.6036923425424945
MW1,0,FIB_Adaptive,0.36363636363636365,0.8044444444444444,0.2872134789517764,0.6036923425424945
MW1,0,FIB_Full,0.5,0.7622222222222222,0.4418993202399135,0.7393691004272944
MW1,1,NoResample,0.3333333333333333,0.6311111111111112,0.42857142857142855,0.4472135954999579
MW1,1,CostSensitive,0.5454545454545454,0.6844444444444444,0.49236596391733095,0.7483314773547882
MW1,1,SMOTE,0.5,0.7355555555555556,0.4418993202399135,0.7393691004272944
MW1,1,BorderlineSMOTE,0.5454545454545454,0.7266666666666666,0.49236596391733095,0.7483314773547882
MW1,1,ADASYN,0.46153846153846156,0.7711111111111112,0.40006613209931935,0.7302967433402214
MW1,1,SMOTETomek,0.5,0.7488888888888888,0.4418993202399135,0.7393691004272944
MW1,1,FIB_ShapOnly,0.4,0.7844444444444445,0.3333333333333333,0.7118052168020874
MW1,1,FIB_Borderline,0.5454545454545454,0.7133333333333335,0.49236596391733095,0.7483314773547882
MW1,1,FIB_Adaptive,0.5454545454545454,0.7666666666666667,0.49236596391733095,0.7483314773547882
MW1,1,FIB_Full,0.5454545454545454,0.7377777777777778,0.49236596391733095,0.7483314773547882
MW1,2,NoResample,0.0,0.6622222222222223,-0.047619047619047616,0.0
MW1,2,CostSensitive,0.4444444444444444,0.6711111111111111,0.3931785497463923,0.6182412330330469
MW1,2,SMOTE,0.4444444444444444,0.7288888888888889,0.3931785497463923,0.6182412330330469
MW1,2,BorderlineSMOTE,0.4444444444444444,0.6266666666666666,0.3931785497463923,0.6182412330330469
MW1,2,ADASYN,0.5,0.68,0.47721942193769407,0.6253887679764573
MW1,2,SMOTETomek,0.4444444444444444,0.7066666666666667,0.3931785497463923,0.6182412330330469
MW1,2,FIB_ShapOnly,0.4444444444444444,0.6755555555555555,0.3931785497463923,0.6182412330330469
MW1,2,FIB_Borderline,0.4444444444444444,0.6888888888888888,0.3931785497463923,0.6182412330330469
MW1,2,FIB_Adaptive,0.4444444444444444,0.6888888888888889,0.3931785497463923,0.6182412330330469
MW1,2,FIB_Full,0.5,0.6288888888888889,0.47721942193769407,0.6253887679764573
MW1,3,NoResample,0.36363636363636365,0.7711111111111111,0.2872134789517764,0.6036923425424945
MW1,3,CostSensitive,0.3333333333333333,0.6733333333333335,0.2497691810051685,0.5962847939999439
MW1,3,SMOTE,0.2857142857142857,0.5822222222222222,0.1908790423082963,0.5811865258054232
MW1,3,BorderlineSMOTE,0.4,0.7288888888888889,0.3333333333333333,0.6110100926607787
MW1,3,ADASYN,0.13333333333333333,0.5466666666666667,0.0,0.4
MW1,3,SMOTETomek,0.2857142857142857,0.6,0.1908790423082963,0.5811865258054232
MW1,3,FIB_ShapOnly,0.14285714285714285,0.6,0.01735264020984512,0.4055175020198813
MW1,3,FIB_Borderline,0.15384615384615385,0.7000000000000001,0.036369648372665396,0.4109609335312651
MW1,3,FIB_Adaptive,0.16666666666666666,0.7000000000000001,0.057639041770423505,0.41633319989322654
MW1,3,FIB_Full,0.18181818181818182,0.6755555555555556,0.08206099398622183,0.4216370213557839
MW1,4,NoResample,0.0,0.6911111111111111,-0.047619047619047616,0.0
MW1,4,CostSensitive,0.4444444444444444,0.7044444444444443,0.3931785497463923,0.6182412330330469
MW1,4,SMOTE,0.2857142857142857,0.6777777777777778,0.2721655269759087,0.4422166387140533
MW1,4,BorderlineSMOTE,0.4,0.7377777777777778,0.3333333333333333,0.6110100926607787
MW1,4,ADASYN,0.2222222222222222,0.6688888888888889,0.14744195615489714,0.43204937989385733
MW1,4,SMOTETomek,0.2857142857142857,0.7,0.2721655269759087,0.4422166387140533
MW1,4,FIB_ShapOnly,0.4444444444444444,0.6866666666666668,0.3931785497463923,0.6182412330330469
MW1,4,FIB_Borderline,0.4444444444444444,0.7222222222222222,0.3931785497463923,0.6182412330330469
MW1,4,FIB_Adaptive,0.25,0.7088888888888888,0.1965021149155211,0.43716256828680006
MW1,4,FIB_Full,0.4444444444444444,0.6933333333333334,0.3931785497463923,0.6182412330330469
