dataset,fold,config,F1,AUC,MCC,Gmean
PC1,0,NoResample,0.4,0.8069243156199679,0.374173046816084,0.5703348170528195
PC1,0,CostSensitive,0.4,0.7914653784219003,0.35405933692288893,0.6613313074614444
PC1,0,SMOTE,0.37209302325581395,0.7925925925925926,0.33017866454997,0.6941206974821511
PC1,0,BorderlineSMOTE,0.3902439024390244,0.7884057971014493,0.34843174693797274,0.6978227007909176
PC1,0,ADASYN,0.38095238095238093,0.7869565217391306,0.3390841304727103,0.6959741605879626
PC1,0,SMOTETomek,0.3902439024390244,0.7826086956521738,0.34843174693797274,0.6978227007909176
PC1,0,FIB_ShapOnly,0.3333333333333333,0.7840579710144928,0.2841777286018557,0.6492904587616928
PC1,0,FIB_Borderline,0.3783783783783784,0.7950080515297907,0.3311496324192183,0.6579135517268919
PC1,0,FIB_Adaptive,0.3783783783783784,0.791304347826087,0.3311496324192183,0.6579135517268919
PC1,0,FIB_Full,0.4,0.7888888888888889,0.35405933692288893,0.6613313074614444
PC1,1,NoResample,0.3,0.8439613526570049,0.32198957402542183,0.445047899500988
PC1,1,CostSensitive,0.4,0.8698872785829308,0.374173046816084,0.5703348170528195
PC1,1,SMOTE,0.3333333333333333,0.8270531400966183,0.28502415458937197,0.5632319892832907
PC1,1,BorderlineSMOTE,0.35714285714285715,0.8396135265700483,0.3150253281317665,0.5660838150559305
PC1,1,ADASYN,0.3225806451612903,0.8351046698872786,0.27195362295925407,0.5618006477335896
PC1,1,SMOTETomek,0.3333333333333333,0.8201288244766505,0.28502415458937197,0.5632319892832907
PC1,1,FIB_ShapOnly,0.3225806451612903,0.8383252818035427,0.27195362295925407,0.5618006477335896
PC1,1,FIB_Borderline,0.4,0.8423510466988728,0.374173046816084,0.5703348170528195
PC1,1,FIB_Adaptive,0.35714285714285715,0.8644122383252818,0.3150253281317665,0.5660838150559305
PC1,1,FIB_Full,0.3870967741935484,0.852818035426731,0.3413486853695465,0.6169897312779327
PC1,2,NoResample,0.4444444444444444,0.9021541262135923,0.4179522449899296,0.6048950803671883
PC1,2,CostSensitive,0.45714285714285713,0.9044296116504854,0.412847243322529,0.6879687281219884
PC1,2,SMOTE,0.43243243243243246,0.9224817961165048,0.38606569649110567,0.6844315904031224
PC1,2,BorderlineSMOTE,0.42105263157894735,0.9101941747572815,0.37392977615239525,0.6826561487862892
PC1,2,ADASYN,0.47368421052631576,0.9265776699029126,0.43222500810873776,0.7259493282485121
PC1,2,SMOTETomek,0.45714285714285713,0.9291565533980582,0.412847243322529,0.6879687281219884
PC1,2,FIB_ShapOnly,0.4444444444444444,0.9373483009708737,0.3990038543014097,0.6862024383574915
PC1,2,FIB_Borderline,0.45714285714285713,0.9027609223300971,0.412847243322529,0.6879687281219884
PC1,2,FIB_Adaptive,0.4444444444444444,0.9024575242718447,0.3990038543014097,0.6862024383574915
PC1,2,FIB_Full,0.4444444444444444,0.904126213592233,0.3990038543014097,0.6862024383574915
PC1,3,NoResample,0.2222222222222222,0.8401092233009708,0.3421190648669766,0.3535533905932738
PC1,3,CostSensitive,0.24,0.8536104368932039,0.2076662138931735,0.4266600929914307
PC1,3,SMOTE,0.21428571428571427,0.8454186893203884,0.16446915827045325,0.42344805162756916
PC1,3,BorderlineSMOTE,0.25,0.8628640776699029,0.22648361792793908,0.42772541323402047
PC1,3,ADASYN,0.3076923076923077,0.8622572815533981,0.27540374864268047,0.4926646390821466
PC1,3,SMOTETomek,0.25,0.8473907766990291,0.22648361792793908,0.42772541323402047
PC1,3,FIB_ShapOnly,0.18181818181818182,0.8523968446601942,0.16837714512047428,0.35010400673797004
PC1,3,FIB_Borderline,0.24,0.8505764563106796,0.2076662138931735,0.4266600929914307
PC1,3,FIB_Adaptive,0.19047619047619047,0.8492111650485435,0.19248323674982698,0.3509695309431938
PC1,3,FIB_Full,0.24,0.841626213592233,0.2076662138931735,0.4266600929914307
PC1,4,NoResample,0.5,0.9004854368932039,0.4905048846106963,0.6278333833761577
PC1,4,CostSensitive,0.41379310344827586,0.9271844660194175,0.3729372502270141,0.6200532391798915
PC1,4,SMOTE,0.45,0.9156957928802589,0.41478806407832264,0.7439072914365251
PC1,4,BorderlineSMOTE,0.4444444444444444,0.9116504854368932,0.4033311172438288,0.7068779069998798
PC1,4,ADASYN,0.4878048780487805,0.9213592233009709,0.4598203298100035,0.7841471363153638
PC1,4,SMOTETomek,0.4,0.904368932038835,0.3579924245731744,0.6995143946692696
PC1,4,FIB_ShapOnly,0.47368421052631576,0.9262135922330098,0.4382541732726658,0.747812343419707
PC1,4,FIB_Borderline,0.6060606060606061,0.9362459546925567,0.5773487351584637,0.8004852897018946
PC1,4,FIB_Adaptive,0.5625,0.9266990291262137,0.5297004099222924,0.7594070246753144
PC1,4,FIB_Full,0.5625,0.9325242718446602,0.5297004099222924,0.7594070246753144
