dataset,fold,config,F1,AUC,MCC,Gmean
tomcat,0,NoResample,0.1111111111111111,0.7817409766454353,0.11622626602759964,0.25654903969115606
tomcat,0,CostSensitive,0.3157894736842105,0.7762208067940551,0.24182668866341717,0.5972335373111359
tomcat,0,SMOTE,0.2978723404255319,0.7753715498938428,0.22289693849983525,0.6263838183558778
tomcat,0,BorderlineSMOTE,0.3111111111111111,0.7980891719745223,0.23805159220098773,0.6311113104671595
tomcat,0,ADASYN,0.3404255319148936,0.7989384288747345,0.2758503548285254,0.6721641696140543
tomcat,0,SMOTETomek,0.30434782608695654,0.7832271762208068,0.2303342809666623,0.6287520075902997
tomcat,0,FIB_ShapOnly,0.391304347826087,0.8121019108280254,0.3375534861798312,0.71827819602086
tomcat,0,FIB_Borderline,0.3902439024390244,0.8004246284501062,0.32977547710549904,0.687158523572288
tomcat,0,FIB_Adaptive,0.36363636363636365,0.7940552016985138,0.30111136665866095,0.6797026950921256
tomcat,0,FIB_Full,0.35555555555555557,0.7753715498938428,0.29235513843251276,0.6771991775797204
tomcat,1,NoResample,0.48,0.7900641025641026,0.4640615842789195,0.60645565504698
tomcat,1,CostSensitive,0.35,0.7770432692307693,0.2753943863436,0.6243586452902834
tomcat,1,SMOTE,0.4074074074074074,0.8373397435897436,0.3601625360720802,0.7539957661582825
tomcat,1,BorderlineSMOTE,0.39285714285714285,0.8020833333333333,0.3448776710706392,0.7481280056384153
tomcat,1,ADASYN,0.41379310344827586,0.8427483974358975,0.3770688213404151,0.7783117824941563
tomcat,1,SMOTETomek,0.4444444444444444,0.8389423076923077,0.4084086078823589,0.7905694150420949
tomcat,1,FIB_ShapOnly,0.44,0.8407451923076923,0.39390237555747637,0.7655963822490415
tomcat,1,FIB_Borderline,0.4,0.8032852564102564,0.33693022657567107,0.7002746713858894
tomcat,1,FIB_Adaptive,0.3829787234042553,0.780849358974359,0.3184953133360476,0.6951065219972238
tomcat,1,FIB_Full,0.3829787234042553,0.8078926282051282,0.3184953133360476,0.6951065219972238
tomcat,2,NoResample,0.2,0.798076923076923,0.21619771735948787,0.35127971176462197
tomcat,2,CostSensitive,0.42857142857142855,0.7914663461538463,0.38371288344682525,0.6004805767690767
tomcat,2,SMOTE,0.45,0.8375400641025641,0.39092568988286636,0.7130311785177851
tomcat,2,BorderlineSMOTE,0.358974358974359,0.8359375,0.28584258762682546,0.6266005147845037
tomcat,2,ADASYN,0.37209302325581395,0.8187099358974359,0.30198392158430937,0.6626481450231065
tomcat,2,SMOTETomek,0.4,0.8463541666666667,0.3331600381132332,0.6698641270570836
tomcat,2,FIB_ShapOnly,0.43902439024390244,0.8259214743589743,0.3790451340872399,0.7104982000735064
tomcat,2,FIB_Borderline,0.4117647058823529,0.8465544871794872,0.3482383289787811,0.6376916504280427
tomcat,2,FIB_Adaptive,0.47058823529411764,0.8579727564102565,0.4136280588743601,0.6840677729207231
tomcat,2,FIB_Full,0.4444444444444444,0.8525641025641025,0.38335826944652757,0.6793662204867574
tomcat,3,NoResample,0.3,0.7405982905982906,0.31428751970402086,0.4443375939934606
tomcat,3,CostSensitive,0.3225806451612903,0.7658119658119658,0.2552944342106929,0.5566229063100618
tomcat,3,SMOTE,0.3333333333333333,0.8264957264957266,0.2618824499320594,0.6012806844880862
tomcat,3,BorderlineSMOTE,0.34285714285714286,0.7794871794871795,0.27310221374854426,0.6034091183455584
tomcat,3,ADASYN,0.358974358974359,0.7891025641025642,0.2913085564126918,0.6448348360719711
tomcat,3,SMOTETomek,0.41025641025641024,0.8141025641025641,0.35082320772281167,0.6918326955503611
tomcat,3,FIB_ShapOnly,0.2702702702702703,0.8027777777777777,0.18956008732019192,0.5449849053033918
tomcat,3,FIB_Borderline,0.3125,0.8066239316239316,0.2424144480989481,0.5547001962252291
tomcat,3,FIB_Adaptive,0.36363636363636365,0.8117521367521368,0.297804940868062,0.6076436202502
tomcat,3,FIB_Full,0.35294117647058826,0.789957264957265,0.28504385627478446,0.6055300708194984
tomcat,4,NoResample,0.3333333333333333,0.7408119658119658,0.2972252176540488,0.5080547786603902
tomcat,4,CostSensitive,0.2222222222222222,0.7235042735042736,0.1287291527303902,0.5290694944093166
tomcat,4,SMOTE,0.22641509433962265,0.7190170940170939,0.13259870882635919,0.563869415688347
tomcat,4,BorderlineSMOTE,0.24561403508771928,0.7341880341880342,0.15924126900125668,0.6016359463710691
tomcat,4,ADASYN,0.2222222222222222,0.7335470085470086,0.12706074331038025,0.5615911461059686
tomcat,4,SMOTETomek,0.18181818181818182,0.7196581196581197,0.07282267170993918,0.5084751798731266
tomcat,4,FIB_ShapOnly,0.25,0.7378205128205128,0.164797815834771,0.6041169298714156
tomcat,4,FIB_Borderline,0.27906976744186046,0.7638888888888888,0.19797833205846221,0.5861652869197762
tomcat,4,FIB_Adaptive,0.2857142857142857,0.7512820512820513,0.20588302628633695,0.5883484054145521
tomcat,4,FIB_Full,0.2727272727272727,0.7416666666666667,0.19038660127352416,0.5839740071489835
