dataset,fold,config,F1,AUC,MCC,Gmean
xalan-2.4,0,NoResample,0.0,0.8017368810051738,-0.050015632328035534,0.0
xalan-2.4,0,CostSensitive,0.43902439024390244,0.7923133776792313,0.34849588203221366,0.6130509649185646
xalan-2.4,0,SMOTE,0.3076923076923077,0.7854767184035477,0.20440350324657403,0.4983342541154819
xalan-2.4,0,BorderlineSMOTE,0.3157894736842105,0.7721729490022172,0.2191850945783665,0.5005540167904513
xalan-2.4,0,ADASYN,0.3181818181818182,0.7505543237250555,0.19623059866962306,0.5285632955738961
xalan-2.4,0,SMOTETomek,0.37209302325581395,0.782520325203252,0.26294870515312835,0.570265948512201
xalan-2.4,0,FIB_ShapOnly,0.34782608695652173,0.7767923133776792,0.22545240689995685,0.5624358385021649
xalan-2.4,0,FIB_Borderline,0.4,0.7967479674796748,0.30717887775629954,0.5779899926758311
xalan-2.4,0,FIB_Adaptive,0.32432432432432434,0.7995195861049519,0.2350783089937741,0.5027639790451153
xalan-2.4,0,FIB_Full,0.45,0.7930524759793052,0.365478533874969,0.6157576048559333
xalan-2.4,1,NoResample,0.4864864864864865,0.8455284552845528,0.4244469467943144,0.6238070655169863
xalan-2.4,1,CostSensitive,0.5,0.8422025129342203,0.40366285912036837,0.695248364434133
xalan-2.4,1,SMOTE,0.5490196078431373,0.8305617147080562,0.4613678688652755,0.7475013811732228
xalan-2.4,1,BorderlineSMOTE,0.6122448979591837,0.8512564671101257,0.5384496364474894,0.7844101827561457
xalan-2.4,1,ADASYN,0.5490196078431373,0.8377679231337768,0.4613678688652755,0.7475013811732228
xalan-2.4,1,SMOTETomek,0.5384615384615384,0.8313008130081302,0.4483809197431017,0.7440326785534077
xalan-2.4,1,FIB_ShapOnly,0.5306122448979592,0.835550628233555,0.4396827834621814,0.7236374407134868
xalan-2.4,1,FIB_Borderline,0.5416666666666666,0.8440502586844051,0.4537751147474689,0.7269492998503029
xalan-2.4,1,FIB_Adaptive,0.5531914893617021,0.8414634146341463,0.46855086309621075,0.7302461389855656
xalan-2.4,1,FIB_Full,0.5106382978723404,0.8342572062084257,0.4176595708498058,0.6984302957695782
xalan-2.4,2,NoResample,0.36363636363636365,0.8595713229859572,0.3144466743065973,0.5115083559690536
xalan-2.4,2,CostSensitive,0.41379310344827586,0.8453436807095344,0.2909242623707872,0.6625891564490792
xalan-2.4,2,SMOTE,0.47619047619047616,0.8446045824094605,0.374762311964662,0.7332762189678385
xalan-2.4,2,BorderlineSMOTE,0.39344262295081966,0.8325942350332595,0.2637056609464934,0.6524726973924442
xalan-2.4,2,ADASYN,0.45161290322580644,0.8252032520325203,0.3411216620433358,0.7084121298722833
xalan-2.4,2,SMOTETomek,0.4838709677419355,0.8436807095343681,0.3841326542140173,0.7370463014996573
xalan-2.4,2,FIB_ShapOnly,0.4,0.8290835181079083,0.27253409837184894,0.6558621887584429
xalan-2.4,2,FIB_Borderline,0.4482758620689655,0.8612342941611234,0.3354221716996523,0.6931189616855402
xalan-2.4,2,FIB_Adaptive,0.4482758620689655,0.8471914264597191,0.3354221716996523,0.6931189616855402
xalan-2.4,2,FIB_Full,0.41379310344827586,0.849039172209904,0.2909242623707872,0.6625891564490792
xalan-2.4,3,NoResample,0.2857142857142857,0.753725782414307,0.29783555793164995,0.4228918962178588
xalan-2.4,3,CostSensitive,0.34782608695652173,0.7785022354694486,0.22443836178655088,0.5620910502162741
xalan-2.4,3,SMOTE,0.56,0.7982488822652756,0.4741642093358353,0.7505586592953405
xalan-2.4,3,BorderlineSMOTE,0.45454545454545453,0.8040238450074516,0.3561847988077496,0.6401843996644799
xalan-2.4,3,ADASYN,0.40816326530612246,0.7960134128166915,0.2905389042876327,0.6254655494127838
xalan-2.4,3,SMOTETomek,0.44,0.7956408345752608,0.3278506818836347,0.6559938024497327
xalan-2.4,3,FIB_ShapOnly,0.425531914893617,0.7857675111773472,0.31495990142924857,0.6313942653610732
xalan-2.4,3,FIB_Borderline,0.4444444444444444,0.7928464977645306,0.3417425197888956,0.6372678268667449
xalan-2.4,3,FIB_Adaptive,0.4583333333333333,0.8057004470938898,0.3526643654501334,0.6622118921945863
xalan-2.4,3,FIB_Full,0.425531914893617,0.8019746646795827,0.31495990142924857,0.6313942653610732
xalan-2.4,4,NoResample,0.15384615384615385,0.7455290611028316,0.16313409064559226,0.2990297275244856
xalan-2.4,4,CostSensitive,0.35555555555555557,0.7511177347242921,0.23636581133150597,0.5647361991803603
xalan-2.4,4,SMOTE,0.36363636363636365,0.7442250372578242,0.2277133522223619,0.607332247634187
xalan-2.4,4,BorderlineSMOTE,0.36,0.7390089418777943,0.2303083302488343,0.5876904200395472
xalan-2.4,4,ADASYN,0.39344262295081966,0.7246646795827124,0.2624224850671896,0.6517201816968679
xalan-2.4,4,SMOTETomek,0.36363636363636365,0.7367734724292102,0.2277133522223619,0.607332247634187
xalan-2.4,4,FIB_ShapOnly,0.38461538461538464,0.7442250372578241,0.25744845738984107,0.6164655758915615
xalan-2.4,4,FIB_Borderline,0.38461538461538464,0.7609910581222057,0.25744845738984107,0.6164655758915615
xalan-2.4,4,FIB_Adaptive,0.36363636363636365,0.7455290611028316,0.2277133522223619,0.607332247634187
xalan-2.4,4,FIB_Full,0.3508771929824561,0.7447839046199702,0.20938052084823763,0.6011662783188852
