dataset,fold,requested_top_k,n_features_selected,F1,AUC,MCC,Gmean
CM1,0,5,3,0.2727272727272727,0.7038888888888888,0.1846372364689991,0.5196152422706632
CM1,0,10,3,0.21052631578947367,0.7044444444444444,0.12812370226601222,0.4294699575575042
CM1,0,15,3,0.21052631578947367,0.7044444444444444,0.12812370226601222,0.4294699575575042
CM1,0,999,3,0.21052631578947367,0.7044444444444444,0.12812370226601222,0.4294699575575042
CM1,1,5,5,0.3157894736842105,0.785,0.24459979523511427,0.529150262212918
CM1,1,10,6,0.23529411764705882,0.7877777777777777,0.16983672369508443,0.4346134936801766
CM1,1,15,7,0.4,0.8233333333333333,0.3333333333333333,0.6110100926607787
CM1,1,999,7,0.4,0.8233333333333333,0.3333333333333333,0.6110100926607787
CM1,2,5,3,0.34285714285714286,0.7716666666666666,0.26943012562182533,0.687992248018343
CM1,2,10,3,0.2777777777777778,0.7405555555555555,0.18238430103502126,0.6191391873668903
CM1,2,15,3,0.2777777777777778,0.7405555555555555,0.18238430103502126,0.6191391873668903
CM1,2,999,3,0.2777777777777778,0.7405555555555555,0.18238430103502126,0.6191391873668903
CM1,3,5,5,0.0,0.6728395061728395,-0.1,0.0
CM1,3,10,4,0.09090909090909091,0.6129629629629629,-0.01891511969643836,0.3103164454170876
CM1,3,15,5,0.18181818181818182,0.5858024691358024,0.08511803863397262,0.4416579314300398
CM1,3,999,5,0.18181818181818182,0.5858024691358024,0.08511803863397262,0.4416579314300398
CM1,4,5,5,0.3333333333333333,0.7112359550561798,0.24875480664445962,0.595865907545717
CM1,4,10,3,0.2857142857142857,0.6730337078651686,0.18961818525599092,0.5805847497871377
CM1,4,15,3,0.16666666666666666,0.6837078651685393,0.05635851088038538,0.41597320570581053
CM1,4,999,3,0.16666666666666666,0.6837078651685393,0.05635851088038538,0.41597320570581053
