dataset,fold,k_neighbors,F1,AUC,MCC,Gmean
CM1,0,3,0.125,0.6611111111111112,0.056143461404434596,0.3073181485764296
CM1,0,5,0.21052631578947367,0.7044444444444444,0.12812370226601222,0.4294699575575042
CM1,0,7,0.16,0.7433333333333334,0.04667600280093366,0.41365578819969523
CM1,0,10,0.20689655172413793,0.7072222222222222,0.09346566935467332,0.49665548085837796
CM1,1,3,0.13333333333333333,0.8083333333333333,0.07647191129018725,0.30912061651652345
CM1,1,5,0.4,0.8233333333333333,0.3333333333333333,0.6110100926607787
CM1,1,7,0.46153846153846156,0.8255555555555556,0.40006613209931935,0.7302967433402214
CM1,1,10,0.48,0.8044444444444444,0.420084025208403,0.7348469228349535
CM1,2,3,0.16666666666666666,0.735,0.057639041770423505,0.41633319989322654
CM1,2,5,0.2777777777777778,0.7405555555555555,0.18238430103502126,0.6191391873668903
CM1,2,7,0.3157894736842105,0.7327777777777779,0.23756554836659946,0.6733003292241385
CM1,2,10,0.3181818181818182,0.736111111111111,0.25332019855244947,0.7
CM1,3,3,0.09523809523809523,0.5567901234567901,-0.009787003658578392,0.31229931827900437
CM1,3,5,0.18181818181818182,0.5858024691358024,0.08511803863397262,0.4416579314300398
CM1,3,7,0.17391304347826086,0.5703703703703704,0.0733358797622569,0.43885372573625553
CM1,3,10,0.23076923076923078,0.5907407407407408,0.13551538266302843,0.5305482838361476
CM1,4,3,0.2857142857142857,0.6825842696629214,0.20146932183449032,0.5225262748084238
CM1,4,5,0.16666666666666666,0.6837078651685393,0.05635851088038538,0.41597320570581053
CM1,4,7,0.3333333333333333,0.6685393258426967,0.2487702652217179,0.6447715386698235
CM1,4,10,0.36363636363636365,0.7280898876404494,0.29183385107246324,0.6967016997445652
