dataset,fold,requested_top_k,n_features_selected,F1,AUC,MCC,Gmean
JM1,0,5,5,0.4217016029593095,0.7500297588451403,0.2898853008369482,0.5962545212983069
JM1,0,10,6,0.3957597173144876,0.7291613686904485,0.24942281968794616,0.5830652166642321
JM1,0,15,14,0.42799461641991926,0.7731882274008626,0.31689543801715886,0.5853331844137839
JM1,0,999,14,0.42799461641991926,0.7731882274008626,0.31689543801715886,0.5853331844137839
JM1,1,5,5,0.38583638583638585,0.7216547000037874,0.24382905891799678,0.5692130396347496
JM1,1,10,10,0.41044776119402987,0.7396445982285372,0.27775886111346304,0.5858910126416773
JM1,1,15,10,0.42197253433208487,0.7408863536757584,0.292653874993396,0.5942980297788718
JM1,1,999,10,0.42197253433208487,0.7408863536757584,0.292653874993396,0.5942980297788718
JM1,2,5,5,0.40613931523022434,0.7221308415260336,0.2627251453971911,0.5911475392268254
JM1,2,10,8,0.4101326899879373,0.7143150866523463,0.2715023492337572,0.5908225228413896
JM1,2,15,10,0.42874845105328374,0.7340844285490128,0.2995038050423066,0.6009007013312316
JM1,2,999,10,0.42874845105328374,0.7340844285490128,0.2995038050423066,0.6009007013312316
JM1,3,5,5,0.3762135922330097,0.7135109214961666,0.23077398379258385,0.5622936980517856
JM1,3,10,10,0.3969270166453265,0.7398664368923109,0.2672938483585113,0.5702541365667669
JM1,3,15,12,0.4262295081967213,0.7466521299217072,0.29990808630341925,0.5958346788333179
JM1,3,999,12,0.4262295081967213,0.7466521299217072,0.29990808630341925,0.5958346788333179
JM1,4,5,5,0.4092009685230024,0.7210211852391947,0.2710580504823344,0.5889390621168998
JM1,4,10,10,0.4167758846657929,0.7574890968255896,0.2970030369973822,0.5811230977733256
JM1,4,15,12,0.4227212681638045,0.756733638487193,0.3061282637992503,0.5842433110900943
JM1,4,999,12,0.4227212681638045,0.7567336384871931,0.3061282637992503,0.5842433110900943
