dataset,fold,k_neighbors,F1,AUC,MCC,Gmean
JM1,0,3,0.413986013986014,0.7723786515455662,0.3101613611292875,0.5677282328420034
JM1,0,5,0.42799461641991926,0.7731882274008626,0.31689543801715886,0.5853331844137839
JM1,0,7,0.4351245085190039,0.7723691828221124,0.31917226730895304,0.595633730630243
JM1,0,10,0.43774574049803405,0.7752578198128979,0.3223683943831554,0.5976141429916154
JM1,1,3,0.40625,0.736260882268598,0.28245124291093743,0.5746668779140469
JM1,1,5,0.42197253433208487,0.7408863536757584,0.292653874993396,0.5942980297788718
JM1,1,7,0.4241676942046856,0.7441104540117629,0.29291821797782414,0.598189915801135
JM1,1,10,0.4199029126213592,0.7400761014830728,0.2846751671181459,0.5975813219428874
JM1,2,3,0.40973111395646605,0.7288556641903701,0.2829468062032047,0.5803119101024721
JM1,2,5,0.42874845105328374,0.7340844285490128,0.2995038050423066,0.6009007013312316
JM1,2,7,0.43,0.7352835747406923,0.30275292543917387,0.6003252752035698
JM1,2,10,0.4292565947242206,0.7362338287730157,0.29406541136117936,0.6070584909798084
JM1,3,3,0.421455938697318,0.744617030716539,0.2967296408507504,0.5898773574260162
JM1,3,5,0.4262295081967213,0.7466521299217072,0.29990808630341925,0.5958346788333179
JM1,3,7,0.4337957124842371,0.7500473436172688,0.3091777997058529,0.601680194523875
JM1,3,10,0.4320203303684879,0.7492093615916111,0.308573567840216,0.5989401901855451
JM1,4,3,0.4343163538873995,0.7563467952093543,0.32384721255650284,0.5902970451655423
JM1,4,5,0.4227212681638045,0.756733638487193,0.3061282637992503,0.5842433110900943
JM1,4,7,0.43846153846153846,0.7565493309569139,0.3185039357874694,0.6016948557844398
JM1,4,10,0.43007915567282323,0.7596818838524999,0.3147810396990178,0.5900682620407216
