dataset,fold,requested_top_k,n_features_selected,F1,AUC,MCC,Gmean
KC1,0,5,5,0.42857142857142855,0.8032320620555915,0.3167907276311975,0.6351073488299558
KC1,0,10,6,0.460431654676259,0.8248868778280543,0.3556504541740143,0.6590820436573077
KC1,0,15,6,0.460431654676259,0.8248868778280543,0.3556504541740143,0.6590820436573077
KC1,0,999,6,0.460431654676259,0.8248868778280543,0.3556504541740143,0.6590820436573077
KC1,1,5,3,0.4878048780487805,0.7894203835380306,0.38344122149039045,0.7167163986091969
KC1,1,10,8,0.391304347826087,0.7803275156216333,0.27345848475976997,0.6015493892807312
KC1,1,15,8,0.391304347826087,0.7803275156216333,0.27345848475976997,0.6015493892807312
KC1,1,999,8,0.391304347826087,0.7803059685412627,0.27345848475976997,0.6015493892807312
KC1,2,5,5,0.4084507042253521,0.8288515406162466,0.291321655052335,0.6214231846351314
KC1,2,10,6,0.44285714285714284,0.8075199310493428,0.3339629417686882,0.6466394990039299
KC1,2,15,6,0.44285714285714284,0.8075199310493428,0.3339629417686882,0.6466394990039299
KC1,2,999,6,0.44285714285714284,0.8075199310493428,0.3339629417686882,0.6466394990039299
KC1,3,5,5,0.4225352112676056,0.773918964930201,0.307523894596054,0.6291359575762808
KC1,3,10,8,0.4397163120567376,0.7902834525025538,0.328855442776345,0.6415953048768678
KC1,3,15,8,0.4397163120567376,0.7902834525025538,0.328855442776345,0.6415953048768678
KC1,3,999,8,0.4397163120567376,0.7902834525025538,0.328855442776345,0.6415953048768678
KC1,4,5,3,0.38857142857142857,0.7348530682800346,0.2546228428913494,0.6414115807367357
KC1,4,10,6,0.43283582089552236,0.7783923941227313,0.32581022568378587,0.6293045371825811
KC1,4,15,6,0.43283582089552236,0.7783923941227313,0.32581022568378587,0.6293045371825811
KC1,4,999,6,0.43283582089552236,0.7783923941227313,0.32581022568378587,0.6293045371825811
