dataset,fold,k_neighbors,F1,AUC,MCC,Gmean
KC2,0,3,0.52,0.767250821467689,0.3774913920480801,0.6957860959714609
KC2,0,5,0.5769230769230769,0.7502738225629793,0.45141859882941554,0.7473941587124872
KC2,0,7,0.5555555555555556,0.7480832420591456,0.4217269443409201,0.7363210405107239
KC2,0,10,0.5769230769230769,0.7357612267250822,0.45141859882941554,0.7473941587124872
KC2,1,3,0.5833333333333334,0.8461117196056954,0.46368786516002386,0.7378070582493966
KC2,1,5,0.6122448979591837,0.8335158817086527,0.5002526954339216,0.7637028605064102
KC2,1,7,0.5416666666666666,0.8274917853231105,0.40947046444532176,0.7059440945444087
KC2,1,10,0.5833333333333334,0.8151697699890471,0.46368786516002386,0.7378070582493966
KC2,2,3,0.5142857142857142,0.7512908777969018,0.43321258239549665,0.6346289251471214
KC2,2,5,0.5,0.7719449225473322,0.40710109804360917,0.6305476678616638
KC2,2,7,0.5,0.7647733792312106,0.3820525235329571,0.6515791312760104
KC2,2,10,0.47368421052631576,0.7837062535857716,0.3606166571010908,0.6223048602337667
KC2,3,3,0.6938775510204082,0.8717728055077453,0.6126994661666462,0.8379961345463534
KC2,3,5,0.6530612244897959,0.8580034423407916,0.5586988352502638,0.8073102604136365
KC2,3,7,0.6274509803921569,0.8582903040734366,0.525648413504224,0.7958584708852839
KC2,3,10,0.5660377358490566,0.8181296615031555,0.4431217169079058,0.7536486121773416
KC2,4,3,0.5128205128205128,0.7162937464142284,0.40301741930091484,0.6559669191104821
KC2,4,5,0.5,0.6970740103270223,0.3820525235329571,0.6515791312760104
KC2,4,7,0.5,0.6982214572576018,0.3820525235329571,0.6515791312760104
KC2,4,10,0.4878048780487805,0.6919104991394147,0.3623167024735308,0.647161594705297
