dataset,fold,requested_top_k,n_features_selected,F1,AUC,MCC,Gmean
MC2,0,5,5,0.5555555555555556,0.7465277777777778,0.3055555555555556,0.6454972243679028
MC2,0,10,10,0.5333333333333333,0.7013888888888888,0.3590245611063161,0.6236095644623235
MC2,0,15,15,0.5333333333333333,0.7083333333333334,0.3590245611063161,0.6236095644623235
MC2,0,999,13,0.5882352941176471,0.6875,0.378726042189707,0.6718548123582124
MC2,1,5,3,0.5263157894736842,0.625,0.23814483610392007,0.6180165405913053
MC2,1,10,8,0.5263157894736842,0.6111111111111112,0.23814483610392007,0.6180165405913053
MC2,1,15,15,0.5555555555555556,0.7708333333333334,0.3055555555555556,0.6454972243679028
MC2,1,999,17,0.5555555555555556,0.7951388888888888,0.3055555555555556,0.6454972243679028
MC2,2,5,5,0.5882352941176471,0.6284722222222222,0.378726042189707,0.6718548123582124
MC2,2,10,10,0.5714285714285714,0.7326388888888888,0.4583333333333333,0.6454972243679028
MC2,2,15,11,0.5714285714285714,0.8541666666666667,0.4583333333333333,0.6454972243679028
MC2,2,999,14,0.5714285714285714,0.8472222222222222,0.4583333333333333,0.6454972243679028
MC2,3,5,5,0.15384615384615385,0.4826388888888889,-0.10001653302482984,0.3004626062886658
MC2,3,10,10,0.16666666666666666,0.5798611111111112,-0.020515248496555453,0.31180478223116176
MC2,3,15,13,0.16666666666666666,0.5416666666666666,-0.020515248496555453,0.31180478223116176
MC2,3,999,16,0.0,0.6041666666666666,-0.15309310892394862,0.0
MC2,4,5,5,0.5555555555555556,0.734375,0.2988071523335984,0.6555055301063447
MC2,4,10,4,0.5714285714285714,0.6875,0.2956561979945413,0.649519052838329
MC2,4,15,5,0.47058823529411764,0.703125,0.18257418583505539,0.5863019699779287
MC2,4,999,18,0.7368421052631579,0.8359375,0.5913123959890826,0.8100925873009825
