dataset,fold,k_neighbors,F1,AUC,MCC,Gmean
MC2,0,3,0.625,0.65625,0.46028324996028647,0.6972166887783964
MC2,0,5,0.5882352941176471,0.6875,0.378726042189707,0.6718548123582124
MC2,0,7,0.5882352941176471,0.75,0.378726042189707,0.6718548123582124
MC2,0,10,0.5333333333333333,0.6840277777777777,0.3590245611063161,0.6236095644623235
MC2,1,3,0.5263157894736842,0.8125,0.23814483610392007,0.6180165405913053
MC2,1,5,0.5555555555555556,0.7951388888888888,0.3055555555555556,0.6454972243679028
MC2,1,7,0.5263157894736842,0.8263888888888888,0.23814483610392007,0.6180165405913053
MC2,1,10,0.5555555555555556,0.8298611111111112,0.3055555555555556,0.6454972243679028
MC2,2,3,0.5714285714285714,0.8194444444444444,0.4583333333333333,0.6454972243679028
MC2,2,5,0.5714285714285714,0.8472222222222222,0.4583333333333333,0.6454972243679028
MC2,2,7,0.46153846153846156,0.8020833333333333,0.3546040716334876,0.5590169943749475
MC2,2,10,0.5,0.8229166666666667,0.27468516529888065,0.6009252125773316
MC2,3,3,0.3333333333333333,0.625,0.23592535771038772,0.4564354645876384
MC2,3,5,0.0,0.6041666666666666,-0.15309310892394862,0.0
MC2,3,7,0.0,0.6354166666666667,-0.15309310892394862,0.0
MC2,3,10,0.42857142857142855,0.6805555555555555,0.25,0.5400617248673216
MC2,4,3,0.7368421052631579,0.8203125,0.5913123959890826,0.8100925873009825
MC2,4,5,0.7368421052631579,0.8359375,0.5913123959890826,0.8100925873009825
MC2,4,7,0.7,0.87109375,0.5303300858899107,0.7756046028744286
MC2,4,10,0.6666666666666666,0.8125,0.47809144373375745,0.75
