dataset,fold,requested_top_k,n_features_selected,F1,AUC,MCC,Gmean
MW1,0,5,3,0.5,0.6888888888888889,0.4418993202399135,0.7393691004272944
MW1,0,10,10,0.3333333333333333,0.7733333333333333,0.2497691810051685,0.5962847939999439
MW1,0,15,11,0.2,0.711111111111111,0.1111111111111111,0.42687494916218993
MW1,0,999,11,0.5,0.7622222222222222,0.4418993202399135,0.7393691004272944
MW1,1,5,3,0.46153846153846156,0.7711111111111111,0.40006613209931935,0.7302967433402214
MW1,1,10,8,0.6,0.7000000000000001,0.5555555555555556,0.7571877794400365
MW1,1,15,15,0.6,0.6177777777777778,0.5555555555555556,0.7571877794400365
MW1,1,999,7,0.5454545454545454,0.7377777777777778,0.49236596391733095,0.7483314773547882
MW1,2,5,5,0.6,0.8377777777777777,0.5555555555555556,0.7571877794400365
MW1,2,10,10,0.4,0.7,0.3333333333333333,0.6110100926607787
MW1,2,15,7,0.4444444444444444,0.7755555555555556,0.3931785497463923,0.6182412330330469
MW1,2,999,19,0.5,0.6288888888888889,0.47721942193769407,0.6253887679764573
MW1,3,5,5,0.15384615384615385,0.6355555555555555,0.036369648372665396,0.4109609335312651
MW1,3,10,3,0.35294117647058826,0.6933333333333334,0.2809757434745082,0.6928203230275509
MW1,3,15,3,0.35294117647058826,0.6933333333333334,0.2809757434745082,0.6928203230275509
MW1,3,999,7,0.18181818181818182,0.6755555555555556,0.08206099398622183,0.4216370213557839
MW1,4,5,5,0.5,0.7866666666666667,0.4418993202399135,0.7393691004272944
MW1,4,10,8,0.4444444444444444,0.76,0.3931785497463923,0.6182412330330469
MW1,4,15,13,0.6,0.7355555555555555,0.5555555555555556,0.7571877794400365
MW1,4,999,20,0.4444444444444444,0.6933333333333334,0.3931785497463923,0.6182412330330469
