dataset,fold,k_neighbors,F1,AUC,MCC,Gmean
MW1,0,3,0.36363636363636365,0.7311111111111112,0.2872134789517764,0.6036923425424945
MW1,0,5,0.5,0.7622222222222222,0.4418993202399135,0.7393691004272944
MW1,0,7,0.5454545454545454,0.8155555555555556,0.49236596391733095,0.7483314773547882
MW1,0,10,0.36363636363636365,0.7577777777777778,0.2872134789517764,0.6036923425424945
MW1,1,3,0.6,0.6777777777777777,0.5555555555555556,0.7571877794400365
MW1,1,5,0.5454545454545454,0.7377777777777778,0.49236596391733095,0.7483314773547882
MW1,1,7,0.5,0.7977777777777778,0.4418993202399135,0.7393691004272944
MW1,1,10,0.42857142857142855,0.6977777777777778,0.3644054444067475,0.7211102550927979
MW1,2,3,0.4444444444444444,0.6777777777777778,0.3931785497463923,0.6182412330330469
MW1,2,5,0.5,0.6288888888888889,0.47721942193769407,0.6253887679764573
MW1,2,7,0.4,0.6777777777777777,0.3333333333333333,0.6110100926607787
MW1,2,10,0.4444444444444444,0.7000000000000001,0.3931785497463923,0.6182412330330469
MW1,3,3,0.16666666666666666,0.6622222222222223,0.057639041770423505,0.41633319989322654
MW1,3,5,0.18181818181818182,0.6755555555555556,0.08206099398622183,0.4216370213557839
MW1,3,7,0.16666666666666666,0.6777777777777778,0.057639041770423505,0.41633319989322654
MW1,3,10,0.14285714285714285,0.6422222222222222,0.01735264020984512,0.4055175020198813
MW1,4,3,0.5454545454545454,0.7155555555555556,0.49236596391733095,0.7483314773547882
MW1,4,5,0.4444444444444444,0.6933333333333334,0.3931785497463923,0.6182412330330469
MW1,4,7,0.5454545454545454,0.7644444444444444,0.49236596391733095,0.7483314773547882
MW1,4,10,0.4444444444444444,0.7111111111111111,0.3931785497463923,0.6182412330330469
