dataset,fold,requested_top_k,n_features_selected,F1,AUC,MCC,Gmean
PC3,0,5,5,0.35294117647058826,0.7746361746361746,0.24644610371733855,0.6218475590483464
PC3,0,10,4,0.3380281690140845,0.7721413721413721,0.2272188034482024,0.6158002754221366
PC3,0,15,11,0.3880597014925373,0.8254677754677755,0.28963039420742687,0.651401814799686
PC3,0,999,13,0.3548387096774194,0.8017671517671517,0.2515978702244681,0.6049002941843936
PC3,1,5,3,0.36,0.854989604989605,0.27441713285573627,0.5639923032163808
PC3,1,10,3,0.36,0.854989604989605,0.27441713285573627,0.5639923032163808
PC3,1,15,13,0.3673469387755102,0.823076923076923,0.28527381874840496,0.5656486718435922
PC3,1,999,3,0.36,0.854989604989605,0.27441713285573627,0.5639923032163808
PC3,2,5,5,0.40625,0.7862785862785863,0.3120970996505066,0.6575959492214292
PC3,2,10,4,0.3880597014925373,0.8146569646569648,0.28963039420742687,0.651401814799686
PC3,2,15,5,0.4057971014492754,0.823076923076923,0.3114664479107483,0.6738353315566453
PC3,2,999,4,0.4225352112676056,0.791891891891892,0.3328204940375652,0.6952467068372085
PC3,3,5,3,0.42424242424242425,0.8038252508361204,0.3331221870441566,0.6799813099930022
PC3,3,10,3,0.42424242424242425,0.8038252508361204,0.3331221870441566,0.6799813099930022
PC3,3,15,3,0.42424242424242425,0.8038252508361204,0.3331221870441566,0.6799813099930022
PC3,3,999,3,0.42424242424242425,0.8038252508361204,0.3331221870441566,0.6799813099930022
PC3,4,5,3,0.3835616438356164,0.7848035117056856,0.2837819984917963,0.664747795864735
PC3,4,10,4,0.3888888888888889,0.7618102006688963,0.29030201830284386,0.6669453152333448
PC3,4,15,7,0.39436619718309857,0.8071697324414717,0.2969815378945428,0.6691356177311054
PC3,4,999,7,0.37681159420289856,0.7954640468227425,0.27502804937111897,0.6468989572333266
