dataset,fold,k_neighbors,F1,AUC,MCC,Gmean
PC3,0,3,0.2962962962962963,0.8156964656964657,0.19337224278078324,0.5238590215203652
PC3,0,5,0.3548387096774194,0.8017671517671517,0.2515978702244681,0.6049002941843936
PC3,0,7,0.3225806451612903,0.7974012474012474,0.21326779757655276,0.5749446326050279
PC3,0,10,0.3283582089552239,0.8112266112266112,0.21674785016715606,0.5953737099249969
PC3,1,3,0.2608695652173913,0.8221413721413722,0.17403420264719532,0.4618502065666024
PC3,1,5,0.36,0.854989604989605,0.27441713285573627,0.5639923032163808
PC3,1,7,0.49122807017543857,0.8503118503118503,0.41461464615776733,0.6992719706818578
PC3,1,10,0.4,0.842931392931393,0.3043868793206026,0.6555377408889055
PC3,2,3,0.45901639344262296,0.8093555093555094,0.3755069653221908,0.6908971539519304
PC3,2,5,0.4225352112676056,0.791891891891892,0.3328204940375652,0.6952467068372085
PC3,2,7,0.38461538461538464,0.8014553014553014,0.2874915152954972,0.6793662204867574
PC3,2,10,0.4,0.7837837837837838,0.3060296061569796,0.6862171455843775
PC3,3,3,0.3333333333333333,0.8104096989966556,0.22727004451763785,0.5783149319662402
PC3,3,5,0.42424242424242425,0.8038252508361204,0.3331221870441566,0.6799813099930022
PC3,3,7,0.3188405797101449,0.8119774247491638,0.20337061715283733,0.5911838358405931
PC3,3,10,0.3835616438356164,0.8241011705685619,0.2837819984917963,0.664747795864735
PC3,4,3,0.4067796610169492,0.798494983277592,0.31440672791981444,0.6394238627500389
PC3,4,5,0.37681159420289856,0.7954640468227425,0.27502804937111897,0.6468989572333266
PC3,4,7,0.425,0.787729933110368,0.3411958087943453,0.7227490717640431
PC3,4,10,0.4155844155844156,0.8116638795986622,0.326566561061765,0.7059233380455164
