dataset,fold,requested_top_k,n_features_selected,F1,AUC,MCC,Gmean
CM1,0,5,3,0.2727272727272727,0.7038888888888888,0.1846372364689991,0.5196152422706632
CM1,0,10,3,0.2105263157894736,0.7044444444444444,0.1281237022660122,0.4294699575575042
CM1,0,15,3,0.2105263157894736,0.7044444444444444,0.1281237022660122,0.4294699575575042
CM1,0,999,3,0.2105263157894736,0.7044444444444444,0.1281237022660122,0.4294699575575042
CM1,1,5,5,0.3157894736842105,0.785,0.2445997952351142,0.529150262212918
CM1,1,10,6,0.2352941176470588,0.7877777777777777,0.1698367236950844,0.4346134936801766
CM1,1,15,7,0.4,0.8233333333333333,0.3333333333333333,0.6110100926607787
CM1,1,999,7,0.4,0.8233333333333333,0.3333333333333333,0.6110100926607787
CM1,2,5,3,0.3428571428571428,0.7716666666666666,0.2694301256218253,0.687992248018343
CM1,2,10,3,0.2777777777777778,0.7405555555555555,0.1823843010350212,0.6191391873668903
CM1,2,15,3,0.2777777777777778,0.7405555555555555,0.1823843010350212,0.6191391873668903
CM1,2,999,3,0.2777777777777778,0.7405555555555555,0.1823843010350212,0.6191391873668903
CM1,3,5,5,0.0,0.6728395061728395,-0.1,0.0
CM1,3,10,4,0.0909090909090909,0.6129629629629629,-0.0189151196964383,0.3103164454170876
CM1,3,15,5,0.1818181818181818,0.5858024691358024,0.0851180386339726,0.4416579314300398
CM1,3,999,5,0.1818181818181818,0.5858024691358024,0.0851180386339726,0.4416579314300398
CM1,4,5,5,0.3333333333333333,0.7112359550561798,0.2487548066444596,0.595865907545717
CM1,4,10,3,0.2857142857142857,0.6730337078651686,0.1896181852559909,0.5805847497871377
CM1,4,15,3,0.1666666666666666,0.6837078651685393,0.0563585108803853,0.4159732057058105
CM1,4,999,3,0.1666666666666666,0.6837078651685393,0.0563585108803853,0.4159732057058105
JM1,0,5,5,0.4217016029593095,0.7500297588451403,0.2898853008369482,0.5962545212983069
JM1,0,10,6,0.3957597173144876,0.7291613686904485,0.2494228196879461,0.5830652166642321
JM1,0,15,14,0.4279946164199192,0.7731882274008626,0.3168954380171588,0.5853331844137839
JM1,0,999,14,0.4279946164199192,0.7731882274008626,0.3168954380171588,0.5853331844137839
JM1,1,5,5,0.3858363858363858,0.7216547000037874,0.2438290589179967,0.5692130396347496
JM1,1,10,10,0.4104477611940298,0.7396445982285372,0.277758861113463,0.5858910126416773
JM1,1,15,10,0.4219725343320848,0.7408863536757584,0.292653874993396,0.5942980297788718
JM1,1,999,10,0.4219725343320848,0.7408863536757584,0.292653874993396,0.5942980297788718
JM1,2,5,5,0.4061393152302243,0.7221308415260336,0.2627251453971911,0.5911475392268254
JM1,2,10,8,0.4101326899879373,0.7143150866523463,0.2715023492337572,0.5908225228413896
JM1,2,15,10,0.4287484510532837,0.7340844285490128,0.2995038050423066,0.6009007013312316
JM1,2,999,10,0.4287484510532837,0.7340844285490128,0.2995038050423066,0.6009007013312316
JM1,3,5,5,0.3762135922330097,0.7135109214961666,0.2307739837925838,0.5622936980517856
JM1,3,10,10,0.3969270166453265,0.7398664368923109,0.2672938483585113,0.5702541365667669
JM1,3,15,12,0.4262295081967213,0.7466521299217072,0.2999080863034192,0.5958346788333179
JM1,3,999,12,0.4262295081967213,0.7466521299217072,0.2999080863034192,0.5958346788333179
JM1,4,5,5,0.4092009685230024,0.7210211852391947,0.2710580504823344,0.5889390621168998
JM1,4,10,10,0.4167758846657929,0.7574890968255896,0.2970030369973822,0.5811230977733256
JM1,4,15,12,0.4227212681638045,0.756733638487193,0.3061282637992503,0.5842433110900943
JM1,4,999,12,0.4227212681638045,0.7567336384871931,0.3061282637992503,0.5842433110900943
KC1,0,5,5,0.4285714285714285,0.8032320620555915,0.3167907276311975,0.6351073488299558
KC1,0,10,6,0.460431654676259,0.8248868778280543,0.3556504541740143,0.6590820436573077
KC1,0,15,6,0.460431654676259,0.8248868778280543,0.3556504541740143,0.6590820436573077
KC1,0,999,6,0.460431654676259,0.8248868778280543,0.3556504541740143,0.6590820436573077
KC1,1,5,3,0.4878048780487805,0.7894203835380306,0.3834412214903904,0.7167163986091969
KC1,1,10,8,0.391304347826087,0.7803275156216333,0.2734584847597699,0.6015493892807312
KC1,1,15,8,0.391304347826087,0.7803275156216333,0.2734584847597699,0.6015493892807312
KC1,1,999,8,0.391304347826087,0.7803059685412627,0.2734584847597699,0.6015493892807312
KC1,2,5,5,0.4084507042253521,0.8288515406162466,0.291321655052335,0.6214231846351314
KC1,2,10,6,0.4428571428571428,0.8075199310493428,0.3339629417686882,0.6466394990039299
KC1,2,15,6,0.4428571428571428,0.8075199310493428,0.3339629417686882,0.6466394990039299
KC1,2,999,6,0.4428571428571428,0.8075199310493428,0.3339629417686882,0.6466394990039299
KC1,3,5,5,0.4225352112676056,0.773918964930201,0.307523894596054,0.6291359575762808
KC1,3,10,8,0.4397163120567376,0.7902834525025538,0.328855442776345,0.6415953048768678
KC1,3,15,8,0.4397163120567376,0.7902834525025538,0.328855442776345,0.6415953048768678
KC1,3,999,8,0.4397163120567376,0.7902834525025538,0.328855442776345,0.6415953048768678
KC1,4,5,3,0.3885714285714285,0.7348530682800346,0.2546228428913494,0.6414115807367357
KC1,4,10,6,0.4328358208955223,0.7783923941227313,0.3258102256837858,0.6293045371825811
KC1,4,15,6,0.4328358208955223,0.7783923941227313,0.3258102256837858,0.6293045371825811
KC1,4,999,6,0.4328358208955223,0.7783923941227313,0.3258102256837858,0.6293045371825811
KC2,0,5,5,0.5769230769230769,0.7502738225629793,0.4514185988294155,0.7473941587124872
KC2,0,10,5,0.5769230769230769,0.7502738225629793,0.4514185988294155,0.7473941587124872
KC2,0,15,5,0.5769230769230769,0.7502738225629793,0.4514185988294155,0.7473941587124872
KC2,0,999,5,0.5769230769230769,0.7502738225629793,0.4514185988294155,0.7473941587124872
KC2,1,5,5,0.6122448979591837,0.8335158817086527,0.5002526954339216,0.7637028605064102
KC2,1,10,5,0.6122448979591837,0.8335158817086527,0.5002526954339216,0.7637028605064102
KC2,1,15,5,0.6122448979591837,0.8335158817086527,0.5002526954339216,0.7637028605064102
KC2,1,999,5,0.6122448979591837,0.8335158817086527,0.5002526954339216,0.7637028605064102
KC2,2,5,3,0.5,0.7719449225473322,0.4071010980436091,0.6305476678616638
KC2,2,10,3,0.5,0.7719449225473322,0.4071010980436091,0.6305476678616638
KC2,2,15,3,0.5,0.7719449225473322,0.4071010980436091,0.6305476678616638
KC2,2,999,3,0.5,0.7719449225473322,0.4071010980436091,0.6305476678616638
KC2,3,5,3,0.6530612244897959,0.8580034423407916,0.5586988352502638,0.8073102604136365
KC2,3,10,3,0.6530612244897959,0.8580034423407916,0.5586988352502638,0.8073102604136365
KC2,3,15,3,0.6530612244897959,0.8580034423407916,0.5586988352502638,0.8073102604136365
KC2,3,999,3,0.6530612244897959,0.8580034423407916,0.5586988352502638,0.8073102604136365
KC2,4,5,5,0.5365853658536586,0.7214572576018359,0.4230924074045747,0.6833819581653005
KC2,4,10,8,0.5,0.6970740103270223,0.3820525235329571,0.6515791312760104
KC2,4,15,8,0.5,0.6970740103270223,0.3820525235329571,0.6515791312760104
KC2,4,999,8,0.5,0.6970740103270223,0.3820525235329571,0.6515791312760104
MC2,0,5,5,0.5555555555555556,0.7465277777777778,0.3055555555555556,0.6454972243679028
MC2,0,10,10,0.5333333333333333,0.7013888888888888,0.3590245611063161,0.6236095644623235
MC2,0,15,15,0.5333333333333333,0.7083333333333334,0.3590245611063161,0.6236095644623235
MC2,0,999,13,0.5882352941176471,0.6875,0.378726042189707,0.6718548123582124
MC2,1,5,3,0.5263157894736842,0.625,0.23814483610392,0.6180165405913053
MC2,1,10,8,0.5263157894736842,0.6111111111111112,0.23814483610392,0.6180165405913053
MC2,1,15,15,0.5555555555555556,0.7708333333333334,0.3055555555555556,0.6454972243679028
MC2,1,999,17,0.5555555555555556,0.7951388888888888,0.3055555555555556,0.6454972243679028
MC2,2,5,5,0.5882352941176471,0.6284722222222222,0.378726042189707,0.6718548123582124
MC2,2,10,10,0.5714285714285714,0.7326388888888888,0.4583333333333333,0.6454972243679028
MC2,2,15,11,0.5714285714285714,0.8541666666666667,0.4583333333333333,0.6454972243679028
MC2,2,999,14,0.5714285714285714,0.8472222222222222,0.4583333333333333,0.6454972243679028
MC2,3,5,5,0.1538461538461538,0.4826388888888889,-0.1000165330248298,0.3004626062886658
MC2,3,10,10,0.1666666666666666,0.5798611111111112,-0.0205152484965554,0.3118047822311617
MC2,3,15,13,0.1666666666666666,0.5416666666666666,-0.0205152484965554,0.3118047822311617
MC2,3,999,16,0.0,0.6041666666666666,-0.1530931089239486,0.0
MC2,4,5,5,0.5555555555555556,0.734375,0.2988071523335984,0.6555055301063447
MC2,4,10,4,0.5714285714285714,0.6875,0.2956561979945413,0.649519052838329
MC2,4,15,5,0.4705882352941176,0.703125,0.1825741858350553,0.5863019699779287
MC2,4,999,18,0.7368421052631579,0.8359375,0.5913123959890826,0.8100925873009825
MW1,0,5,3,0.5,0.6888888888888889,0.4418993202399135,0.7393691004272944
MW1,0,10,10,0.3333333333333333,0.7733333333333333,0.2497691810051685,0.5962847939999439
MW1,0,15,11,0.2,0.711111111111111,0.1111111111111111,0.4268749491621899
MW1,0,999,11,0.5,0.7622222222222222,0.4418993202399135,0.7393691004272944
MW1,1,5,3,0.4615384615384615,0.7711111111111111,0.4000661320993193,0.7302967433402214
MW1,1,10,8,0.6,0.7000000000000001,0.5555555555555556,0.7571877794400365
MW1,1,15,15,0.6,0.6177777777777778,0.5555555555555556,0.7571877794400365
MW1,1,999,7,0.5454545454545454,0.7377777777777778,0.4923659639173309,0.7483314773547882
MW1,2,5,5,0.6,0.8377777777777777,0.5555555555555556,0.7571877794400365
MW1,2,10,10,0.4,0.7,0.3333333333333333,0.6110100926607787
MW1,2,15,7,0.4444444444444444,0.7755555555555556,0.3931785497463923,0.6182412330330469
MW1,2,999,19,0.5,0.6288888888888889,0.477219421937694,0.6253887679764573
MW1,3,5,5,0.1538461538461538,0.6355555555555555,0.0363696483726653,0.4109609335312651
MW1,3,10,3,0.3529411764705882,0.6933333333333334,0.2809757434745082,0.6928203230275509
MW1,3,15,3,0.3529411764705882,0.6933333333333334,0.2809757434745082,0.6928203230275509
MW1,3,999,7,0.1818181818181818,0.6755555555555556,0.0820609939862218,0.4216370213557839
MW1,4,5,5,0.5,0.7866666666666667,0.4418993202399135,0.7393691004272944
MW1,4,10,8,0.4444444444444444,0.76,0.3931785497463923,0.6182412330330469
MW1,4,15,13,0.6,0.7355555555555555,0.5555555555555556,0.7571877794400365
MW1,4,999,20,0.4444444444444444,0.6933333333333334,0.3931785497463923,0.6182412330330469
PC1,0,5,5,0.4705882352941176,0.7996779388083737,0.4308459568248526,0.7106278551184223
PC1,0,10,8,0.4210526315789473,0.7919484702093398,0.3795931575029914,0.7033391716221727
PC1,0,15,9,0.4,0.7888888888888889,0.3540593369228889,0.6613313074614444
PC1,0,999,9,0.4,0.7888888888888889,0.3540593369228889,0.6613313074614444
PC1,1,5,5,0.4666666666666667,0.8703703703703703,0.4280193236714976,0.6697994027584586
PC1,1,10,6,0.3703703703703703,0.8626409017713366,0.3324695502453565,0.5675043538391658
PC1,1,15,6,0.3870967741935484,0.852818035426731,0.3413486853695465,0.6169897312779327
PC1,1,999,6,0.3870967741935484,0.852818035426731,0.3413486853695465,0.6169897312779327
PC1,2,5,5,0.4864864864864865,0.9039745145631068,0.4455841580334844,0.7278275961439892
PC1,2,10,6,0.4571428571428571,0.8837985436893204,0.412847243322529,0.6879687281219884
PC1,2,15,9,0.4444444444444444,0.904126213592233,0.3990038543014097,0.6862024383574915
PC1,2,999,9,0.4444444444444444,0.904126213592233,0.3990038543014097,0.6862024383574915
PC1,3,5,5,0.3846153846153846,0.8904733009708738,0.3593867599045968,0.552191134068349
PC1,3,10,10,0.25,0.8514866504854369,0.226483617927939,0.4277254132340204
PC1,3,15,12,0.24,0.841626213592233,0.2076662138931735,0.4266600929914307
PC1,3,999,12,0.24,0.841626213592233,0.2076662138931735,0.4266600929914307
PC1,4,5,5,0.4571428571428571,0.9231391585760518,0.4165180143466283,0.7087068309027964
PC1,4,10,8,0.5161290322580645,0.9124595469255664,0.4799623738771952,0.7159758091048195
PC1,4,15,13,0.5625,0.9325242718446602,0.5297004099222924,0.7594070246753144
PC1,4,999,13,0.5625,0.9325242718446602,0.5297004099222924,0.7594070246753144
PC3,0,5,5,0.3529411764705882,0.7746361746361746,0.2464461037173385,0.6218475590483464
PC3,0,10,4,0.3380281690140845,0.7721413721413721,0.2272188034482024,0.6158002754221366
PC3,0,15,11,0.3880597014925373,0.8254677754677755,0.2896303942074268,0.651401814799686
PC3,0,999,13,0.3548387096774194,0.8017671517671517,0.2515978702244681,0.6049002941843936
PC3,1,5,3,0.36,0.854989604989605,0.2744171328557362,0.5639923032163808
PC3,1,10,3,0.36,0.854989604989605,0.2744171328557362,0.5639923032163808
PC3,1,15,13,0.3673469387755102,0.823076923076923,0.2852738187484049,0.5656486718435922
PC3,1,999,3,0.36,0.854989604989605,0.2744171328557362,0.5639923032163808
PC3,2,5,5,0.40625,0.7862785862785863,0.3120970996505066,0.6575959492214292
PC3,2,10,4,0.3880597014925373,0.8146569646569648,0.2896303942074268,0.651401814799686
PC3,2,15,5,0.4057971014492754,0.823076923076923,0.3114664479107483,0.6738353315566453
PC3,2,999,4,0.4225352112676056,0.791891891891892,0.3328204940375652,0.6952467068372085
