dataset,fold,k_neighbors,F1,AUC,MCC,Gmean
CM1,0,3,0.125,0.6611111111111112,0.0561434614044345,0.3073181485764296
CM1,0,5,0.2105263157894736,0.7044444444444444,0.1281237022660122,0.4294699575575042
CM1,0,7,0.16,0.7433333333333334,0.0466760028009336,0.4136557881996952
CM1,0,10,0.2068965517241379,0.7072222222222222,0.0934656693546733,0.4966554808583779
CM1,1,3,0.1333333333333333,0.8083333333333333,0.0764719112901872,0.3091206165165234
CM1,1,5,0.4,0.8233333333333333,0.3333333333333333,0.6110100926607787
CM1,1,7,0.4615384615384615,0.8255555555555556,0.4000661320993193,0.7302967433402214
CM1,1,10,0.48,0.8044444444444444,0.420084025208403,0.7348469228349535
CM1,2,3,0.1666666666666666,0.735,0.0576390417704235,0.4163331998932265
CM1,2,5,0.2777777777777778,0.7405555555555555,0.1823843010350212,0.6191391873668903
CM1,2,7,0.3157894736842105,0.7327777777777779,0.2375655483665994,0.6733003292241385
CM1,2,10,0.3181818181818182,0.736111111111111,0.2533201985524494,0.7
CM1,3,3,0.0952380952380952,0.5567901234567901,-0.0097870036585783,0.3122993182790043
CM1,3,5,0.1818181818181818,0.5858024691358024,0.0851180386339726,0.4416579314300398
CM1,3,7,0.1739130434782608,0.5703703703703704,0.0733358797622569,0.4388537257362555
CM1,3,10,0.2307692307692307,0.5907407407407408,0.1355153826630284,0.5305482838361476
CM1,4,3,0.2857142857142857,0.6825842696629214,0.2014693218344903,0.5225262748084238
CM1,4,5,0.1666666666666666,0.6837078651685393,0.0563585108803853,0.4159732057058105
CM1,4,7,0.3333333333333333,0.6685393258426967,0.2487702652217179,0.6447715386698235
CM1,4,10,0.3636363636363636,0.7280898876404494,0.2918338510724632,0.6967016997445652
JM1,0,3,0.413986013986014,0.7723786515455662,0.3101613611292875,0.5677282328420034
JM1,0,5,0.4279946164199192,0.7731882274008626,0.3168954380171588,0.5853331844137839
JM1,0,7,0.4351245085190039,0.7723691828221124,0.319172267308953,0.595633730630243
JM1,0,10,0.437745740498034,0.7752578198128979,0.3223683943831554,0.5976141429916154
JM1,1,3,0.40625,0.736260882268598,0.2824512429109374,0.5746668779140469
JM1,1,5,0.4219725343320848,0.7408863536757584,0.292653874993396,0.5942980297788718
JM1,1,7,0.4241676942046856,0.7441104540117629,0.2929182179778241,0.598189915801135
JM1,1,10,0.4199029126213592,0.7400761014830728,0.2846751671181459,0.5975813219428874
JM1,2,3,0.409731113956466,0.7288556641903701,0.2829468062032047,0.5803119101024721
JM1,2,5,0.4287484510532837,0.7340844285490128,0.2995038050423066,0.6009007013312316
JM1,2,7,0.43,0.7352835747406923,0.3027529254391738,0.6003252752035698
JM1,2,10,0.4292565947242206,0.7362338287730157,0.2940654113611793,0.6070584909798084
JM1,3,3,0.421455938697318,0.744617030716539,0.2967296408507504,0.5898773574260162
JM1,3,5,0.4262295081967213,0.7466521299217072,0.2999080863034192,0.5958346788333179
JM1,3,7,0.4337957124842371,0.7500473436172688,0.3091777997058529,0.601680194523875
JM1,3,10,0.4320203303684879,0.7492093615916111,0.308573567840216,0.5989401901855451
JM1,4,3,0.4343163538873995,0.7563467952093543,0.3238472125565028,0.5902970451655423
JM1,4,5,0.4227212681638045,0.756733638487193,0.3061282637992503,0.5842433110900943
JM1,4,7,0.4384615384615384,0.7565493309569139,0.3185039357874694,0.6016948557844398
JM1,4,10,0.4300791556728232,0.7596818838524999,0.3147810396990178,0.5900682620407216
KC1,0,3,0.4705882352941176,0.8223012281835811,0.369640362289052,0.6622130923672911
KC1,0,5,0.460431654676259,0.8248868778280543,0.3556504541740143,0.6590820436573077
KC1,0,7,0.4768211920529801,0.8321482439129498,0.3708105236147515,0.6901280058887327
KC1,0,10,0.4473684210526316,0.8257487610428786,0.3342695859531273,0.667398865313124
KC1,1,3,0.4242424242424242,0.7750700280112045,0.3175811198160077,0.6194436271686222
KC1,1,5,0.391304347826087,0.7803275156216333,0.2734584847597699,0.6015493892807312
KC1,1,7,0.4413793103448276,0.7835164835164836,0.329563045555326,0.6527748933661428
KC1,1,10,0.4868421052631579,0.8060116354234,0.3829507427248584,0.6996474625549021
KC1,2,3,0.4444444444444444,0.8072398190045249,0.3337506927477159,0.6538303102127478
KC1,2,5,0.4428571428571428,0.8075199310493428,0.3339629417686882,0.6466394990039299
KC1,2,7,0.4246575342465753,0.8045033397974575,0.3087661102063312,0.6404116861630389
KC1,2,10,0.4444444444444444,0.8033828916181858,0.3337506927477159,0.6538303102127478
KC1,3,3,0.4525547445255474,0.7745573714674838,0.3469706427111245,0.6456949971012473
KC1,3,5,0.4397163120567376,0.7902834525025538,0.328855442776345,0.6415953048768678
KC1,3,7,0.4316546762589928,0.8020726932243787,0.3205204380902108,0.6321728342305778
KC1,3,10,0.4460431654676259,0.8090100442628533,0.3377685412366108,0.6436484151000532
KC1,4,3,0.4148148148148148,0.7723638720829732,0.3035528559326282,0.6163993362633469
KC1,4,5,0.4328358208955223,0.7783923941227313,0.3258102256837858,0.6293045371825811
KC1,4,7,0.4202898550724637,0.7874027657735523,0.3078498181582401,0.6253089124225372
KC1,4,10,0.4137931034482758,0.7770527225583405,0.2957228979674396,0.629853668645865
KC2,0,3,0.52,0.767250821467689,0.3774913920480801,0.6957860959714609
KC2,0,5,0.5769230769230769,0.7502738225629793,0.4514185988294155,0.7473941587124872
KC2,0,7,0.5555555555555556,0.7480832420591456,0.4217269443409201,0.7363210405107239
KC2,0,10,0.5769230769230769,0.7357612267250822,0.4514185988294155,0.7473941587124872
KC2,1,3,0.5833333333333334,0.8461117196056954,0.4636878651600238,0.7378070582493966
KC2,1,5,0.6122448979591837,0.8335158817086527,0.5002526954339216,0.7637028605064102
KC2,1,7,0.5416666666666666,0.8274917853231105,0.4094704644453217,0.7059440945444087
KC2,1,10,0.5833333333333334,0.8151697699890471,0.4636878651600238,0.7378070582493966
KC2,2,3,0.5142857142857142,0.7512908777969018,0.4332125823954966,0.6346289251471214
KC2,2,5,0.5,0.7719449225473322,0.4071010980436091,0.6305476678616638
KC2,2,7,0.5,0.7647733792312106,0.3820525235329571,0.6515791312760104
KC2,2,10,0.4736842105263157,0.7837062535857716,0.3606166571010908,0.6223048602337667
KC2,3,3,0.6938775510204082,0.8717728055077453,0.6126994661666462,0.8379961345463534
