dataset,fold,strategy,shap_seconds,stage1_seconds,pipeline_seconds,F1,AUC,PRAUC,MCC,Gmean,Precision,Recall,Specificity
CM1,0,two_shap,0.573,9.711,9.954,0.21052631578947367,0.7044444444444444,0.28768224672952036,0.12812370226601222,0.4294699575575042,0.2222222222222222,0.2,0.9222222222222223
CM1,0,single_shap,0.249,9.362,9.762,0.3,0.7127777777777777,0.2894042807841869,0.2222222222222222,0.5259911279353167,0.3,0.3,0.9222222222222223
CM1,1,two_shap,1.39,5.563,5.963,0.4,0.8233333333333333,0.30241664068647905,0.3333333333333333,0.6110100926607787,0.4,0.4,0.9333333333333333
CM1,1,single_shap,0.524,4.66,5.057,0.2222222222222222,0.8055555555555556,0.2589966665548061,0.14744195615489714,0.43204937989385733,0.25,0.2,0.9333333333333333
CM1,2,two_shap,1.068,7.818,8.193,0.2777777777777778,0.7405555555555555,0.19400856611382927,0.18238430103502126,0.6191391873668903,0.19230769230769232,0.5,0.7666666666666667
CM1,2,single_shap,0.498,5.439,5.804,0.25806451612903225,0.7155555555555555,0.1846815255099574,0.15549239511107485,0.5696002496878354,0.19047619047619047,0.4,0.8111111111111111
CM1,3,two_shap,1.126,7.304,7.699,0.18181818181818182,0.5858024691358024,0.12623022783942323,0.08511803863397262,0.4416579314300398,0.15384615384615385,0.2222222222222222,0.8777777777777778
CM1,3,single_shap,0.486,5.065,5.461,0.08695652173913043,0.6302469135802469,0.14063872189330737,-0.027500954910846337,0.3083208205669246,0.07142857142857142,0.1111111111111111,0.8555555555555555
CM1,4,two_shap,1.067,8.789,9.168,0.16666666666666666,0.6837078651685393,0.19096314721314722,0.05635851088038538,0.41597320570581053,0.14285714285714285,0.2,0.8651685393258427
CM1,4,single_shap,0.487,5.471,5.889,0.16666666666666666,0.7196629213483146,0.18588783472796755,0.05635851088038538,0.41597320570581053,0.14285714285714285,0.2,0.8651685393258427
