dataset,fold,strategy,shap_seconds,stage1_seconds,pipeline_seconds,F1,AUC,PRAUC,MCC,Gmean,Precision,Recall,Specificity
KC2,0,two_shap,1.477,9.876,10.154,0.5769230769230769,0.7502738225629793,0.4895313698110474,0.45141859882941554,0.7473941587124872,0.5,0.6818181818181818,0.8192771084337349
KC2,0,single_shap,0.498,7.997,8.379,0.5,0.7434282584884995,0.44669902884165075,0.34781433024561526,0.6854775839312977,0.43333333333333335,0.5909090909090909,0.7951807228915663
KC2,1,two_shap,2.279,4.471,4.85,0.6122448979591837,0.8335158817086527,0.573066255853218,0.5002526954339216,0.7637028605064102,0.5555555555555556,0.6818181818181818,0.8554216867469879
KC2,1,single_shap,0.921,3.214,3.621,0.5833333333333334,0.8291347207009858,0.55917465059413,0.46368786516002386,0.7378070582493966,0.5384615384615384,0.6363636363636364,0.8554216867469879
KC2,2,two_shap,1.99,4.696,5.176,0.5,0.7719449225473322,0.6187689688482968,0.40710109804360917,0.6305476678616638,0.6,0.42857142857142855,0.927710843373494
KC2,2,single_shap,0.904,4.012,4.394,0.5,0.7555938037865749,0.6050091402170616,0.40710109804360917,0.6305476678616638,0.6,0.42857142857142855,0.927710843373494
KC2,3,two_shap,1.912,4.613,5.035,0.6530612244897959,0.8580034423407916,0.5676093611542663,0.5586988352502638,0.8073102604136365,0.5714285714285714,0.7619047619047619,0.8554216867469879
KC2,3,single_shap,0.921,3.603,3.953,0.64,0.8620195065978199,0.6147548444701616,0.5418438337831137,0.8016048160562024,0.5517241379310345,0.7619047619047619,0.8433734939759037
KC2,4,two_shap,1.164,3.295,3.545,0.5,0.6970740103270223,0.41193837361278024,0.3820525235329571,0.6515791312760104,0.5263157894736842,0.47619047619047616,0.891566265060241
KC2,4,single_shap,0.398,2.482,2.739,0.5128205128205128,0.699655765920826,0.44277604121962366,0.40301741930091484,0.6559669191104821,0.5555555555555556,0.47619047619047616,0.9036144578313253
