dataset,fold,strategy,shap_seconds,stage1_seconds,pipeline_seconds,F1,AUC,PRAUC,MCC,Gmean,Precision,Recall,Specificity
MC2,0,two_shap,0.194,13.29,13.623,0.5882352941176471,0.6875,0.6832357428097096,0.378726042189707,0.6718548123582124,0.625,0.5555555555555556,0.8125
MC2,0,single_shap,0.053,11.284,11.652,0.6666666666666666,0.7222222222222222,0.7407651072124757,0.5541466051858357,0.7216878364870323,0.8333333333333334,0.5555555555555556,0.9375
MC2,1,two_shap,0.168,5.601,8.077,0.5555555555555556,0.7951388888888888,0.7846560846560848,0.3055555555555556,0.6454972243679028,0.5555555555555556,0.5555555555555556,0.75
MC2,1,single_shap,0.068,5.376,5.697,0.5263157894736842,0.7777777777777777,0.7726158645276292,0.23814483610392007,0.6180165405913053,0.5,0.5555555555555556,0.6875
MC2,2,two_shap,0.211,6.008,6.318,0.5714285714285714,0.8472222222222222,0.803003423591659,0.4583333333333333,0.6454972243679028,0.8,0.4444444444444444,0.9375
MC2,2,single_shap,0.059,6.439,6.765,0.5333333333333333,0.8159722222222221,0.7480300076791305,0.3590245611063161,0.6236095644623235,0.6666666666666666,0.4444444444444444,0.875
MC2,3,two_shap,0.122,5.593,5.896,0.0,0.6041666666666666,0.4397935277988672,-0.15309310892394862,0.0,0.0,0.0,0.9375
MC2,3,single_shap,0.028,5.612,5.952,0.16666666666666666,0.6145833333333333,0.4288108577582262,-0.020515248496555453,0.31180478223116176,0.3333333333333333,0.1111111111111111,0.875
MC2,4,two_shap,0.178,5.193,5.524,0.7368421052631579,0.8359375,0.6822916666666665,0.5913123959890826,0.8100925873009825,0.6363636363636364,0.875,0.75
MC2,4,single_shap,0.054,6.447,6.774,0.7777777777777778,0.8359375,0.6788690476190476,0.6573757351339165,0.8431710977020026,0.7,0.875,0.8125
