dataset,fold,strategy,shap_seconds,stage1_seconds,pipeline_seconds,F1,AUC,PRAUC,MCC,Gmean,Precision,Recall,Specificity
MW1,0,two_shap,0.305,17.151,17.515,0.5,0.7622222222222222,0.4637606837606838,0.4418993202399135,0.7393691004272944,0.42857142857142855,0.6,0.9111111111111111
MW1,0,single_shap,0.097,15.237,15.59,0.4,0.7466666666666667,0.430072463768116,0.3333333333333333,0.6110100926607787,0.4,0.4,0.9333333333333333
MW1,1,two_shap,0.278,8.819,9.173,0.5454545454545454,0.7377777777777778,0.5177777777777778,0.49236596391733095,0.7483314773547882,0.5,0.6,0.9333333333333333
MW1,1,single_shap,0.096,8.771,9.149,0.5,0.6666666666666666,0.4938461538461538,0.4418993202399135,0.7393691004272944,0.42857142857142855,0.6,0.9111111111111111
MW1,2,two_shap,0.299,7.411,9.834,0.5,0.6288888888888889,0.5381818181818181,0.47721942193769407,0.6253887679764573,0.6666666666666666,0.4,0.9777777777777777
MW1,2,single_shap,0.047,6.312,6.708,0.5,0.6555555555555556,0.5410526315789475,0.47721942193769407,0.6253887679764573,0.6666666666666666,0.4,0.9777777777777777
MW1,3,two_shap,0.231,8.452,8.825,0.18181818181818182,0.6755555555555556,0.20378510378510378,0.08206099398622183,0.4216370213557839,0.16666666666666666,0.2,0.8888888888888888
MW1,3,single_shap,0.106,8.15,8.5,0.16666666666666666,0.6444444444444445,0.20134680134680133,0.057639041770423505,0.41633319989322654,0.14285714285714285,0.2,0.8666666666666667
MW1,4,two_shap,0.272,6.773,7.155,0.4444444444444444,0.6933333333333334,0.30716356107660453,0.3931785497463923,0.6182412330330469,0.5,0.4,0.9555555555555556
MW1,4,single_shap,0.108,6.6,6.997,0.4,0.6933333333333334,0.33904761904761904,0.3333333333333333,0.6110100926607787,0.4,0.4,0.9333333333333333
