dataset,fold,strategy,shap_seconds,stage1_seconds,pipeline_seconds,F1,AUC,PRAUC,MCC,Gmean,Precision,Recall,Specificity
PC3,0,two_shap,8.234,23.695,24.182,0.3548387096774194,0.8017671517671517,0.30470509513882227,0.2515978702244681,0.6049002941843936,0.3055555555555556,0.4230769230769231,0.8648648648648649
PC3,0,single_shap,2.956,18.514,19.048,0.36666666666666664,0.8071725571725572,0.28546124332973155,0.2670903137408111,0.6086691798326661,0.3235294117647059,0.4230769230769231,0.8756756756756757
PC3,1,two_shap,5.932,16.131,16.567,0.36,0.854989604989605,0.3663103346956778,0.27441713285573627,0.5639923032163808,0.375,0.34615384615384615,0.918918918918919
PC3,1,single_shap,2.907,13.216,13.627,0.46153846153846156,0.8637214137214138,0.3696809949440673,0.3858627858627859,0.6531548259113046,0.46153846153846156,0.46153846153846156,0.9243243243243243
PC3,2,two_shap,5.778,16.677,17.156,0.4225352112676056,0.791891891891892,0.3063394589069789,0.3328204940375652,0.6952467068372085,0.3333333333333333,0.5769230769230769,0.8378378378378378
PC3,2,single_shap,3.024,14.015,14.464,0.4444444444444444,0.8062370062370063,0.35259835790867367,0.3607971243748676,0.7180477112229491,0.34782608695652173,0.6153846153846154,0.8378378378378378
PC3,3,two_shap,5.886,16.223,16.645,0.42424242424242425,0.8038252508361204,0.3203651078623211,0.3331221870441566,0.6799813099930022,0.35,0.5384615384615384,0.8586956521739131
PC3,3,single_shap,2.895,13.475,13.92,0.3333333333333333,0.8188754180602007,0.3119870204523401,0.22266588291898887,0.5969893810364085,0.275,0.4230769230769231,0.842391304347826
PC3,4,two_shap,7.256,16.823,17.33,0.37681159420289856,0.7954640468227425,0.34711548788337954,0.27502804937111897,0.6468989572333266,0.3023255813953488,0.5,0.8369565217391305
PC3,4,single_shap,2.75,12.142,12.648,0.4594594594594595,0.8126045150501673,0.4141591809327093,0.3807049327489703,0.7373515382569563,0.3541666666666667,0.6538461538461539,0.8315217391304348
