dataset,fold,strategy,shap_seconds,stage1_seconds,pipeline_seconds,F1,AUC,PRAUC,MCC,Gmean,Precision,Recall,Specificity
ant-1.7,0,two_shap,2.981,13.771,14.046,0.6756756756756757,0.857105538140021,0.7299604505578063,0.5761358686190597,0.8081352297940448,0.6097560975609756,0.7575757575757576,0.8620689655172413
ant-1.7,0,single_shap,1.072,9.731,9.986,0.6301369863013698,0.8465256008359457,0.7196365346479874,0.5157453564023436,0.7712506636670704,0.575,0.696969696969697,0.853448275862069
ant-1.7,1,two_shap,2.814,7.591,7.885,0.5882352941176471,0.7910135841170325,0.5692753705444505,0.4669715867637741,0.7264232238196224,0.5714285714285714,0.6060606060606061,0.8706896551724138
ant-1.7,1,single_shap,1.01,5.718,5.992,0.6301369863013698,0.7870950888192267,0.5400702377723678,0.5157453564023436,0.7712506636670704,0.575,0.696969696969697,0.853448275862069
ant-1.7,2,two_shap,2.969,8.238,8.537,0.5396825396825397,0.8295454545454545,0.5036752994874238,0.4173936651803483,0.6763275964825369,0.5666666666666667,0.5151515151515151,0.8879310344827587
ant-1.7,2,single_shap,1.101,5.933,6.228,0.5230769230769231,0.8347701149425287,0.5549141949001186,0.3901455077863192,0.669729120681503,0.53125,0.5151515151515151,0.8706896551724138
ant-1.7,3,two_shap,3.144,7.496,7.772,0.6176470588235294,0.812957157784744,0.5922008435443944,0.505096938231063,0.7480381865430706,0.6,0.6363636363636364,0.8793103448275862
ant-1.7,3,single_shap,1.065,5.549,5.827,0.5757575757575758,0.8053814002089864,0.5488525725095696,0.455067920585162,0.711526241593723,0.5757575757575758,0.5757575757575758,0.8793103448275862
ant-1.7,4,two_shap,3.045,7.815,8.071,0.6,0.8441176470588235,0.5505918595435279,0.4674574326147652,0.755542182654166,0.5217391304347826,0.7058823529411765,0.808695652173913
ant-1.7,4,single_shap,1.066,6.148,6.45,0.6097560975609756,0.840920716112532,0.5928349084885578,0.48072813915757745,0.7669649888473704,0.5208333333333334,0.7352941176470589,0.8
