dataset,fold,strategy,shap_seconds,stage1_seconds,pipeline_seconds,F1,AUC,PRAUC,MCC,Gmean,Precision,Recall,Specificity
camel-1.6,0,two_shap,9.146,19.237,21.572,0.4657534246575342,0.77997227997228,0.41867784409450426,0.3412303104913123,0.6352162257843021,0.4722222222222222,0.4594594594594595,0.8782051282051282
camel-1.6,0,single_shap,3.206,11.55,12.022,0.3888888888888889,0.7626472626472627,0.41781917514900613,0.2490395773192365,0.572226203037599,0.4,0.3783783783783784,0.8653846153846154
camel-1.6,1,two_shap,6.059,12.594,12.89,0.29213483146067415,0.6543659043659042,0.25125930721100126,0.08992521332084406,0.51333567333034,0.25,0.35135135135135137,0.75
camel-1.6,1,single_shap,3.388,9.693,9.983,0.38636363636363635,0.6807865557865558,0.3110382716539219,0.21561072122624472,0.5994337822652802,0.3333333333333333,0.4594594594594595,0.782051282051282
camel-1.6,2,two_shap,8.925,13.841,14.166,0.4444444444444444,0.7109507640067912,0.3694675308125178,0.2985247328047197,0.6303043165084371,0.4186046511627907,0.47368421052631576,0.8387096774193549
camel-1.6,2,single_shap,3.228,8.181,8.482,0.43373493975903615,0.7056027164685909,0.3399407255083281,0.28164614990408293,0.6254370288684515,0.4,0.47368421052631576,0.8258064516129032
camel-1.6,3,two_shap,6.943,12.271,12.541,0.31746031746031744,0.75169779286927,0.40749962711311727,0.1970351836871768,0.4875356414640809,0.4,0.2631578947368421,0.9032258064516129
camel-1.6,3,single_shap,3.156,8.604,8.912,0.3283582089552239,0.7568760611205434,0.3999997490153653,0.1929066378045467,0.5058234725662515,0.3793103448275862,0.2894736842105263,0.8838709677419355
camel-1.6,4,two_shap,7.451,12.385,12.697,0.3684210526315789,0.6928692699490662,0.35888922322393624,0.2135823429541596,0.5580100467053516,0.3684210526315789,0.3684210526315789,0.8451612903225807
camel-1.6,4,single_shap,3.067,7.82,8.114,0.4266666666666667,0.7123089983022072,0.3667185957073462,0.2884730078460123,0.6033297532622414,0.43243243243243246,0.42105263157894735,0.864516129032258
