dataset,fold,strategy,shap_seconds,stage1_seconds,pipeline_seconds,F1,AUC,PRAUC,MCC,Gmean,Precision,Recall,Specificity
tomcat,0,two_shap,1.868,13.19,13.462,0.35555555555555557,0.7753715498938428,0.36867745392102796,0.29235513843251276,0.6771991775797204,0.26666666666666666,0.5333333333333333,0.8598726114649682
tomcat,0,single_shap,0.742,10.124,10.421,0.37209302325581395,0.7811040339702761,0.3138546162649535,0.3102431310938693,0.6821970252913363,0.2857142857142857,0.5333333333333333,0.8726114649681529
tomcat,1,two_shap,1.7,8.042,8.318,0.3829787234042553,0.8078926282051282,0.4412432258628579,0.3184953133360476,0.6951065219972238,0.2903225806451613,0.5625,0.8589743589743589
tomcat,1,single_shap,0.803,7.051,7.325,0.3673469387755102,0.8012820512820513,0.45128133957886196,0.3014487665540703,0.6898996582558499,0.2727272727272727,0.5625,0.8461538461538461
tomcat,2,two_shap,2.138,7.597,7.886,0.4444444444444444,0.8525641025641025,0.40280218090102604,0.38335826944652757,0.6793662204867574,0.4,0.5,0.9230769230769231
tomcat,2,single_shap,0.797,6.438,6.715,0.3684210526315789,0.8513621794871794,0.45295174911262714,0.2968659135525172,0.6288343917977867,0.3181818181818182,0.4375,0.9038461538461539
tomcat,3,two_shap,1.668,7.879,8.144,0.35294117647058826,0.789957264957265,0.38112818070828486,0.28504385627478446,0.6055300708194984,0.3157894736842105,0.4,0.9166666666666666
tomcat,3,single_shap,0.822,7.062,7.328,0.4,0.823076923076923,0.3896104157553538,0.3374279417802262,0.6540472290116194,0.35,0.4666666666666667,0.9166666666666666
tomcat,4,two_shap,1.574,7.399,7.677,0.2727272727272727,0.7416666666666667,0.26764332272521624,0.19038660127352416,0.5839740071489835,0.20689655172413793,0.4,0.8525641025641025
tomcat,4,single_shap,0.756,6.455,6.722,0.3181818181818182,0.7388888888888889,0.29124622921905824,0.24547307981459462,0.6331308718224857,0.2413793103448276,0.4666666666666667,0.8589743589743589
