dataset,fold,strategy,shap_seconds,stage1_seconds,pipeline_seconds,F1,AUC,PRAUC,MCC,Gmean,Precision,Recall,Specificity
xalan-2.4,0,two_shap,2.33,12.337,12.611,0.45,0.7930524759793052,0.37203215765071385,0.365478533874969,0.6157576048559333,0.5,0.4090909090909091,0.926829268292683
xalan-2.4,0,single_shap,0.803,8.779,9.046,0.46153846153846156,0.8043237250554325,0.40948966948890797,0.38366867242451697,0.6184523993714054,0.5294117647058824,0.4090909090909091,0.9349593495934959
xalan-2.4,1,two_shap,2.52,6.387,8.519,0.5106382978723404,0.8342572062084257,0.5249180486979773,0.4176595708498058,0.6984302957695782,0.48,0.5454545454545454,0.8943089430894309
xalan-2.4,1,single_shap,0.846,4.602,4.957,0.5777777777777777,0.8398004434589801,0.5800685376947362,0.5004452099226312,0.7367955628288533,0.5652173913043478,0.5909090909090909,0.9186991869918699
xalan-2.4,2,two_shap,1.766,7.735,8.0,0.41379310344827586,0.849039172209904,0.44102472152770966,0.2909242623707872,0.6625891564490792,0.3333333333333333,0.5454545454545454,0.8048780487804879
xalan-2.4,2,single_shap,0.854,6.797,7.053,0.5161290322580645,0.8547671840354767,0.4298447995697795,0.4271436463846988,0.765092055676006,0.4,0.7272727272727273,0.8048780487804879
xalan-2.4,3,two_shap,2.235,6.282,6.64,0.425531914893617,0.8019746646795827,0.4629497298861098,0.31495990142924857,0.6313942653610732,0.4,0.45454545454545453,0.8770491803278688
xalan-2.4,3,single_shap,0.774,4.84,5.188,0.4090909090909091,0.7952682563338301,0.44298643191914794,0.3025335320417288,0.6045653437334273,0.4090909090909091,0.4090909090909091,0.8934426229508197
xalan-2.4,4,two_shap,1.672,7.698,7.963,0.3508771929824561,0.7447839046199702,0.3306510328508014,0.20938052084823763,0.6011662783188852,0.2857142857142857,0.45454545454545453,0.7950819672131147
xalan-2.4,4,single_shap,0.88,6.947,7.21,0.36363636363636365,0.7412444113263785,0.3412757203235658,0.2277133522223619,0.607332247634187,0.30303030303030304,0.45454545454545453,0.8114754098360656
