dataset,fold,weight_mode,n_seeds,F1,AUC,PRAUC,MCC,Gmean,Precision,Recall,Specificity
CM1,0,true_shap,1,0.21052631578947367,0.7044444444444444,0.28768224672952036,0.12812370226601222,0.4294699575575042,0.2222222222222222,0.2,0.9222222222222223
CM1,0,uniform,1,0.2,0.6738888888888889,0.2543114863500259,0.1111111111111111,0.42687494916218993,0.2,0.2,0.9111111111111111
CM1,0,random,5,0.23064069264069262,0.6627777777777777,0.2610464198798231,0.13707217663715926,0.4787632710897497,0.2092207792207792,0.26,0.8911111111111112
CM1,0,shuffled,5,0.22556390977443605,0.6831111111111111,0.27108693212478696,0.14298180404584732,0.4481385469883909,0.23232323232323232,0.21999999999999997,0.9200000000000002
CM1,1,true_shap,1,0.4,0.8233333333333333,0.30241664068647905,0.3333333333333333,0.6110100926607787,0.4,0.4,0.9333333333333333
CM1,1,uniform,1,0.21052631578947367,0.8283333333333334,0.2718859875560643,0.12812370226601222,0.4294699575575042,0.2222222222222222,0.2,0.9222222222222223
CM1,1,random,5,0.24006620830150244,0.8094444444444445,0.27275763289957844,0.16550298274257094,0.45342440760733227,0.2497835497835498,0.24,0.9266666666666667
CM1,1,shuffled,5,0.2716934046345811,0.8238888888888889,0.2849173427158752,0.2056314604674264,0.47667807161219444,0.2976190476190476,0.26,0.9377777777777778
CM1,2,true_shap,1,0.2777777777777778,0.7405555555555555,0.19400856611382927,0.18238430103502126,0.6191391873668903,0.19230769230769232,0.5,0.7666666666666667
CM1,2,uniform,1,0.24242424242424243,0.7322222222222222,0.23093930371709734,0.1346537293478313,0.5617433182117573,0.17391304347826086,0.4,0.7888888888888889
CM1,2,random,5,0.25466200466200467,0.7112222222222222,0.1920409653122804,0.15066650357395078,0.5803601498946211,0.1796689068053386,0.44000000000000006,0.7755555555555557
CM1,2,shuffled,5,0.2716503379661274,0.7184444444444444,0.20495312179958197,0.17349851290792992,0.6078158763963064,0.18965408504538941,0.48,0.7711111111111111
CM1,3,true_shap,1,0.18181818181818182,0.5858024691358024,0.12623022783942323,0.08511803863397262,0.4416579314300398,0.15384615384615385,0.2222222222222222,0.8777777777777778
CM1,3,uniform,1,0.16666666666666666,0.6123456790123456,0.1275187975652372,0.06236095644623236,0.43603148600774627,0.13333333333333333,0.2222222222222222,0.8555555555555555
CM1,3,random,5,0.10774703557312253,0.577283950617284,0.11810305609163774,-0.00011622995117482604,0.3360162985629093,0.09070929070929071,0.13333333333333336,0.8666666666666666
CM1,3,shuffled,5,0.12042160737812913,0.5980246913580247,0.12178665664131025,0.011878143717748332,0.3602033366833185,0.09838827838827838,0.15555555555555556,0.86
CM1,4,true_shap,1,0.16666666666666666,0.6837078651685393,0.19096314721314722,0.05635851088038538,0.41597320570581053,0.14285714285714285,0.2,0.8651685393258427
CM1,4,uniform,1,0.2727272727272727,0.6876404494382024,0.21191347300042954,0.18362339539582423,0.5192907868894986,0.25,0.3,0.898876404494382
CM1,4,random,5,0.24293645484949833,0.6823595505617978,0.2379856087010837,0.1435722149451006,0.5078219757621152,0.20445970695970694,0.3,0.8696629213483146
CM1,4,shuffled,5,0.23119088319088316,0.6901123595505618,0.23949510329552542,0.12762179857508973,0.5037639894194414,0.18842436974789917,0.30000000000000004,0.8561797752808988
