dataset,fold,weight_mode,n_seeds,F1,AUC,PRAUC,MCC,Gmean,Precision,Recall,Specificity
MC2,0,true_shap,1,0.5882352941176471,0.6875,0.6832357428097096,0.378726042189707,0.6718548123582124,0.625,0.5555555555555556,0.8125
MC2,0,uniform,1,0.625,0.78125,0.7688134477608162,0.46028324996028647,0.6972166887783964,0.7142857142857143,0.5555555555555556,0.875
MC2,0,random,5,0.5605555555555556,0.7055555555555555,0.7194479957806112,0.35788869665680595,0.6470860532877698,0.6317460317460317,0.5111111111111111,0.825
MC2,0,shuffled,5,0.5919607843137256,0.6930555555555555,0.7033817683357774,0.4074086290812605,0.6723505133471083,0.6690476190476191,0.5333333333333334,0.85
MC2,1,true_shap,1,0.5555555555555556,0.7951388888888888,0.7846560846560848,0.3055555555555556,0.6454972243679028,0.5555555555555556,0.5555555555555556,0.75
MC2,1,uniform,1,0.5555555555555556,0.7604166666666666,0.7417107583774252,0.3055555555555556,0.6454972243679028,0.5555555555555556,0.5555555555555556,0.75
MC2,1,random,5,0.5686274509803921,0.8277777777777778,0.7756448798115465,0.3348237502092161,0.6560402595640266,0.5833333333333334,0.5555555555555556,0.775
MC2,1,shuffled,5,0.5709803921568628,0.80625,0.7607392201690448,0.3275734937134321,0.6570699371696501,0.5674242424242424,0.5777777777777778,0.75
MC2,2,true_shap,1,0.5714285714285714,0.8472222222222222,0.803003423591659,0.4583333333333333,0.6454972243679028,0.8,0.4444444444444444,0.9375
MC2,2,uniform,1,0.5333333333333333,0.8368055555555556,0.7590608465608466,0.3590245611063161,0.6236095644623235,0.6666666666666666,0.4444444444444444,0.875
MC2,2,random,5,0.544029304029304,0.8118055555555556,0.7580419562282308,0.4768008392473916,0.6180947987752289,0.8933333333333333,0.39999999999999997,0.9625
MC2,2,shuffled,5,0.6071105365223012,0.8173611111111111,0.7737732030611288,0.50285695513516,0.6733841911192696,0.8299999999999998,0.48888888888888893,0.9375
MC2,3,true_shap,1,0.0,0.6041666666666666,0.4397935277988672,-0.15309310892394862,0.0,0.0,0.0,0.9375
MC2,3,uniform,1,0.18181818181818182,0.6145833333333333,0.49310687299817735,0.08600780775702334,0.3227486121839514,0.5,0.1111111111111111,0.9375
MC2,3,random,5,0.1727272727272727,0.6548611111111111,0.5094477404393499,0.046866523160786065,0.2827474942373406,0.39999999999999997,0.11111111111111112,0.925
MC2,3,shuffled,5,0.10303030303030303,0.6319444444444444,0.4830572969703405,-0.06585574647847638,0.189271635329255,0.2333333333333333,0.06666666666666667,0.9
MC2,4,true_shap,1,0.7368421052631579,0.8359375,0.6822916666666665,0.5913123959890826,0.8100925873009825,0.6363636363636364,0.875,0.75
MC2,4,uniform,1,0.7777777777777778,0.80859375,0.5828869047619047,0.6573757351339165,0.8431710977020026,0.7,0.875,0.8125
MC2,4,random,5,0.6601307189542484,0.8078125,0.6899202674260725,0.4700870309622891,0.7433510059411889,0.6066666666666667,0.725,0.7625
MC2,4,shuffled,5,0.6791812865497076,0.81875,0.7105041486291486,0.4979706947870863,0.7602590615165477,0.5912121212121212,0.8,0.725
