dataset,fold,weight_mode,n_seeds,F1,AUC,PRAUC,MCC,Gmean,Precision,Recall,Specificity
MW1,0,true_shap,1,0.5,0.7622222222222222,0.4637606837606838,0.4418993202399135,0.7393691004272944,0.42857142857142855,0.6,0.9111111111111111
MW1,0,uniform,1,0.5454545454545454,0.7711111111111112,0.4688888888888889,0.49236596391733095,0.7483314773547882,0.5,0.6,0.9333333333333333
MW1,0,random,5,0.40545454545454546,0.7804444444444444,0.3290947475463605,0.33659858896202655,0.6337547941667682,0.379047619047619,0.43999999999999995,0.9199999999999999
MW1,0,shuffled,5,0.42181818181818187,0.7813333333333333,0.3655183382296008,0.35591588857382145,0.6370108195759238,0.40666666666666673,0.43999999999999995,0.928888888888889
MW1,1,true_shap,1,0.5454545454545454,0.7377777777777778,0.5177777777777778,0.49236596391733095,0.7483314773547882,0.5,0.6,0.9333333333333333
MW1,1,uniform,1,0.5,0.6822222222222222,0.5255555555555556,0.4418993202399135,0.7393691004272944,0.42857142857142855,0.6,0.9111111111111111
MW1,1,random,5,0.5361616161616161,0.7097777777777777,0.5182985415095834,0.48516639941078815,0.7240846889074894,0.52,0.56,0.9422222222222223
MW1,1,shuffled,5,0.5563636363636364,0.6946666666666665,0.5182533304095169,0.5050038822449758,0.7501027377718378,0.52,0.6,0.9377777777777778
MW1,2,true_shap,1,0.5,0.6288888888888889,0.5381818181818181,0.47721942193769407,0.6253887679764573,0.6666666666666666,0.4,0.9777777777777777
MW1,2,uniform,1,0.4444444444444444,0.6466666666666666,0.5405128205128205,0.3931785497463923,0.6182412330330469,0.5,0.4,0.9555555555555556
MW1,2,random,5,0.47777777777777775,0.6715555555555556,0.5564547626995607,0.44360307306117336,0.622529753999093,0.5999999999999999,0.4,0.9688888888888888
MW1,2,shuffled,5,0.48317460317460315,0.6808888888888888,0.5320382045639287,0.45866463253018164,0.6224968787360832,0.6466666666666667,0.4,0.9688888888888888
MW1,3,true_shap,1,0.18181818181818182,0.6755555555555556,0.20378510378510378,0.08206099398622183,0.4216370213557839,0.16666666666666666,0.2,0.8888888888888888
MW1,3,uniform,1,0.2857142857142857,0.7222222222222222,0.25365686944634314,0.1908790423082963,0.5811865258054232,0.2222222222222222,0.4,0.8444444444444444
MW1,3,random,5,0.16190476190476188,0.6875555555555556,0.24018790098884085,0.049581761458307824,0.41417006031855746,0.13650793650793652,0.2,0.8577777777777778
MW1,3,shuffled,5,0.1675990675990676,0.6964444444444444,0.24443188441831784,0.05890006529763958,0.41630582193346494,0.14523809523809522,0.2,0.8666666666666666
MW1,4,true_shap,1,0.4444444444444444,0.6933333333333334,0.30716356107660453,0.3931785497463923,0.6182412330330469,0.5,0.4,0.9555555555555556
MW1,4,uniform,1,0.4,0.7222222222222224,0.39543859649122803,0.3333333333333333,0.6110100926607787,0.4,0.4,0.9333333333333333
MW1,4,random,5,0.4646464646464647,0.7195555555555556,0.3838113763347193,0.4130160325805801,0.636561001903962,0.5,0.44000000000000006,0.9511111111111111
MW1,4,shuffled,5,0.3522222222222222,0.7217777777777779,0.3544344585700495,0.2927269007793072,0.5433409013815059,0.39666666666666667,0.32,0.9466666666666667
