dataset,fold,weight_mode,n_seeds,F1,AUC,PRAUC,MCC,Gmean,Precision,Recall,Specificity
PC3,0,true_shap,1,0.3548387096774194,0.8017671517671517,0.30470509513882227,0.2515978702244681,0.6049002941843936,0.3055555555555556,0.4230769230769231,0.8648648648648649
PC3,0,uniform,1,0.3728813559322034,0.8146569646569647,0.3028178275361845,0.2752357333283168,0.6105448982385102,0.3333333333333333,0.4230769230769231,0.8810810810810811
PC3,0,random,5,0.34722741096897314,0.8069646569646569,0.2953921159806997,0.24445302243503217,0.5966734624055369,0.30035812733581496,0.4153846153846154,0.8648648648648649
PC3,0,shuffled,5,0.34443548387096773,0.807006237006237,0.3062025195998455,0.2395374515959427,0.5927902610404352,0.29838321293429654,0.4076923076923077,0.8648648648648649
PC3,1,true_shap,1,0.36,0.854989604989605,0.3663103346956778,0.27441713285573627,0.5639923032163808,0.375,0.34615384615384615,0.918918918918919
PC3,1,uniform,1,0.39215686274509803,0.8557172557172558,0.3728493962940524,0.3087122344357937,0.5945000869893573,0.4,0.38461538461538464,0.918918918918919
PC3,1,random,5,0.39504573857515035,0.8525363825363825,0.3464905207047975,0.30713828402282506,0.608002491364665,0.38410963748894783,0.40769230769230774,0.9070270270270271
PC3,1,shuffled,5,0.40419869079707355,0.8639708939708939,0.39201492955619555,0.3239954008806384,0.6011427091898998,0.417512077294686,0.39230769230769236,0.9232432432432433
PC3,2,true_shap,1,0.4225352112676056,0.791891891891892,0.3063394589069789,0.3328204940375652,0.6952467068372085,0.3333333333333333,0.5769230769230769,0.8378378378378378
PC3,2,uniform,1,0.38235294117647056,0.7895010395010394,0.3058530637435785,0.2825573036370319,0.6493239727760108,0.30952380952380953,0.5,0.8432432432432433
PC3,2,random,5,0.3902585444441382,0.7906652806652806,0.32872752464368477,0.2924378894853319,0.6641434409821343,0.30898584540813695,0.5307692307692308,0.8324324324324325
PC3,2,shuffled,5,0.41955256664591795,0.7998128898128898,0.34856066951769415,0.32983190673375357,0.6902947230374952,0.3331922611621041,0.5692307692307692,0.8400000000000001
PC3,3,true_shap,1,0.42424242424242425,0.8038252508361204,0.3203651078623211,0.3331221870441566,0.6799813099930022,0.35,0.5384615384615384,0.8586956521739131
PC3,3,uniform,1,0.3582089552238806,0.8100961538461539,0.3226347713921275,0.2525419562925607,0.6235350724875656,0.2926829268292683,0.46153846153846156,0.842391304347826
PC3,3,random,5,0.36671015996511286,0.819314381270903,0.3337905345130441,0.26289588859190055,0.632450874917529,0.2979497879696405,0.4769230769230769,0.8413043478260869
PC3,3,shuffled,5,0.3600399047741085,0.8057274247491637,0.33178589257757923,0.2552895740611861,0.6200711046841242,0.2986890616158909,0.45384615384615384,0.8489130434782609
PC3,4,true_shap,1,0.37681159420289856,0.7954640468227425,0.34711548788337954,0.27502804937111897,0.6468989572333266,0.3023255813953488,0.5,0.8369565217391305
PC3,4,uniform,1,0.4,0.805915551839465,0.408332516104843,0.3038024971663591,0.6552463857870233,0.3333333333333333,0.5,0.8586956521739131
PC3,4,random,5,0.396959558541376,0.8108486622073577,0.38601733670139327,0.29989627045654804,0.6667439105300562,0.3172581901426016,0.5307692307692307,0.8380434782608696
PC3,4,shuffled,5,0.4236189452950129,0.8115384615384615,0.4052204370223268,0.3335184224430341,0.6914241916796701,0.33765032377428306,0.5692307692307692,0.8423913043478262
