dataset,fold,weight_mode,n_seeds,F1,AUC,PRAUC,MCC,Gmean,Precision,Recall,Specificity
ant-1.7,0,true_shap,1,0.6756756756756757,0.857105538140021,0.7299604505578063,0.5761358686190597,0.8081352297940448,0.6097560975609756,0.7575757575757576,0.8620689655172413
ant-1.7,0,uniform,1,0.6301369863013698,0.848092998955068,0.7147475117428421,0.5157453564023436,0.7712506636670704,0.575,0.696969696969697,0.853448275862069
ant-1.7,0,random,5,0.6258658270518909,0.8497126436781608,0.7079466154600343,0.509417398140658,0.7737699586539435,0.557390280389952,0.7151515151515151,0.8379310344827585
ant-1.7,0,shuffled,5,0.6296787176787177,0.8543364681295715,0.7255469216532056,0.5139773208234988,0.7756227786153426,0.562617463836976,0.7151515151515151,0.8413793103448276
ant-1.7,1,true_shap,1,0.5882352941176471,0.7910135841170325,0.5692753705444505,0.4669715867637741,0.7264232238196224,0.5714285714285714,0.6060606060606061,0.8706896551724138
ant-1.7,1,uniform,1,0.6111111111111112,0.8056426332288401,0.5286135176637923,0.49131118291327747,0.7542980294561157,0.5641025641025641,0.6666666666666666,0.853448275862069
ant-1.7,1,random,5,0.5985200693651398,0.7994252873563218,0.53284055648799,0.4745373753102925,0.7450206801496428,0.5517446448126808,0.6545454545454545,0.8482758620689654
ant-1.7,1,shuffled,5,0.5919814486868988,0.7969435736677116,0.5242025655010139,0.46676694616279163,0.7387215201896409,0.5493323678176052,0.6424242424242423,0.85
ant-1.7,2,true_shap,1,0.5396825396825397,0.8295454545454545,0.5036752994874238,0.4173936651803483,0.6763275964825369,0.5666666666666667,0.5151515151515151,0.8879310344827587
ant-1.7,2,uniform,1,0.53125,0.8423458725182863,0.5486659319554648,0.40352377908447534,0.6730364450951615,0.5483870967741935,0.5151515151515151,0.8793103448275862
ant-1.7,2,random,5,0.5501694273468467,0.8412748171368861,0.5635415886346837,0.4278257473848643,0.6867436775260043,0.5687113206593184,0.5333333333333333,0.8844827586206897
ant-1.7,2,shuffled,5,0.5396410533910534,0.8329937304075236,0.5543782583337538,0.4153380361259944,0.6782042675875013,0.5610578907353101,0.5212121212121212,0.8827586206896552
ant-1.7,3,true_shap,1,0.6176470588235294,0.812957157784744,0.5922008435443944,0.505096938231063,0.7480381865430706,0.6,0.6363636363636364,0.8793103448275862
ant-1.7,3,uniform,1,0.5970149253731343,0.8025078369905957,0.553937840443716,0.480254415405721,0.7300105208156711,0.5882352941176471,0.6060606060606061,0.8793103448275862
ant-1.7,3,random,5,0.5796791443850268,0.8062957157784745,0.5428347641650046,0.45680610953641115,0.7189676950064351,0.5662337662337661,0.593939393939394,0.8706896551724139
ant-1.7,3,shuffled,5,0.5991289040051855,0.807810867293626,0.5639211807738841,0.48275564578738195,0.7326235344366501,0.5876843680055754,0.6121212121212121,0.8775862068965518
ant-1.7,4,true_shap,1,0.6,0.8441176470588235,0.5505918595435279,0.4674574326147652,0.755542182654166,0.5217391304347826,0.7058823529411765,0.808695652173913
ant-1.7,4,uniform,1,0.5783132530120482,0.8341432225063939,0.5527633071944514,0.436362025044198,0.7432561251138007,0.4897959183673469,0.7058823529411765,0.782608695652174
ant-1.7,4,random,5,0.5872014347368033,0.8312020460358056,0.5426394830881482,0.4522834801265945,0.7430849887788559,0.516780665754674,0.6823529411764706,0.8121739130434783
ant-1.7,4,shuffled,5,0.5667293919071273,0.8298721227621483,0.5617784597394694,0.4250852498496,0.7218269198326274,0.5122129162826837,0.6352941176470589,0.8208695652173912
