dataset,fold,weight_mode,n_seeds,F1,AUC,PRAUC,MCC,Gmean,Precision,Recall,Specificity
camel-1.6,0,true_shap,1,0.4657534246575342,0.77997227997228,0.41867784409450426,0.3412303104913123,0.6352162257843021,0.4722222222222222,0.4594594594594595,0.8782051282051282
camel-1.6,0,uniform,1,0.4864864864864865,0.7558905058905059,0.41509724455483554,0.3646916146916147,0.6536321038894335,0.4864864864864865,0.4864864864864865,0.8782051282051282
camel-1.6,0,random,5,0.47950597887306745,0.7635308385308385,0.4191948075731811,0.35244438335850076,0.6527157745731842,0.4687701290140314,0.4918918918918919,0.8666666666666668
camel-1.6,0,shuffled,5,0.45743201780863363,0.7525121275121276,0.4121626008480492,0.32890931923725,0.6316032493044289,0.45628569368280913,0.4594594594594595,0.8705128205128204
camel-1.6,1,true_shap,1,0.29213483146067415,0.6543659043659042,0.25125930721100126,0.08992521332084406,0.51333567333034,0.25,0.35135135135135137,0.75
camel-1.6,1,uniform,1,0.367816091954023,0.6591302841302842,0.2720224183674147,0.19271009370062403,0.5815361881984115,0.32,0.43243243243243246,0.782051282051282
camel-1.6,1,random,5,0.34163173321245227,0.6671517671517673,0.27814536721181043,0.15732366384861257,0.5587158200012681,0.2954179535061888,0.40540540540540543,0.7705128205128206
camel-1.6,1,shuffled,5,0.33412495525753727,0.6642411642411642,0.2697685545037595,0.1462735555783236,0.5523223721641264,0.28744732182610766,0.4,0.764102564102564
camel-1.6,2,true_shap,1,0.4444444444444444,0.7109507640067912,0.3694675308125178,0.2985247328047197,0.6303043165084371,0.4186046511627907,0.47368421052631576,0.8387096774193549
camel-1.6,2,uniform,1,0.4050632911392405,0.7031409168081493,0.33515269367858525,0.25253411822500993,0.5942566085523572,0.3902439024390244,0.42105263157894735,0.8387096774193549
camel-1.6,2,random,5,0.45740560817128006,0.7162818336162988,0.36691508384136096,0.3122907124783666,0.6446016142509123,0.4218879791705879,0.5,0.832258064516129
camel-1.6,2,shuffled,5,0.42956289498841305,0.717402376910017,0.3658404777362307,0.2798059502799922,0.617869750601279,0.4048139935944814,0.4578947368421053,0.8348387096774195
camel-1.6,3,true_shap,1,0.31746031746031744,0.75169779286927,0.40749962711311727,0.1970351836871768,0.4875356414640809,0.4,0.2631578947368421,0.9032258064516129
camel-1.6,3,uniform,1,0.36923076923076925,0.7669779286926994,0.4210573976158164,0.25107075976952736,0.5340685368352562,0.4444444444444444,0.3157894736842105,0.9032258064516129
camel-1.6,3,random,5,0.3595223730517848,0.7484550084889643,0.4236651821784031,0.22847351113884606,0.5329570351598375,0.4098568316215375,0.32105263157894737,0.8864516129032258
camel-1.6,3,shuffled,5,0.3497549019607843,0.7401867572156198,0.4210041505539812,0.22672198315731648,0.5189234986759726,0.42010989010989014,0.3,0.8980645161290323
camel-1.6,4,true_shap,1,0.3684210526315789,0.6928692699490662,0.35888922322393624,0.2135823429541596,0.5580100467053516,0.3684210526315789,0.3684210526315789,0.8451612903225807
camel-1.6,4,uniform,1,0.32432432432432434,0.6857385398981324,0.3464131610208063,0.16430455872593494,0.5166169171148347,0.3333333333333333,0.3157894736842105,0.8451612903225807
camel-1.6,4,random,5,0.38345530492898916,0.7093887945670628,0.37729371296623615,0.24061874648070652,0.5641478849146394,0.40057892644966947,0.3684210526315789,0.864516129032258
camel-1.6,4,shuffled,5,0.3747805621608438,0.7073853989813242,0.3696790797953794,0.22837599457183164,0.5582063951337164,0.38831230706230707,0.3631578947368421,0.8593548387096774
