dataset,fold,weight_mode,n_seeds,F1,AUC,PRAUC,MCC,Gmean,Precision,Recall,Specificity
tomcat,0,true_shap,1,0.35555555555555557,0.7753715498938428,0.36867745392102796,0.29235513843251276,0.6771991775797204,0.26666666666666666,0.5333333333333333,0.8598726114649682
tomcat,0,uniform,1,0.3888888888888889,0.7925690021231422,0.4027341898012983,0.325318067833649,0.6519609486436003,0.3333333333333333,0.4666666666666667,0.910828025477707
tomcat,0,random,5,0.3420525221164084,0.7876857749469214,0.3577135592863668,0.27288665311057225,0.6404498997389961,0.27041372476155084,0.4666666666666667,0.8789808917197452
tomcat,0,shuffled,5,0.3401787101787102,0.7838216560509554,0.3574868715946125,0.27162222161746985,0.646397344030776,0.26421839080459775,0.48,0.8713375796178344
tomcat,1,true_shap,1,0.3829787234042553,0.8078926282051282,0.4412432258628579,0.3184953133360476,0.6951065219972238,0.2903225806451613,0.5625,0.8589743589743589
tomcat,1,uniform,1,0.39215686274509803,0.7870592948717949,0.35776372919150895,0.33530605262431407,0.7244582414395903,0.2857142857142857,0.625,0.8397435897435898
tomcat,1,random,5,0.4139173060528559,0.7959535256410256,0.3889272126769889,0.3597749046434151,0.7365720615021731,0.30684523809523806,0.6375,0.8512820512820513
tomcat,1,shuffled,5,0.3852978723404255,0.7961538461538462,0.4251745203067435,0.3221505543105536,0.7010875936797526,0.2898363377609108,0.575,0.8551282051282051
tomcat,2,true_shap,1,0.4444444444444444,0.8525641025641025,0.40280218090102604,0.38335826944652757,0.6793662204867574,0.4,0.5,0.9230769230769231
tomcat,2,uniform,1,0.43243243243243246,0.8379407051282051,0.4865059733053685,0.36966891070594615,0.67700320038633,0.38095238095238093,0.5,0.9166666666666666
tomcat,2,random,5,0.409749581854845,0.8357772435897436,0.37642444904765066,0.34390570704908763,0.6713763309285552,0.3478785707046577,0.5,0.9025641025641026
tomcat,2,shuffled,5,0.3860737817394164,0.8479567307692306,0.4111472129199921,0.31749558536018097,0.6460881941615984,0.3333873855612986,0.4625,0.9038461538461539
tomcat,3,true_shap,1,0.35294117647058826,0.789957264957265,0.38112818070828486,0.28504385627478446,0.6055300708194984,0.3157894736842105,0.4,0.9166666666666666
tomcat,3,uniform,1,0.4,0.7961538461538462,0.3874596699139782,0.3374279417802262,0.6540472290116194,0.35,0.4666666666666667,0.9166666666666666
tomcat,3,random,5,0.41949174406604745,0.78008547008547,0.3546091276200882,0.360282453183559,0.6712773571282102,0.3666288483356729,0.49333333333333335,0.9179487179487179
tomcat,3,shuffled,5,0.34466131907308384,0.7964957264957265,0.3688976896012239,0.27642037564627164,0.5935077392601178,0.3113484692122463,0.3866666666666667,0.9179487179487179
tomcat,4,true_shap,1,0.2727272727272727,0.7416666666666667,0.26764332272521624,0.19038660127352416,0.5839740071489835,0.20689655172413793,0.4,0.8525641025641025
tomcat,4,uniform,1,0.2553191489361702,0.7542735042735043,0.3075828644800611,0.16923973035589263,0.5773502691896258,0.1875,0.4,0.8333333333333334
tomcat,4,random,5,0.24807434413790186,0.7352991452991453,0.2550155361191693,0.16024103188505395,0.567231878138432,0.1828763440860215,0.3866666666666666,0.8333333333333333
tomcat,4,shuffled,5,0.2926812194897301,0.737905982905983,0.2662055597299234,0.2158094903664464,0.6169467365999864,0.21630578093306285,0.4533333333333333,0.8423076923076923
