dataset,fold,weight_mode,n_seeds,F1,AUC,PRAUC,MCC,Gmean,Precision,Recall,Specificity
xalan-2.4,0,true_shap,1,0.45,0.7930524759793052,0.37203215765071385,0.365478533874969,0.6157576048559333,0.5,0.4090909090909091,0.926829268292683
xalan-2.4,0,uniform,1,0.45,0.8013673318551368,0.37381584754010805,0.365478533874969,0.6157576048559333,0.5,0.4090909090909091,0.926829268292683
xalan-2.4,0,random,5,0.40588187821969957,0.7903178122690317,0.36412081367904947,0.31047710989204125,0.5873525616612972,0.4367787114845938,0.3818181818181819,0.9121951219512194
xalan-2.4,0,shuffled,5,0.35570804492797503,0.7890983000739098,0.35345232277275906,0.25041495128088986,0.5487451568096724,0.3790914786967418,0.3363636363636364,0.9024390243902438
xalan-2.4,1,true_shap,1,0.5106382978723404,0.8342572062084257,0.5249180486979773,0.4176595708498058,0.6984302957695782,0.48,0.5454545454545454,0.8943089430894309
xalan-2.4,1,uniform,1,0.5,0.827420546932742,0.46179585083645025,0.40366285912036837,0.695248364434133,0.46153846153846156,0.5454545454545454,0.8861788617886179
xalan-2.4,1,random,5,0.5479244889445141,0.8345158906134517,0.4892691055873696,0.4608121094154673,0.7359049228577738,0.4992183908045977,0.6090909090909091,0.8894308943089431
xalan-2.4,1,shuffled,5,0.5506403774856757,0.830931263858093,0.49234304626630393,0.46627248614438094,0.7251924807796964,0.5244505494505495,0.5818181818181818,0.9040650406504065
xalan-2.4,2,true_shap,1,0.41379310344827586,0.849039172209904,0.44102472152770966,0.2909242623707872,0.6625891564490792,0.3333333333333333,0.5454545454545454,0.8048780487804879
xalan-2.4,2,uniform,1,0.4482758620689655,0.8440502586844051,0.48828549416076344,0.3354221716996523,0.6931189616855402,0.3611111111111111,0.5909090909090909,0.8130081300813008
xalan-2.4,2,random,5,0.4386051495579819,0.8442719881744273,0.4497441831584233,0.32327148122088223,0.6911405647751139,0.3458258258258259,0.6,0.7967479674796747
xalan-2.4,2,shuffled,5,0.442974786103189,0.8497043606799703,0.4342165277225325,0.32986080746741353,0.6955580304298904,0.3487095788251116,0.609090909090909,0.7967479674796748
xalan-2.4,3,true_shap,1,0.425531914893617,0.8019746646795827,0.4629497298861098,0.31495990142924857,0.6313942653610732,0.4,0.45454545454545453,0.8770491803278688
xalan-2.4,3,uniform,1,0.46808510638297873,0.7889344262295082,0.4789786993896706,0.3659197057054416,0.6652991438591156,0.44,0.5,0.8852459016393442
xalan-2.4,3,random,5,0.4338917121525817,0.7829359165424739,0.41283719145759623,0.3316826578990306,0.6249714505659058,0.43225955204216077,0.43636363636363634,0.8967213114754099
xalan-2.4,3,shuffled,5,0.4440125507567368,0.7900894187779434,0.44314218801017724,0.34382624904607445,0.6315430466445787,0.4444800127408823,0.4454545454545455,0.898360655737705
xalan-2.4,4,true_shap,1,0.3508771929824561,0.7447839046199702,0.3306510328508014,0.20938052084823763,0.6011662783188852,0.2857142857142857,0.45454545454545453,0.7950819672131147
xalan-2.4,4,uniform,1,0.35714285714285715,0.7112518628912071,0.3259447991747027,0.2184132783546441,0.6042571278868677,0.29411764705882354,0.45454545454545453,0.8032786885245902
xalan-2.4,4,random,5,0.35983392825498084,0.73774217585693,0.344175741954501,0.22224461267833803,0.6054809314051075,0.2978959765724472,0.4545454545454545,0.8065573770491803
xalan-2.4,4,shuffled,5,0.35678383020488286,0.7369225037257825,0.32749485421234,0.22216756877759297,0.593241187451395,0.3075857475857476,0.42727272727272725,0.8245901639344263
