dataset,majority_undersample_ratio,F1,AUC,MCC,Gmean
CM1,1.0,0.2764835320362045,0.6938585101955889,0.2068917037819058,0.6584311115390091
CM1,1.5,0.2792117918313571,0.7011015397419892,0.2108051096527104,0.6631792544983113
CM1,2.0,0.2841171830071505,0.6989528367318629,0.2057944682297349,0.6554214678006288
CM1,3.0,0.2631905266198132,0.7048604522125121,0.1664436138506478,0.6077887941368242
CM1,5.0,0.2756744421906694,0.6983098904147593,0.1809843637446662,0.5859918413111063
KC1,1.0,0.4460344547752092,0.7999234754010034,0.3458655186324511,0.7305504305520729
KC1,1.5,0.4361229385938053,0.7991145041343323,0.3276895006957021,0.71779670987496
KC1,2.0,0.4413192266384986,0.8027453808584013,0.3283743184294815,0.7114987050486503
KC1,3.0,0.4499860291511145,0.8010874738832439,0.3353229062507141,0.7005030537876106
KC1,5.0,0.4632781589479703,0.8073653323983793,0.3526379863672962,0.6886044311737212
KC2,1.0,0.5236816907525863,0.7799196787148595,0.3876119040944155,0.7293174173303092
KC2,1.5,0.5421071647906328,0.7806733427215354,0.4098764148491005,0.7402607798962472
KC2,2.0,0.5528327924960658,0.7772153549261983,0.4254870036889411,0.7412293542966757
KC2,3.0,0.5275078951971092,0.7757653992593752,0.3959526448711237,0.7093859779029563
KC2,5.0,0.5269604499624784,0.7768111406665623,0.4000651975821488,0.6982897129207424
MC2,1.0,0.5385395306447938,0.7362847222222222,0.2347614458294301,0.6058304104828686
MC2,1.5,0.5588318622643565,0.7607638888888889,0.279716657609889,0.6366489803405525
MC2,2.0,0.5938086749851454,0.7716145833333333,0.3563659606989433,0.6733904373966393
MC2,3.0,0.5938086749851454,0.7716145833333333,0.3563659606989433,0.6733904373966393
MC2,5.0,0.5938086749851454,0.7716145833333333,0.3563659606989433,0.6733904373966393
MW1,1.0,0.3594417077175698,0.724,0.3118636013417333,0.7196988539839351
MW1,1.5,0.348070448070448,0.728,0.2893852448804487,0.7069760780807834
MW1,2.0,0.362931488801054,0.7226666666666667,0.288280899071388,0.6859237870760733
MW1,3.0,0.4087062937062937,0.7093333333333334,0.3342027479197273,0.6889270428450827
MW1,5.0,0.4244444444444444,0.7035555555555555,0.3530844272647006,0.6757729621383367
PC1,1.0,0.3292442825947888,0.8662057263574254,0.3374499690974116,0.7969501515160224
PC1,1.5,0.338011517351546,0.868071101652518,0.342145902254805,0.7937769610034728
PC1,2.0,0.3654295309490353,0.8707834412081985,0.360983737694431,0.7882461054242944
PC1,3.0,0.3655183535215139,0.8674856362271939,0.3403661859335485,0.7424338100071813
PC1,5.0,0.3695726495726495,0.8713774955833842,0.3327997009260116,0.7081832403802799
PC3,1.0,0.4168960657476477,0.8218662433336347,0.3641028979926681,0.7638533370877181
PC3,1.5,0.4195019378292478,0.8142555138750792,0.3640263233195182,0.7635386434468519
PC3,2.0,0.4134416234312207,0.8132815465967639,0.3443954211618835,0.7461362057382779
PC3,3.0,0.4129095490611531,0.8128292506553375,0.3345718618884572,0.7310157452850609
PC3,5.0,0.3789366660919609,0.813393179969267,0.2800514708741051,0.6689385325072639
PC4,1.0,0.572240277173446,0.9235073240892018,0.5325664343355683,0.8495038705415865
PC4,1.5,0.593284566068423,0.9210130443195668,0.5526522409824548,0.8558088625196559
PC4,2.0,0.6109603731925561,0.9208662234111524,0.5698937284483347,0.8623768920790038
PC4,3.0,0.6221190265348158,0.9217011875337876,0.5718875370109099,0.8496399211022341
PC4,5.0,0.632192328962035,0.9208483096644464,0.5760237657798155,0.8353762010545275
ant-1.7,1.0,0.5849010431944162,0.8310822797157572,0.4543169117163864,0.7613391369570508
ant-1.7,1.5,0.5883045051051273,0.8245158169578313,0.4597014777839713,0.7636831845995005
ant-1.7,2.0,0.5859668615629345,0.8283269060656837,0.4545226392470288,0.7564896967604249
ant-1.7,3.0,0.5871642139033443,0.824706176323603,0.4579424128294348,0.7491285605342541
ant-1.7,5.0,0.5849946937977637,0.8248779086392632,0.4548126166579213,0.7439650678002449
camel-1.6,1.0,0.432212757305044,0.7160055804792648,0.2659171409310844,0.6608415049857758
camel-1.6,1.5,0.4449612615260118,0.7225423712860046,0.2819488144031453,0.6736844397493744
camel-1.6,2.0,0.4276929605412577,0.7244488173690212,0.255541115883906,0.6543716789786626
camel-1.6,3.0,0.4553044598994525,0.7226404208832052,0.2976573138542097,0.6682511657703032
camel-1.6,5.0,0.4276404393442933,0.7239848304619103,0.2685825873512622,0.6309537998075887
tomcat,1.0,0.3163786297557845,0.7939581461973979,0.2719848124110364,0.7193925785810021
tomcat,1.5,0.3084557549108405,0.7913900627415754,0.2586417518285511,0.7071805739208633
tomcat,2.0,0.3204822322654216,0.7882841335946431,0.2685908710632508,0.708945131593112
tomcat,3.0,0.3330607104800653,0.7858371100767598,0.2799559895446809,0.7121021403095027
tomcat,5.0,0.3387667780625115,0.789821659453427,0.2770976259883739,0.6908953666563087
xalan-2.4,1.0,0.4533338277500681,0.7902302715277525,0.3641320972943606,0.7423749067013249
xalan-2.4,1.5,0.4458445944867232,0.7977718003707608,0.3472055800559575,0.7300172125441683
xalan-2.4,2.0,0.4706743247306256,0.7993511686234597,0.3768276964825542,0.7448802862299477
xalan-2.4,3.0,0.4591640104161641,0.7993214835278011,0.3531518451787608,0.7173631773985342
xalan-2.4,5.0,0.4492965670970384,0.7966319532792944,0.3388342344068831,0.6843052327527194
synapse-1.2,1.0,0.6591332467946529,0.8244713571703193,0.46183685576621086,0.7330790889871729
synapse-1.2,1.5,0.6705583847047262,0.8231833910034603,0.4801349219588098,0.7441420294557185
synapse-1.2,2.0,0.6788275838857359,0.8272202998846598,0.49785700467114513,0.7552455272582772
synapse-1.2,3.0,0.6788275838857359,0.8272202998846598,0.49785700467114513,0.7552455272582772
synapse-1.2,5.0,0.6788275838857359,0.8272202998846598,0.49785700467114513,0.7552455272582772
