dataset,config,F1,AUC,MCC,Gmean
CM1,A_Baseline,0.06410256410256407,0.7436541822721597,0.049669938291938984,0.12543208434468972
CM1,B_FS,0.02222222222222222,0.6944408378415869,-0.020462687880566398,0.06073622386096198
CM1,C_FS_Sampling,0.24735778841041994,0.707568733527535,0.15706357722974493,0.5034500749442048
CM1,D_Full_Untuned,0.27976410063366586,0.712829518657234,0.19668777849536193,0.5276102343714035
CM1,E_Full_Tuned,0.2317368733777402,0.7047768067693161,0.15183775622957088,0.47363688529930226
JM1,A_Baseline,0.3312079117269694,0.7506358497653449,0.2826184007022028,0.47182575938964877
JM1,B_FS,0.32495851453038405,0.7469762736315652,0.2733510931085125,0.46758850771561083
JM1,C_FS_Sampling,0.4255332756331627,0.7503089556069067,0.3030178936311062,0.5921219810894599
JM1,D_Full_Untuned,0.38680819459302085,0.7415498098484603,0.2859594028622219,0.5420870482702677
JM1,E_Full_Tuned,0.3969635768502927,0.7394798083350871,0.28979418706529597,0.5550934096949764
KC1,A_Baseline,0.39566729700968295,0.8256605880350097,0.34603442814214247,0.537958210893522
KC1,B_FS,0.39254529814352146,0.8045046064312423,0.32495925680992216,0.5462756331953151
KC1,C_FS_Sampling,0.4334290556623498,0.7962820342248631,0.3235475098325206,0.6356341548002835
KC1,D_Full_Untuned,0.4083232404692082,0.776853663520881,0.3054057345358951,0.5958452323177932
KC1,E_Full_Tuned,0.4238413673900518,0.774826035938065,0.32523773137344836,0.6051321520842383
KC2,A_Baseline,0.5239211976907271,0.8101157878266312,0.44447286079262793,0.6482130039601592
KC2,B_FS,0.5245038606092056,0.7806159703750065,0.4366090454086417,0.6494879848878812
KC2,C_FS_Sampling,0.5684458398744112,0.7821624158973556,0.45990475021803345,0.7201068157540417
KC2,D_Full_Untuned,0.568523153942428,0.8004146455953685,0.4683761657591471,0.7095384092513874
KC2,E_Full_Tuned,0.5817840649773423,0.8259453398007615,0.47931209896420846,0.7250441639016978
MC2,A_Baseline,0.4576470588235294,0.7125868055555555,0.31924947282900146,0.5216540714467938
MC2,B_FS,0.4963183874948581,0.7612847222222222,0.3434242343081009,0.5926893496764938
MC2,C_FS_Sampling,0.49041230527298635,0.7539930555555555,0.31616684362874603,0.5545883696790002
MC2,D_Full_Untuned,0.5154183535762483,0.7473958333333334,0.3467861776215833,0.6043292636661375
MC2,E_Full_Tuned,0.5456773618538324,0.7296875,0.3754467366729899,0.6334620316803999
MW1,A_Baseline,0.19,0.7026666666666667,0.13791891054524621,0.29788525708508945
MW1,B_FS,0.20606060606060606,0.7071111111111111,0.20982364817130766,0.29962390670848205
MW1,C_FS_Sampling,0.43434343434343436,0.6995555555555556,0.3773448499655105,0.6305935200294741
MW1,D_Full_Untuned,0.45555555555555555,0.7306666666666667,0.40079315863381637,0.6637305991728073
MW1,E_Full_Tuned,0.45951825951825953,0.736,0.4045762292154646,0.6640229273093553
PC1,A_Baseline,0.3967521367521368,0.8520504823100856,0.4123829946146912,0.5409133047329927
PC1,B_FS,0.37333333333333335,0.8587268909369479,0.3893477630618217,0.5203329141780855
PC1,C_FS_Sampling,0.40680824372759855,0.8639967246689493,0.3663557000818622,0.6301181189527227
PC1,D_Full_Untuned,0.4102568248578435,0.8678532706408392,0.3900541804030869,0.608931339419315
PC1,E_Full_Tuned,0.3807152847152847,0.8502146162625268,0.35006472816911305,0.570366575997688
PC3,A_Baseline,0.21287909758497991,0.8176375079092469,0.2104240272735233,0.3649163577547066
PC3,B_FS,0.19164457519720673,0.8116941607159,0.16053189749524277,0.3546963867104175
